# https://github.com/Honoka55/tonggui-ext

汉字	编码	拆分	笔顺	拼音	繁异	分野	出典	备注
冚	u519A	⿱冖山	45252	kǎn		方言	粤语中表示『全部』的意思	
覅				fiào		方言	吴语『不要』的合音字	
仌	u4ECC	⿱人人	3434	bīng	冰、氷	异体	农夫山泉有款黑咖啡饮料叫『炭仌』	
毴				bī	屄	詈语	女性的生殖器官	
㞎				bǎ		詈语	粪便的意思	
挼	u633C	⿰扌妥		ruá, ruó		方言	揉搓、按摩；（纸或布）皱	「rua猫」的rua疑为此字
玏	u738F	⿰王力		lè		人名	杨～	
璏	u748F	⿰王彘		wèi		历史	剑鞘旁的玉制附件。古人佩剑，即以带穿璏而系之腰间	
飖	u98D6	⿰䍃风		yáo		语文	《长恨歌》：风吹仙袂飘～举，犹似霓裳羽衣舞。	「飘～」同「飘摇」
苶	u82F6	⿱艹尒		nié		方言	痴呆；疲倦，精神不振	
咵	u54b5	⿰口夸		kuā, kuǎ		拟声词	～唧	
狓	u72D3	u72D4		pí		动物名	霍加～	
㨄	u3A04	⿰扌周		zhōu	掫	方言	把重物从一侧或一端托起或上掀	
𤭢	u24B62	⿰卒瓦		cèi		方言	<方>[动](瓷器、玻璃等)打碎；摔碎：～了一个碗|不小心把杯子～了。----《现代汉语词典》。	
𫚉	u2B689	⿰鱼工		hóng	魟	动物名	～鱼	
𫪘	u2BA98	⿰口欧		ou	𡂿	语气词	句末语气字，相当于“啊”，轻声。	
𬬫	u2CB2B	⿰钅比		pī	鈚		～箭	
𭴊	u2DD0A	⿰火无		wú	㷻	物理	在现代物理学中，指能够不转化和利用的能量，与能转化和利用的【㶲】相对立	
𮐚	u2E41A	⿱艹烦		fán	薠	语文	《九歌·湘夫人》：登白～兮骋望，与佳期兮夕张。	
𰵼	u30D7C	⿰讠桀		huò	謋	语文	《庄子·养生主》：动刀甚微，～然已解。	
𱅛		lr马单		tuó	驒	地名		
姛		lr女同						
