# 韩国人名用汉字
# https://github.com/rutopio/Korean-Name-Hanja-Charset
# https://github.com/zispace/data-hanja
# https://hanja.dict.naver.com/#/category/name
#
# hanja	unicode	pua	consonant	hangul

獵	U+7375	0	ㄹ	렵
躐	U+8E90	0	ㄹ	렵
鬣	U+9B23	0	ㄹ	렵
令	U+4EE4	0	ㄹ	령
伶	U+4F36	0	ㄹ	령
另	U+53E6	0	ㄹ	령
呤	U+5464	0	ㄹ	령
囹	U+56F9	0	ㄹ	령
坽	U+577D	0	ㄹ	령
姈	U+59C8	0	ㄹ	령
岭	U+5CAD	0	ㄹ	령
岺	U+5CBA	0	ㄹ	령
嶺	U+5DBA	0	ㄹ	령
怜	U+601C	0	ㄹ	령
昤	U+6624	0	ㄹ	령
朎	U+670E	0	ㄹ	령
柃	U+67C3	0	ㄹ	령
欞	U+6B1E	0	ㄹ	령
泠	U+6CE0	0	ㄹ	령
澪	U+6FAA	0	ㄹ	령
玲	U+73B2	0	ㄹ	령
皊	U+768A	0	ㄹ	령
砱	U+7831	0	ㄹ	령
秢	U+79E2	0	ㄹ	령
笭	U+7B2D	0	ㄹ	령
羚	U+7F9A	0	ㄹ	령
翎	U+7FCE	0	ㄹ	령
聆	U+8046	0	ㄹ	령
苓	U+82D3	0	ㄹ	령
蛉	U+86C9	0	ㄹ	령
詅	U+8A45	0	ㄹ	령
軨	U+8EE8	0	ㄹ	령
逞	U+901E	0	ㄹ	령
鈴	U+9234	0	ㄹ	령
零	U+96F6	0	ㄹ	령
靈	U+9748	0	ㄹ	령
領	U+9818	0	ㄹ	령
鴒	U+9D12	0	ㄹ	령
鹷	U+9E77	0	ㄹ	령
齡	U+9F61	0	ㄹ	령
例	U+4F8B	0	ㄹ	례
栵	U+6835	0	ㄹ	례
澧	U+6FA7	0	ㄹ	례
礼	U+793C	0	ㄹ	례
禮	U+79AE	0	ㄹ	례
醴	U+91B4	0	ㄹ	례
隷	U+96B7	0	ㄹ	례
隸	U+96B8	0	ㄹ	례
鱧	U+9C67	0	ㄹ	례
禮	U+F9B6	0	ㄹ	례
礼	U+FA18	0	ㄹ	례
勞	U+52DE	0	ㄹ	로
嚧	U+56A7	0	ㄹ	로
壚	U+58DA	0	ㄹ	로
撈	U+6488	0	ㄹ	로
擄	U+64C4	0	ㄹ	로
攎	U+650E	0	ㄹ	로
櫓	U+6AD3	0	ㄹ	로
櫨	U+6AE8	0	ㄹ	로
滷	U+6EF7	0	ㄹ	로
潞	U+6F5E	0	ㄹ	로
潦	U+6F66	0	ㄹ	로
澇	U+6F87	0	ㄹ	로
瀘	U+7018	0	ㄹ	로
爐	U+7210	0	ㄹ	로
玈	U+7388	0	ㄹ	로
璐	U+7490	0	ㄹ	로
瓐	U+74D0	0	ㄹ	로
癆	U+7646	0	ㄹ	로
盧	U+76E7	0	ㄹ	로
矑	U+77D1	0	ㄹ	로
窂	U+7A82	0	ㄹ	로
老	U+8001	0	ㄹ	로
艪	U+826A	0	ㄹ	로
艫	U+826B	0	ㄹ	로
蕗	U+8557	0	ㄹ	로
蘆	U+8606	0	ㄹ	로
虜	U+865C	0	ㄹ	로
路	U+8DEF	0	ㄹ	로
輅	U+8F05	0	ㄹ	로
轤	U+8F64	0	ㄹ	로
鏴	U+93F4	0	ㄹ	로
鐪	U+942A	0	ㄹ	로
鑪	U+946A	0	ㄹ	로
露	U+9732	0	ㄹ	로
顱	U+9871	0	ㄹ	로
髗	U+9AD7	0	ㄹ	로
魯	U+9B6F	0	ㄹ	로
鱸	U+9C78	0	ㄹ	로
鷺	U+9DFA	0	ㄹ	로
鸕	U+9E15	0	ㄹ	로
鹵	U+9E75	0	ㄹ	로
蘆	U+F935	0	ㄹ	로
虜	U+F936	0	ㄹ	로
彔	U+5F54	0	ㄹ	록
摝	U+645D	0	ㄹ	록
淥	U+6DE5	0	ㄹ	록
漉	U+6F09	0	ㄹ	록
濼	U+6FFC	0	ㄹ	록
琭	U+742D	0	ㄹ	록
甪	U+752A	0	ㄹ	록
碌	U+788C	0	ㄹ	록
祿	U+797F	0	ㄹ	록
簏	U+7C0F	0	ㄹ	록
綠	U+7DA0	0	ㄹ	록
菉	U+83C9	0	ㄹ	록
轆	U+8F46	0	ㄹ	록
錄	U+9304	0	ㄹ	록
騄	U+9A04	0	ㄹ	록
鵦	U+9D66	0	ㄹ	록
鹿	U+9E7F	0	ㄹ	록
麓	U+9E93	0	ㄹ	록
祿	U+F93C	0	ㄹ	록
菉	U+F93E	0	ㄹ	록
惀	U+60C0	0	ㄹ	론
掄	U+6384	0	ㄹ	론
論	U+8AD6	0	ㄹ	론
儱	U+5131	0	ㄹ	롱
壟	U+58DF	0	ㄹ	롱
巃	U+5DC3	0	ㄹ	롱
弄	U+5F04	0	ㄹ	롱
攏	U+650F	0	ㄹ	롱
曨	U+66E8	0	ㄹ	롱
朧	U+6727	0	ㄹ	롱
瀧	U+7027	0	ㄹ	롱
瓏	U+74CF	0	ㄹ	롱
礱	U+7931	0	ㄹ	롱
籠	U+7C60	0	ㄹ	롱
聾	U+807E	0	ㄹ	롱
蘢	U+8622	0	ㄹ	롱
隴	U+96B4	0	ㄹ	롱
儡	U+5121	0	ㄹ	뢰
攂	U+6502	0	ㄹ	뢰
瀨	U+7028	0	ㄹ	뢰
牢	U+7262	0	ㄹ	뢰
磊	U+78CA	0	ㄹ	뢰
礌	U+790C	0	ㄹ	뢰
礧	U+7927	0	ㄹ	뢰
籟	U+7C5F	0	ㄹ	뢰
纇	U+7E87	0	ㄹ	뢰
罍	U+7F4D	0	ㄹ	뢰
耒	U+8012	0	ㄹ	뢰
蕾	U+857E	0	ㄹ	뢰
誄	U+8A84	0	ㄹ	뢰
賂	U+8CC2	0	ㄹ	뢰
賚	U+8CDA	0	ㄹ	뢰
賴	U+8CF4	0	ㄹ	뢰
酹	U+9179	0	ㄹ	뢰
雷	U+96F7	0	ㄹ	뢰
頼	U+983C	0	ㄹ	뢰
了	U+4E86	0	ㄹ	료
僚	U+50DA	0	ㄹ	료
嘹	U+5639	0	ㄹ	료
嫽	U+5AFD	0	ㄹ	료
寮	U+5BEE	0	ㄹ	료
廖	U+5ED6	0	ㄹ	료
撩	U+64A9	0	ㄹ	료
料	U+6599	0	ㄹ	료
暸	U+66B8	0	ㄹ	료
漻	U+6F3B	0	ㄹ	료
潦	U+6F66	0	ㄹ	료
炓	U+7093	0	ㄹ	료
燎	U+71CE	0	ㄹ	료
獠	U+7360	0	ㄹ	료
療	U+7642	0	ㄹ	료
瞭	U+77AD	0	ㄹ	료
繚	U+7E5A	0	ㄹ	료
聊	U+804A	0	ㄹ	료
膋	U+818B	0	ㄹ	료
蓼	U+84FC	0	ㄹ	료
遼	U+907C	0	ㄹ	료
鄝	U+911D	0	ㄹ	료
醪	U+91AA	0	ㄹ	료
鐐	U+9410	0	ㄹ	료
飂	U+98C2	0	ㄹ	료
飉	U+98C9	0	ㄹ	료
蓼	U+F9C2	0	ㄹ	료
徿	U+5FBF	0	ㄹ	룡
竜	U+7ADC	0	ㄹ	룡
龍	U+9F8D	0	ㄹ	룡
龒	U+9F92	0	ㄹ	룡
僂	U+50C2	0	ㄹ	루
嘍	U+560D	0	ㄹ	루
壘	U+58D8	0	ㄹ	루
婁	U+5A41	0	ㄹ	루
屢	U+5C62	0	ㄹ	루
嶁	U+5D81	0	ㄹ	루
慺	U+617A	0	ㄹ	루
摟	U+645F	0	ㄹ	루
樓	U+6A13	0	ㄹ	루
淚	U+6DDA	0	ㄹ	루
漊	U+6F0A	0	ㄹ	루
漏	U+6F0F	0	ㄹ	루
漯	U+6F2F	0	ㄹ	루
熡	U+71A1	0	ㄹ	루
瘻	U+763B	0	ㄹ	루
累	U+7D2F	0	ㄹ	루
縷	U+7E37	0	ㄹ	루
耬	U+802C	0	ㄹ	루
蔞	U+851E	0	ㄹ	루
螻	U+87BB	0	ㄹ	루
褸	U+8938	0	ㄹ	루
謱	U+8B31	0	ㄹ	루
鏤	U+93E4	0	ㄹ	루
陋	U+964B	0	ㄹ	루
髏	U+9ACF	0	ㄹ	루
劉	U+5289	0	ㄹ	류
懰	U+61F0	0	ㄹ	류
旒	U+65D2	0	ㄹ	류
柳	U+67F3	0	ㄹ	류
榴	U+69B4	0	ㄹ	류
橊	U+6A4A	0	ㄹ	류
流	U+6D41	0	ㄹ	류
溜	U+6E9C	0	ㄹ	류
漻	U+6F3B	0	ㄹ	류
瀏	U+700F	0	ㄹ	류
琉	U+7409	0	ㄹ	류
瑠	U+7460	0	ㄹ	류
瑬	U+746C	0	ㄹ	류
留	U+7559	0	ㄹ	류
瘤	U+7624	0	ㄹ	류
硫	U+786B	0	ㄹ	류
縲	U+7E32	0	ㄹ	류
纍	U+7E8D	0	ㄹ	류
謬	U+8B2C	0	ㄹ	류
遛	U+905B	0	ㄹ	류
鉚	U+925A	0	ㄹ	류
鎏	U+938F	0	ㄹ	류
鏐	U+93D0	0	ㄹ	류
類	U+985E	0	ㄹ	류
鶹	U+9DB9	0	ㄹ	류
六	U+516D	0	ㄹ	륙
勠	U+52E0	0	ㄹ	륙
戮	U+622E	0	ㄹ	륙
陸	U+9678	0	ㄹ	륙
侖	U+4F96	0	ㄹ	륜
倫	U+502B	0	ㄹ	륜
圇	U+5707	0	ㄹ	륜
崘	U+5D18	0	ㄹ	륜
崙	U+5D19	0	ㄹ	륜
掄	U+6384	0	ㄹ	륜
棆	U+68C6	0	ㄹ	륜
淪	U+6DEA	0	ㄹ	륜
綸	U+7DB8	0	ㄹ	륜
踚	U+8E1A	0	ㄹ	륜
輪	U+8F2A	0	ㄹ	륜
錀	U+9300	0	ㄹ	륜
㖀	U+3580	0	ㄹ	률
㟳	U+37F3	0	ㄹ	률
嵂	U+5D42	0	ㄹ	률
律	U+5F8B	0	ㄹ	률
慄	U+6144	0	ㄹ	률
栗	U+6817	0	ㄹ	률
溧	U+6EA7	0	ㄹ	률
率	U+7387	0	ㄹ	률
瑮	U+746E	0	ㄹ	률
𥠲	U+25832	0	ㄹ	률
㦕	U+3995	0	ㄹ	륭
癃	U+7643	0	ㄹ	륭
窿	U+7ABF	0	ㄹ	륭
隆	U+9686	0	ㄹ	륭
勒	U+52D2	0	ㄹ	륵
忇	U+5FC7	0	ㄹ	륵
泐	U+6CD0	0	ㄹ	륵
玏	U+738F	0	ㄹ	륵
肋	U+808B	0	ㄹ	륵
凛	U+51DB	0	ㄹ	름
凜	U+51DC	0	ㄹ	름
廩	U+5EE9	0	ㄹ	름
懍	U+61CD	0	ㄹ	름
澟	U+6F9F	0	ㄹ	름
菻	U+83FB	0	ㄹ	름
倰	U+5030	0	ㄹ	릉
凌	U+51CC	0	ㄹ	릉
楞	U+695E	0	ㄹ	릉
稜	U+7A1C	0	ㄹ	릉
綾	U+7DBE	0	ㄹ	릉
菱	U+83F1	0	ㄹ	릉
蔆	U+8506	0	ㄹ	릉
陵	U+9675	0	ㄹ	릉
菱	U+F958	0	ㄹ	릉
俐	U+4FD0	0	ㄹ	리
俚	U+4FDA	0	ㄹ	리
利	U+5229	0	ㄹ	리
剺	U+527A	0	ㄹ	리
厘	U+5398	0	ㄹ	리
吏	U+540F	0	ㄹ	리
哩	U+54E9	0	ㄹ	리
唎	U+550E	0	ㄹ	리
娌	U+5A0C	0	ㄹ	리
嫠	U+5AE0	0	ㄹ	리
孋	U+5B4B	0	ㄹ	리
履	U+5C65	0	ㄹ	리
悧	U+60A7	0	ㄹ	리
摛	U+645B	0	ㄹ	리
攡	U+6521	0	ㄹ	리
李	U+674E	0	ㄹ	리
梨	U+68A8	0	ㄹ	리
浬	U+6D6C	0	ㄹ	리
涖	U+6D96	0	ㄹ	리
漓	U+6F13	0	ㄹ	리
灕	U+7055	0	ㄹ	리
犁	U+7281	0	ㄹ	리
犂	U+7282	0	ㄹ	리
狸	U+72F8	0	ㄹ	리
理	U+7406	0	ㄹ	리
璃	U+7483	0	ㄹ	리
痢	U+75E2	0	ㄹ	리
离	U+79BB	0	ㄹ	리
籬	U+7C6C	0	ㄹ	리
罹	U+7F79	0	ㄹ	리
羸	U+7FB8	0	ㄹ	리
莅	U+8385	0	ㄹ	리
莉	U+8389	0	ㄹ	리
蜊	U+870A	0	ㄹ	리
螭	U+87AD	0	ㄹ	리
裏	U+88CF	0	ㄹ	리
裡	U+88E1	0	ㄹ	리
貍	U+8C8D	0	ㄹ	리
邐	U+9090	0	ㄹ	리
里	U+91CC	0	ㄹ	리
釐	U+91D0	0	ㄹ	리
離	U+96E2	0	ㄹ	리
魑	U+9B51	0	ㄹ	리
鯉	U+9BC9	0	ㄹ	리
鸝	U+9E1D	0	ㄹ	리
黐	U+9ED0	0	ㄹ	리
𢻠	U+22EE0	0	ㄹ	리
䗲	U+45F2	0	ㄹ	린
吝	U+541D	0	ㄹ	린
嶙	U+5D99	0	ㄹ	린
悋	U+608B	0	ㄹ	린
撛	U+649B	0	ㄹ	린
斴	U+65B4	0	ㄹ	린
暽	U+66BD	0	ㄹ	린
橉	U+6A49	0	ㄹ	린
潾	U+6F7E	0	ㄹ	린
焛	U+711B	0	ㄹ	린
燐	U+71D0	0	ㄹ	린
獜	U+735C	0	ㄹ	린
璘	U+7498	0	ㄹ	린
瞵	U+77B5	0	ㄹ	린
磷	U+78F7	0	ㄹ	린
粦	U+7CA6	0	ㄹ	린
粼	U+7CBC	0	ㄹ	린
繗	U+7E57	0	ㄹ	린
藺	U+85FA	0	ㄹ	린
躙	U+8E99	0	ㄹ	린
躪	U+8EAA	0	ㄹ	린
轔	U+8F54	0	ㄹ	린
鄰	U+9130	0	ㄹ	린
鏻	U+93FB	0	ㄹ	린
閵	U+95B5	0	ㄹ	린
隣	U+96A3	0	ㄹ	린
驎	U+9A4E	0	ㄹ	린
鱗	U+9C57	0	ㄹ	린
麟	U+9E9F	0	ㄹ	린
藺	U+F9F0	0	ㄹ	린
𪊭	U+2A2AD	0	ㄹ	린
晽	U+667D	0	ㄹ	림
林	U+6797	0	ㄹ	림
棽	U+68FD	0	ㄹ	림
淋	U+6DCB	0	ㄹ	림
玪	U+73AA	0	ㄹ	림
琳	U+7433	0	ㄹ	림
痳	U+75F3	0	ㄹ	림
碄	U+7884	0	ㄹ	림
臨	U+81E8	0	ㄹ	림
霖	U+9716	0	ㄹ	림
岦	U+5CA6	0	ㄹ	립
砬	U+782C	0	ㄹ	립
立	U+7ACB	0	ㄹ	립
笠	U+7B20	0	ㄹ	립
粒	U+7C92	0	ㄹ	립
劘	U+5298	0	ㅁ	마
媽	U+5ABD	0	ㅁ	마
摩	U+6469	0	ㅁ	마
瑪	U+746A	0	ㅁ	마
痲	U+75F2	0	ㅁ	마
碼	U+78BC	0	ㅁ	마
磨	U+78E8	0	ㅁ	마
螞	U+879E	0	ㅁ	마
蟇	U+87C7	0	ㅁ	마
馬	U+99AC	0	ㅁ	마
魔	U+9B54	0	ㅁ	마
麻	U+9EBB	0	ㅁ	마
麽	U+9EBD	0	ㅁ	마
寞	U+5BDE	0	ㅁ	막
幕	U+5E55	0	ㅁ	막
漠	U+6F20	0	ㅁ	막
瞙	U+7799	0	ㅁ	막
膜	U+819C	0	ㅁ	막
莫	U+83AB	0	ㅁ	막
邈	U+9088	0	ㅁ	막
鏌	U+93CC	0	ㅁ	막
䊡	U+42A1	0	ㅁ	만
万	U+4E07	0	ㅁ	만
卍	U+534D	0	ㅁ	만
墁	U+5881	0	ㅁ	만
娩	U+5A29	0	ㅁ	만
嫚	U+5ADA	0	ㅁ	만
巒	U+5DD2	0	ㅁ	만
幔	U+5E54	0	ㅁ	만
彎	U+5F4E	0	ㅁ	만
慢	U+6162	0	ㅁ	만
挽	U+633D	0	ㅁ	만
晚	U+665A	0	ㅁ	만
曼	U+66FC	0	ㅁ	만
槾	U+69FE	0	ㅁ	만
樠	U+6A20	0	ㅁ	만
滿	U+6EFF	0	ㅁ	만
漫	U+6F2B	0	ㅁ	만
灣	U+7063	0	ㅁ	만
睌	U+774C	0	ㅁ	만
瞞	U+779E	0	ㅁ	만
縵	U+7E35	0	ㅁ	만
脕	U+8115	0	ㅁ	만
萬	U+842C	0	ㅁ	만
蔓	U+8513	0	ㅁ	만
蠻	U+883B	0	ㅁ	만
謾	U+8B3E	0	ㅁ	만
蹣	U+8E63	0	ㅁ	만
輓	U+8F13	0	ㅁ	만
鄤	U+9124	0	ㅁ	만
鏋	U+93CB	0	ㅁ	만
鏝	U+93DD	0	ㅁ	만
饅	U+9945	0	ㅁ	만
鬘	U+9B18	0	ㅁ	만
鰻	U+9C3B	0	ㅁ	만
唜	U+551C	0	ㅁ	말
妺	U+59BA	0	ㅁ	말
帕	U+5E15	0	ㅁ	말
抹	U+62B9	0	ㅁ	말
末	U+672B	0	ㅁ	말
沫	U+6CAB	0	ㅁ	말
秣	U+79E3	0	ㅁ	말
茉	U+8309	0	ㅁ	말
襪	U+896A	0	ㅁ	말
靺	U+977A	0	ㅁ	말
亡	U+4EA1	0	ㅁ	망
妄	U+5984	0	ㅁ	망
忘	U+5FD8	0	ㅁ	망
忙	U+5FD9	0	ㅁ	망
惘	U+60D8	0	ㅁ	망
望	U+671B	0	ㅁ	망
朢	U+6722	0	ㅁ	망
汒	U+6C52	0	ㅁ	망
漭	U+6F2D	0	ㅁ	망
網	U+7DB2	0	ㅁ	망
罔	U+7F54	0	ㅁ	망
芒	U+8292	0	ㅁ	망
茫	U+832B	0	ㅁ	망
莽	U+83BD	0	ㅁ	망
輞	U+8F1E	0	ㅁ	망
邙	U+9099	0	ㅁ	망
魍	U+9B4D	0	ㅁ	망
莽	U+2F99D	0	ㅁ	망
勱	U+52F1	0	ㅁ	매
呆	U+5446	0	ㅁ	매
埋	U+57CB	0	ㅁ	매
妹	U+59B9	0	ㅁ	매
媒	U+5A92	0	ㅁ	매
寐	U+5BD0	0	ㅁ	매
昧	U+6627	0	ㅁ	매
枚	U+679A	0	ㅁ	매
梅	U+6885	0	ㅁ	매
楳	U+6973	0	ㅁ	매
每	U+6BCF	0	ㅁ	매
沬	U+6CAC	0	ㅁ	매
煤	U+7164	0	ㅁ	매
玫	U+73AB	0	ㅁ	매
眛	U+771B	0	ㅁ	매
罵	U+7F75	0	ㅁ	매
苺	U+82FA	0	ㅁ	매
莓	U+8393	0	ㅁ	매
買	U+8CB7	0	ㅁ	매
賣	U+8CE3	0	ㅁ	매
邁	U+9081	0	ㅁ	매
酶	U+9176	0	ㅁ	매
霉	U+9709	0	ㅁ	매
魅	U+9B45	0	ㅁ	매
脈	U+8108	0	ㅁ	맥
貃	U+8C83	0	ㅁ	맥
貊	U+8C8A	0	ㅁ	맥
貘	U+8C98	0	ㅁ	맥
陌	U+964C	0	ㅁ	맥
驀	U+9A40	0	ㅁ	맥
麥	U+9EA5	0	ㅁ	맥
孟	U+5B5F	0	ㅁ	맹
氓	U+6C13	0	ㅁ	맹
猛	U+731B	0	ㅁ	맹
甍	U+750D	0	ㅁ	맹
甿	U+753F	0	ㅁ	맹
盟	U+76DF	0	ㅁ	맹
盲	U+76F2	0	ㅁ	맹
萌	U+840C	0	ㅁ	맹
虻	U+867B	0	ㅁ	맹
冪	U+51AA	0	ㅁ	멱
幎	U+5E4E	0	ㅁ	멱
覓	U+8993	0	ㅁ	멱
䛲	U+46F2	0	ㅁ	면
俛	U+4FDB	0	ㅁ	면
免	U+514D	0	ㅁ	면
冕	U+5195	0	ㅁ	면
勉	U+52C9	0	ㅁ	면
愐	U+6110	0	ㅁ	면
棉	U+68C9	0	ㅁ	면
沔	U+6C94	0	ㅁ	면
湎	U+6E4E	0	ㅁ	면
眄	U+7704	0	ㅁ	면
眠	U+7720	0	ㅁ	면
綿	U+7DBF	0	ㅁ	면
緜	U+7DDC	0	ㅁ	면
緬	U+7DEC	0	ㅁ	면
葂	U+8442	0	ㅁ	면
面	U+9762	0	ㅁ	면
麪	U+9EAA	0	ㅁ	면
麵	U+9EB5	0	ㅁ	면
滅	U+6EC5	0	ㅁ	멸
篾	U+7BFE	0	ㅁ	멸
蔑	U+8511	0	ㅁ	멸
衊	U+884A	0	ㅁ	멸
䳟	U+4CDF	0	ㅁ	명
冥	U+51A5	0	ㅁ	명
名	U+540D	0	ㅁ	명
命	U+547D	0	ㅁ	명
慏	U+614F	0	ㅁ	명
明	U+660E	0	ㅁ	명
暝	U+669D	0	ㅁ	명
椧	U+6927	0	ㅁ	명
洺	U+6D3A	0	ㅁ	명
溟	U+6E9F	0	ㅁ	명
熐	U+7190	0	ㅁ	명
皿	U+76BF	0	ㅁ	명
眀	U+7700	0	ㅁ	명
瞑	U+7791	0	ㅁ	명
茗	U+8317	0	ㅁ	명
蓂	U+84C2	0	ㅁ	명
螟	U+879F	0	ㅁ	명
詺	U+8A7A	0	ㅁ	명
鄍	U+910D	0	ㅁ	명
酩	U+9169	0	ㅁ	명
銘	U+9298	0	ㅁ	명
鳴	U+9CF4	0	ㅁ	명
袂	U+8882	0	ㅁ	몌
侔	U+4F94	0	ㅁ	모
侮	U+4FAE	0	ㅁ	모
冒	U+5192	0	ㅁ	모
募	U+52DF	0	ㅁ	모
姆	U+59C6	0	ㅁ	모
姥	U+59E5	0	ㅁ	모
媢	U+5AA2	0	ㅁ	모
嫫	U+5AEB	0	ㅁ	모
帽	U+5E3D	0	ㅁ	모
恈	U+6048	0	ㅁ	모
慔	U+6154	0	ㅁ	모
慕	U+6155	0	ㅁ	모
摸	U+6478	0	ㅁ	모
摹	U+6479	0	ㅁ	모
旄	U+65C4	0	ㅁ	모
暮	U+66AE	0	ㅁ	모
某	U+67D0	0	ㅁ	모
模	U+6A21	0	ㅁ	모
橅	U+6A45	0	ㅁ	모
母	U+6BCD	0	ㅁ	모
毛	U+6BDB	0	ㅁ	모
洠	U+6D20	0	ㅁ	모
牟	U+725F	0	ㅁ	모
牡	U+7261	0	ㅁ	모
瑁	U+7441	0	ㅁ	모
皃	U+7683	0	ㅁ	모
眊	U+770A	0	ㅁ	모
眸	U+7738	0	ㅁ	모
矛	U+77DB	0	ㅁ	모
耄	U+8004	0	ㅁ	모
耗	U+8017	0	ㅁ	모
芼	U+82BC	0	ㅁ	모
茅	U+8305	0	ㅁ	모
蝥	U+8765	0	ㅁ	모
蟊	U+87CA	0	ㅁ	모
謀	U+8B00	0	ㅁ	모
謨	U+8B28	0	ㅁ	모
貌	U+8C8C	0	ㅁ	모
軞	U+8EDE	0	ㅁ	모
髦	U+9AE6	0	ㅁ	모
坶	U+5776	0	ㅁ	목
木	U+6728	0	ㅁ	목
沐	U+6C90	0	ㅁ	목
炑	U+7091	0	ㅁ	목
牧	U+7267	0	ㅁ	목
目	U+76EE	0	ㅁ	목
睦	U+7766	0	ㅁ	목
穆	U+7A46	0	ㅁ	목
苜	U+82DC	0	ㅁ	목
鶩	U+9DA9	0	ㅁ	목
歿	U+6B7F	0	ㅁ	몰
沒	U+6C92	0	ㅁ	몰
䑃	U+4443	0	ㅁ	몽
夢	U+5922	0	ㅁ	몽
幪	U+5E6A	0	ㅁ	몽
懞	U+61DE	0	ㅁ	몽
曚	U+66DA	0	ㅁ	몽
朦	U+6726	0	ㅁ	몽
溕	U+6E95	0	ㅁ	몽
濛	U+6FDB	0	ㅁ	몽
瞢	U+77A2	0	ㅁ	몽
矇	U+77C7	0	ㅁ	몽
艨	U+8268	0	ㅁ	몽
蒙	U+8499	0	ㅁ	몽
雺	U+96FA	0	ㅁ	몽
鸏	U+9E0F	0	ㅁ	몽
夢	U+2F85E	0	ㅁ	몽
卯	U+536F	0	ㅁ	묘
墓	U+5893	0	ㅁ	묘
妙	U+5999	0	ㅁ	묘
嫹	U+5AF9	0	ㅁ	묘
廟	U+5EDF	0	ㅁ	묘
描	U+63CF	0	ㅁ	묘
昴	U+6634	0	ㅁ	묘
杳	U+6773	0	ㅁ	묘
淼	U+6DFC	0	ㅁ	묘
渺	U+6E3A	0	ㅁ	묘
猫	U+732B	0	ㅁ	묘
畝	U+755D	0	ㅁ	묘
眇	U+7707	0	ㅁ	묘
竗	U+7AD7	0	ㅁ	묘
苗	U+82D7	0	ㅁ	묘
藐	U+85D0	0	ㅁ	묘
訬	U+8A2C	0	ㅁ	묘
貓	U+8C93	0	ㅁ	묘
錨	U+9328	0	ㅁ	묘
儛	U+511B	0	ㅁ	무
務	U+52D9	0	ㅁ	무
嘸	U+5638	0	ㅁ	무
堥	U+5825	0	ㅁ	무
娬	U+5A2C	0	ㅁ	무
嫵	U+5AF5	0	ㅁ	무
巫	U+5DEB	0	ㅁ	무
廡	U+5EE1	0	ㅁ	무
憮	U+61AE	0	ㅁ	무
懋	U+61CB	0	ㅁ	무
戊	U+620A	0	ㅁ	무
拇	U+62C7	0	ㅁ	무
撫	U+64AB	0	ㅁ	무
无	U+65E0	0	ㅁ	무
楙	U+6959	0	ㅁ	무
橅	U+6A45	0	ㅁ	무
橆	U+6A46	0	ㅁ	무
武	U+6B66	0	ㅁ	무
毋	U+6BCB	0	ㅁ	무
無	U+7121	0	ㅁ	무
珷	U+73F7	0	ㅁ	무
璑	U+7491	0	ㅁ	무
畝	U+755D	0	ㅁ	무
碔	U+7894	0	ㅁ	무
繆	U+7E46	0	ㅁ	무
膴	U+81B4	0	ㅁ	무
舞	U+821E	0	ㅁ	무
茂	U+8302	0	ㅁ	무
蕪	U+856A	0	ㅁ	무
誣	U+8AA3	0	ㅁ	무
貿	U+8CBF	0	ㅁ	무
霧	U+9727	0	ㅁ	무
騖	U+9A16	0	ㅁ	무
鵡	U+9D61	0	ㅁ	무
嘿	U+563F	0	ㅁ	묵
默	U+9ED8	0	ㅁ	묵
墨	U+FA3A	0	ㅁ	묵
們	U+5011	0	ㅁ	문
刎	U+520E	0	ㅁ	문
吻	U+543B	0	ㅁ	문
問	U+554F	0	ㅁ	문
妏	U+598F	0	ㅁ	문
悗	U+6097	0	ㅁ	문
懣	U+61E3	0	ㅁ	문
抆	U+6286	0	ㅁ	문
捫	U+636B	0	ㅁ	문
文	U+6587	0	ㅁ	문
汶	U+6C76	0	ㅁ	문
炆	U+7086	0	ㅁ	문
玧	U+73A7	0	ㅁ	문
璊	U+748A	0	ㅁ	문
紊	U+7D0A	0	ㅁ	문
紋	U+7D0B	0	ㅁ	문
聞	U+805E	0	ㅁ	문
芠	U+82A0	0	ㅁ	문
蚊	U+868A	0	ㅁ	문
門	U+9580	0	ㅁ	문
雯	U+96EF	0	ㅁ	문
勿	U+52FF	0	ㅁ	물
沕	U+6C95	0	ㅁ	물
物	U+7269	0	ㅁ	물
㵟	U+3D5F	0	ㅁ	미
䋛	U+42DB	0	ㅁ	미
䍘	U+4358	0	ㅁ	미
亹	U+4EB9	0	ㅁ	미
侎	U+4F8E	0	ㅁ	미
冞	U+519E	0	ㅁ	미
味	U+5473	0	ㅁ	미
咪	U+54AA	0	ㅁ	미
堳	U+5833	0	ㅁ	미
娓	U+5A13	0	ㅁ	미
媄	U+5A84	0	ㅁ	미
媚	U+5A9A	0	ㅁ	미
媺	U+5ABA	0	ㅁ	미
尾	U+5C3E	0	ㅁ	미
嵄	U+5D44	0	ㅁ	미
嵋	U+5D4B	0	ㅁ	미
弥	U+5F25	0	ㅁ	미
弭	U+5F2D	0	ㅁ	미
彌	U+5F4C	0	ㅁ	미
微	U+5FAE	0	ㅁ	미
敉	U+6549	0	ㅁ	미
未	U+672A	0	ㅁ	미
梶	U+68B6	0	ㅁ	미
楣	U+6963	0	ㅁ	미
洣	U+6D23	0	ㅁ	미
浘	U+6D58	0	ㅁ	미
渳	U+6E33	0	ㅁ	미
渼	U+6E3C	0	ㅁ	미
湄	U+6E44	0	ㅁ	미
溦	U+6EA6	0	ㅁ	미
濔	U+6FD4	0	ㅁ	미
瀰	U+7030	0	ㅁ	미
煝	U+715D	0	ㅁ	미
獼	U+737C	0	ㅁ	미
