# 《通用规范汉字表》（2013年） 
# https://github.com/cdtym/digital-table-of-general-standard-chinese-characters
#
# 原表8105字
# 附表一繁体字列2648字（传承字）
# 附表一异体字列1023字
# 全表共计11776=8105+2648+1023字
# 其中133字分别出现2次，去重后共11643字。
# 繁简关系：无繁体组5552、一一对应组2445、复杂对应组108（其有96组一个规范字对应多个繁体字（或传承字））。
# 
# 缺少编码
# 其中有5个异体字字未进行unicode编码，分别是：
# 610_1_3	⿰韋刄 	
# 1360_0_1	⿰王冊 # 1360_0_1可认同到“珊”（参考港台字形，同码异形）
# 2424_0_2	⿰氵⿱⿻夕丶缶 # 2424_0_2疑似可以认同到“滛”U+6EDB，参考校编本《第一批异体字整理表》，顾雪枫 编著，苏州大学出版社
# 3317_0_2	⿰扌㕘	# 3317_0_2疑似可以认同到“撡”U+64A1，参考《语言文字规范标准 (教育部语言文字信息管理司组编)》 
# 4225_0_1	⿰口芉	# 4225_0_1疑似可以认同到“哶”U+54F6

# 序号	汉字	Unicode		
149_1	倉	U+5009
150	月	U+6708
151	氏	U+6C0F
152	勿	U+52FF
153	欠	U+6B20
154	风	U+98CE
154_1	風	U+98A8
155	丹	U+4E39
156	匀	U+5300
157	乌	U+4E4C
157_1	烏	U+70CF
158	勾	U+52FE
159	凤	U+51E4
159_1	鳳	U+9CF3
160	六	U+516D
161	文	U+6587
162	亢	U+4EA2
163	方	U+65B9
164	火	U+706B
165	为	U+4E3A
165_1	爲	U+7232
166	斗	U+6597
166_0	斗	U+6597
166_1	鬥	U+9B25
166_1_1	鬦	U+9B26
166_1_2	鬪	U+9B2A
166_1_3	鬭	U+9B2D
167	忆	U+5FC6
167_1	憶	U+61B6
168	计	U+8BA1
168_1	計	U+8A08
169	订	U+8BA2
169_1	訂	U+8A02
170	户	U+6237
171	认	U+8BA4
171_1	認	U+8A8D
172	冗	U+5197
172_0_1	宂	U+5B82
173	讥	U+8BA5
173_1	譏	U+8B4F
174	心	U+5FC3
175	尺	U+5C3A
176	引	U+5F15
177	丑	U+4E11
177_0	丑	U+4E11
177_1	醜	U+919C
178	巴	U+5DF4
179	孔	U+5B54
180	队	U+961F
180_1	隊	U+968A
181	办	U+529E
181_1	辦	U+8FA6
182	以	U+4EE5
182_0_1	㕥	U+3565
182_0_2	㠯	U+382F
183	允	U+5141
184	予	U+4E88
185	邓	U+9093
185_1	鄧	U+9127
186	劝	U+529D
186_1	勸	U+52F8
187	双	U+53CC
187_1	雙	U+96D9
188	书	U+4E66
188_1	書	U+66F8
189	幻	U+5E7B
190	玉	U+7389
191	刊	U+520A
191_0_1	栞	U+681E
192	未	U+672A
193	末	U+672B
194	示	U+793A
195	击	U+51FB
195_1	擊	U+64CA
196	打	U+6253
197	巧	U+5DE7
198	正	U+6B63
199	扑	U+6251
199_1	撲	U+64B2
200	卉	U+5349
201	扒	U+6252
202	功	U+529F
203	扔	U+6254
204	去	U+53BB
205	甘	U+7518
206	世	U+4E16
207	艾	U+827E
208	古	U+53E4
209	节	U+8282
209_1	節	U+7BC0
210	本	U+672C
211	术	U+672F
211_0	术	U+672F
211_1	術	U+8853
212	可	U+53EF
213	丙	U+4E19
214	左	U+5DE6
215	厉	U+5389
215_1	厲	U+53B2
216	石	U+77F3
217	右	U+53F3
218	布	U+5E03
218_0_1	佈	U+4F48
219	夯	U+592F
220	戊	U+620A
221	龙	U+9F99
221_1	龍	U+9F8D
222	平	U+5E73
223	灭	U+706D
223_1	滅	U+6EC5
224	轧	U+8F67
224_1	軋	U+8ECB
225	东	U+4E1C
225_1	東	U+6771
226	卡	U+5361
227	北	U+5317
228	占	U+5360
228_0_1	佔	U+4F54
229	凸	U+51F8
230	卢	U+5362
230_1	盧	U+76E7
231	业	U+4E1A
231_1	業	U+696D
232	旧	U+65E7
232_1	舊	U+820A
233	帅	U+5E05
233_1	帥	U+5E25
234	归	U+5F52
234_1	歸	U+6B78
235	旦	U+65E6
236	目	U+76EE
237	且	U+4E14
238	叶	U+53F6
238_0	叶	U+53F6
238_1	葉	U+8449
239	甲	U+7532
240	申	U+7533
241	叮	U+53EE
242	电	U+7535
242_1	電	U+96FB
243	号	U+53F7
243_1	號	U+865F
244	田	U+7530
245	由	U+7531
246	只	U+53EA
246_1	衹	U+8879
246_1_1	祇	U+7947
246_1_2	秖	U+79D6
246_2	隻	U+96BB
247	叭	U+53ED
248	史	U+53F2
249	央	U+592E
250	兄	U+5144
251	叽	U+53FD
251_1	嘰	U+5630
252	叼	U+53FC
253	叫	U+53EB
253_0_1	呌	U+544C
254	叩	U+53E9
254_0_1	敂	U+6542
255	叨	U+53E8
256	另	U+53E6
257	叹	U+53F9
257_1	嘆	U+5606
257_1_1	歎	U+6B4E
258	冉	U+5189
258_0_1	冄	U+5184
259	皿	U+76BF
260	凹	U+51F9
261	囚	U+56DA
262	四	U+56DB
263	生	U+751F
264	矢	U+77E2
265	失	U+5931
266	乍	U+4E4D
267	禾	U+79BE
268	丘	U+4E18
268_0_1	坵	U+5775
269	付	U+4ED8
270	仗	U+4ED7
271	代	U+4EE3
272	仙	U+4ED9
272_0_1	僊	U+50CA
273	们	U+4EEC
273_1	們	U+5011
274	仪	U+4EEA
274_1	儀	U+5100
275	白	U+767D
276	仔	U+4ED4
277	他	U+4ED6
278	斥	U+65A5
279	瓜	U+74DC
280	乎	U+4E4E
281	丛	U+4E1B
281_1	叢	U+53E2
282	令	U+4EE4
283	用	U+7528
284	甩	U+7529
285	印	U+5370
286	尔	U+5C14
286_1	爾	U+723E
286_1_1	尒	U+5C12
287	乐	U+4E50
287_1	樂	U+6A02
288	句	U+53E5
289	匆	U+5306
289_0_1	怱	U+6031
289_0_2	悤	U+60A4
290	册	U+518C
290_0_1	冊	U+518A
291	卯	U+536F
291_0_1	夘	U+5918
291_0_2	戼	U+623C
292	犯	U+72AF
293	外	U+5916
294	处	U+5904
294_1	處	U+8655
295	冬	U+51AC
295_0	冬	U+51AC
295_1	鼕	U+9F15
296	鸟	U+9E1F
296_1	鳥	U+9CE5
297	务	U+52A1
297_1	務	U+52D9
298	包	U+5305
299	饥	U+9965
299_1	飢	U+98E2
299_2	饑	U+9951
300	主	U+4E3B
301	市	U+5E02
302	立	U+7ACB
303	冯	U+51AF
303_1	馮	U+99AE
304	玄	U+7384
305	闪	U+95EA
305_1	閃	U+9583
306	兰	U+5170
306_1	蘭	U+862D
307	半	U+534A
308	汁	U+6C41
309	汇	U+6C47
309_1	匯	U+532F
309_1_1	滙	U+6ED9
309_2	彙	U+5F59
310	头	U+5934
310_1	頭	U+982D
311	汉	U+6C49
311_1	漢	U+6F22
312	宁	U+5B81
312_1	寧	U+5BE7
312_1_1	寕	U+5BD5
312_1_2	甯	U+752F
313	穴	U+7A74
314	它	U+5B83
314_0_1	牠	U+7260
315	讨	U+8BA8
315_1	討	U+8A0E
316	写	U+5199
316_1	寫	U+5BEB
317	让	U+8BA9
317_1	讓	U+8B93
318	礼	U+793C
318_1	禮	U+79AE
319	训	U+8BAD
319_1	訓	U+8A13
320	议	U+8BAE
320_1	議	U+8B70
321	必	U+5FC5
322	讯	U+8BAF
322_1	訊	U+8A0A
323	记	U+8BB0
323_1	記	U+8A18
324	永	U+6C38
325	司	U+53F8
326	尼	U+5C3C
327	民	U+6C11
328	弗	U+5F17
329	弘	U+5F18
330	出	U+51FA
330_0	出	U+51FA
330_1	齣	U+9F63
331	辽	U+8FBD
331_1	遼	U+907C
