# 《通用规范汉字表》（2013年） 
# https://github.com/cdtym/digital-table-of-general-standard-chinese-characters
#
# 原表8105字
# 附表一繁体字列2648字（传承字）
# 附表一异体字列1023字
# 全表共计11776=8105+2648+1023字
# 其中133字分别出现2次，去重后共11643字。
# 繁简关系：无繁体组5552、一一对应组2445、复杂对应组108（其有96组一个规范字对应多个繁体字（或传承字））。
# 
# 缺少编码
# 其中有5个异体字字未进行unicode编码，分别是：
# 610_1_3	⿰韋刄 	
# 1360_0_1	⿰王冊 # 1360_0_1可认同到“珊”（参考港台字形，同码异形）
# 2424_0_2	⿰氵⿱⿻夕丶缶 # 2424_0_2疑似可以认同到“滛”U+6EDB，参考校编本《第一批异体字整理表》，顾雪枫 编著，苏州大学出版社
# 3317_0_2	⿰扌㕘	# 3317_0_2疑似可以认同到“撡”U+64A1，参考《语言文字规范标准 (教育部语言文字信息管理司组编)》 
# 4225_0_1	⿰口芉	# 4225_0_1疑似可以认同到“哶”U+54F6

# 序号	汉字	Unicode		
1719	垦	U+57A6
1719_1	墾	U+58BE
1720	退	U+9000
1721	既	U+65E2
1722	屋	U+5C4B
1723	昼	U+663C
1723_1	晝	U+665D
1724	屏	U+5C4F
1725	屎	U+5C4E
1726	费	U+8D39
1726_1	費	U+8CBB
1727	陡	U+9661
1728	逊	U+900A
1728_1	遜	U+905C
1729	眉	U+7709
1730	孩	U+5B69
1731	陨	U+9668
1731_1	隕	U+9695
1732	除	U+9664
1733	险	U+9669
1733_1	險	U+96AA
1734	院	U+9662
1735	娃	U+5A03
1736	姥	U+59E5
1737	姨	U+59E8
1738	姻	U+59FB
1738_0_1	婣	U+5A63
1739	娇	U+5A07
1739_1	嬌	U+5B0C
1740	姚	U+59DA
1741	娜	U+5A1C
1742	怒	U+6012
1743	架	U+67B6
1744	贺	U+8D3A
1744_1	賀	U+8CC0
1745	盈	U+76C8
1746	勇	U+52C7
1747	怠	U+6020
1748	癸	U+7678
1749	蚤	U+86A4
1750	柔	U+67D4
1751	垒	U+5792
1751_1	壘	U+58D8
1752	绑	U+7ED1
1752_1	綁	U+7D81
1753	绒	U+7ED2
1753_1	絨	U+7D68
1753_1_1	毧	U+6BE7
1753_1_2	羢	U+7FA2
1754	结	U+7ED3
1754_1	結	U+7D50
1755	绕	U+7ED5
1755_1	繞	U+7E5E
1755_1_1	遶	U+9076
1756	骄	U+9A84
1756_1	驕	U+9A55
1757	绘	U+7ED8
1757_1	繪	U+7E6A
1758	给	U+7ED9
1758_1	給	U+7D66
1759	绚	U+7EDA
1759_1	絢	U+7D62
1760	骆	U+9A86
1760_1	駱	U+99F1
1761	络	U+7EDC
1761_1	絡	U+7D61
1762	绝	U+7EDD
1762_1	絶	U+7D76
1763	绞	U+7EDE
1763_1	絞	U+7D5E
1764	骇	U+9A87
1764_1	駭	U+99ED
1765	统	U+7EDF
1765_1	統	U+7D71
1766	耕	U+8015
1766_0_1	畊	U+754A
1767	耘	U+8018
1768	耗	U+8017
1769	耙	U+8019
1770	艳	U+8273
1770_1	艷	U+8277
1770_1_1	豓	U+8C53
1770_1_2	豔	U+8C54
1771	泰	U+6CF0
1772	秦	U+79E6
1773	珠	U+73E0
1774	班	U+73ED
1775	素	U+7D20
1776	匿	U+533F
1777	蚕	U+8695
1777_1	蠶	U+8836
1778	顽	U+987D
1778_1	頑	U+9811
1779	盏	U+76CF
1779_1	盞	U+76DE
1779_1_1	琖	U+7416
1779_1_2	醆	U+9186
1780	匪	U+532A
1781	捞	U+635E
1781_1	撈	U+6488
1782	栽	U+683D
1783	捕	U+6355
1784	埂	U+57C2
1785	捂	U+6342
1786	振	U+632F
1787	载	U+8F7D
1787_1	載	U+8F09
1788	赶	U+8D76
1788_1	趕	U+8D95
1789	起	U+8D77
1790	盐	U+76D0
1790_1	鹽	U+9E7D
1791	捎	U+634E
1792	捍	U+634D
1792_0_1	扞	U+625E
1793	捏	U+634F
1793_0_1	揑	U+63D1
1794	埋	U+57CB
1795	捉	U+6349
1796	捆	U+6346
1796_0_1	綑	U+7D91
1797	捐	U+6350
1798	损	U+635F
1798_1	損	U+640D
1799	袁	U+8881
1800	捌	U+634C
1801	都	U+90FD
1802	哲	U+54F2
1802_0_1	喆	U+5586
1803	逝	U+901D
1804	捡	U+6361
1804_1	撿	U+64BF
1805	挫	U+632B
1806	换	U+6362
1807	挽	U+633D
1807_0_1	輓	U+8F13
1808	挚	U+631A
1808_1	摯	U+646F
1809	热	U+70ED
1809_1	熱	U+71B1
1810	恐	U+6050
1811	捣	U+6363
1811_1	搗	U+6417
1811_1_1	𢷬	U+22DEC
1811_1_2	擣	U+64E3
1812	壶	U+58F6
1812_1	壺	U+58FA
1813	捅	U+6345
1814	埃	U+57C3
1815	挨	U+6328
1816	耻	U+803B
1816_0_1	恥	U+6065
1817	耿	U+803F
1818	耽	U+803D
1818_0_1	躭	U+8EAD
1819	聂	U+8042
1819_1	聶	U+8076
1820	恭	U+606D
1821	莽	U+83BD
1822	莱	U+83B1
1822_1	萊	U+840A
1823	莲	U+83B2
1823_1	蓮	U+84EE
1824	莫	U+83AB
1825	莉	U+8389
1826	荷	U+8377
1827	获	U+83B7
1827_1	獲	U+7372
1827_2	穫	U+7A6B
1828	晋	U+664B
1828_0_1	晉	U+6649
1829	恶	U+6076
1829_1	惡	U+60E1
1829_2	噁	U+5641
1830	莹	U+83B9
1830_1	瑩	U+7469
1831	莺	U+83BA
1831_1	鶯	U+9DAF
1831_1_1	鸎	U+9E0E
1832	真	U+771F
1833	框	U+6846
1834	梆	U+6886
1835	桂	U+6842
1836	桔	U+6854
1837	栖	U+6816
1837_0_1	棲	U+68F2
1838	档	U+6863
1838_1	檔	U+6A94
1839	桐	U+6850
1840	株	U+682A
1841	桥	U+6865
1841_1	橋	U+6A4B
1842	桦	U+6866
1842_1	樺	U+6A3A
1843	栓	U+6813
1844	桃	U+6843
1845	格	U+683C
1846	桩	U+6869
1846_1	樁	U+6A01
1847	校	U+6821
1848	核	U+6838
1848_0_1	覈	U+8988
1849	样	U+6837
1849_1	樣	U+6A23
1850	根	U+6839
1851	索	U+7D22
1852	哥	U+54E5
1853	速	U+901F
1854	逗	U+9017
1855	栗	U+6817
1855_0_1	慄	U+6144
1856	贾	U+8D3E
1856_1	賈	U+8CC8
1857	酌	U+914C
1858	配	U+914D
1859	翅	U+7FC5
1859_0_1	翄	U+7FC4
1860	辱	U+8FB1
1861	唇	U+5507
1861_0_1	脣	U+8123
1862	夏	U+590F
1863	砸	U+7838
1864	砰	U+7830
1865	砾	U+783E
1865_1	礫	U+792B
1866	础	U+7840
1866_1	礎	U+790E
1867	破	U+7834
1868	原	U+539F
1869	套	U+5957
1870	逐	U+9010
1871	烈	U+70C8
1872	殊	U+6B8A
1873	殉	U+6B89
1874	顾	U+987E
1874_1	顧	U+9867
1875	轿	U+8F7F
1875_1	轎	U+8F4E
1876	较	U+8F83
1876_1	較	U+8F03
1877	顿	U+987F
1877_1	頓	U+9813
1878	毙	U+6BD9
1878_1	斃	U+6583
1878_1_1	獘	U+7358
1879	致	U+81F4
1879_0	致	U+81F4
1879_1	緻	U+7DFB
1880	柴	U+67F4
1881	桌	U+684C
1881_0_1	槕	U+69D5
1882	虑	U+8651
1882_1	慮	U+616E
1883	监	U+76D1
1883_1	監	U+76E3
1884	紧	U+7D27
1884_1	緊	U+7DCA
1884_1_1	𦂳	U+260B3
1884_1_2	𦃂	U+260C2
1885	党	U+515A
1885_0	党	U+515A
1885_1	黨	U+9EE8
1886	逞	U+901E
1887	晒	U+6652
1887_1	曬	U+66EC
1888	眠	U+7720
1889	晓	U+6653
1889_1	曉	U+66C9
1890	哮	U+54EE
1891	唠	U+5520
1891_1	嘮	U+562E
1892	鸭	U+9E2D
1892_1	鴨	U+9D28
1893	晃	U+6643
1893_0_1	㨪	U+3A2A
1894	哺	U+54FA
1895	晌	U+664C
1896	剔	U+5254
1897	晕	U+6655
1897_1	暈	U+6688
1898	蚌	U+868C
1899	畔	U+7554
1900	蚣	U+86A3
1901	蚊	U+868A
1901_0_1	螡	U+87A1
1901_0_2	蟁	U+87C1
1902	蚪	U+86AA
1903	蚓	U+8693
1904	哨	U+54E8
1905	哩	U+54E9
1906	圃	U+5703
1907	哭	U+54ED
1908	哦	U+54E6
1909	恩	U+6069
1909_0_1	㤙	U+3919
1910	鸯	U+9E2F
1910_1	鴦	U+9D26
1911	唤	U+5524
1912	唁	U+5501
1913	哼	U+54FC
1914	唧	U+5527
1915	啊	U+554A
1916	唉	U+5509
1917	唆	U+5506
1918	罢	U+7F62
1918_1	罷	U+7F77
1919	峭	U+5CED
1919_0_1	陗	U+9657
1920	峨	U+5CE8
1920_0_1	峩	U+5CE9
1921	峰	U+5CF0
1921_0_1	峯	U+5CEF
1922	圆	U+5706
1922_1	圓	U+5713
1923	峻	U+5CFB
1924	贼	U+8D3C
1924_1	賊	U+8CCA
1925	贿	U+8D3F
1925_1	賄	U+8CC4
1926	赂	U+8D42
1926_1	賂	U+8CC2
1927	赃	U+8D43
1927_1	贜	U+8D1C
1928	钱	U+94B1
1928_1	錢	U+9322
1929	钳	U+94B3
1929_1	鉗	U+9257
1930	钻	U+94BB
1930_1	鑽	U+947D
1930_1_1	鑚	U+945A
1931	钾	U+94BE
1931_1	鉀	U+9240
1932	铁	U+94C1
1932_1	鐵	U+9435
1933	铃	U+94C3
1933_1	鈴	U+9234
1934	铅	U+94C5
1934_1	鉛	U+925B
1934_1_1	鈆	U+9206
1935	缺	U+7F3A
1936	氧	U+6C27
1937	氨	U+6C28
1938	特	U+7279
1939	牺	U+727A
1939_1	犧	U+72A7
1940	造	U+9020
1941	乘	U+4E58
1941_0_1	乗	U+4E57
1941_0_2	椉	U+6909
1942	敌	U+654C
1942_1	敵	U+6575
1943	秤	U+79E4
1944	租	U+79DF
1945	积	U+79EF
1945_1	積	U+7A4D
1946	秧	U+79E7
1947	秩	U+79E9
1948	称	U+79F0
1948_1	稱	U+7A31
1949	秘	U+79D8
1949_0_1	祕	U+7955
1950	透	U+900F
1951	笔	U+7B14
1951_1	筆	U+7B46
1952	笑	U+7B11
1952_0_1	咲	U+54B2
1953	笋	U+7B0B
1953_0_1	筍	U+7B4D
1954	债	U+503A
1954_1	債	U+50B5
1955	借	U+501F
1955_0	借	U+501F
1955_1	藉	U+85C9
1956	值	U+503C
1957	倚	U+501A
1958	俺	U+4FFA
1959	倾	U+503E
1959_1	傾	U+50BE
1960	倒	U+5012
1961	倘	U+5018
1962	俱	U+4FF1
1963	倡	U+5021
1964	候	U+5019
1965	赁	U+8D41
1965_1	賃	U+8CC3
1966	俯	U+4FEF
1966_0_1	俛	U+4FDB
1966_0_2	頫	U+982B
1967	倍	U+500D
1968	倦	U+5026
1968_0_1	勌	U+52CC
1969	健	U+5065
1970	臭	U+81ED
1971	射	U+5C04
1971_0_1	䠶	U+4836
1972	躬	U+8EAC
1972_0_1	躳	U+8EB3
1973	息	U+606F
1974	倔	U+5014
1975	徒	U+5F92
1976	徐	U+5F90
1977	殷	U+6BB7
1977_0_1	慇	U+6147
1978	舰	U+8230
1978_1	艦	U+8266
1979	舱	U+8231
1979_1	艙	U+8259
1980	般	U+822C
1981	航	U+822A
1982	途	U+9014
1983	拿	U+62FF
1983_0_1	拏	U+62CF
1983_0_2	㧱	U+39F1
1983_0_3	挐	U+6310
1984	耸	U+8038
1984_1	聳	U+8073
1985	爹	U+7239
1986	舀	U+8200
1987	爱	U+7231
1987_1	愛	U+611B
1988	豺	U+8C7A
1989	豹	U+8C79
1990	颁	U+9881
1990_1	頒	U+9812
1991	颂	U+9882
1991_1	頌	U+980C
1992	翁	U+7FC1
1993	胰	U+80F0
1994	脆	U+8106
1994_0_1	脃	U+8103
1995	脂	U+8102
1996	胸	U+80F8
1996_0_1	胷	U+80F7
1997	胳	U+80F3
1997_0_1	肐	U+8090
1998	脏	U+810F
1998_1	臟	U+81DF
1998_2	髒	U+9AD2
1999	脐	U+8110
1999_1	臍	U+81CD
2000	胶	U+80F6
2000_1	膠	U+81A0
2001	脑	U+8111
2001_1	腦	U+8166
2002	脓	U+8113
2002_1	膿	U+81BF
2003	逛	U+901B
2004	狸	U+72F8
2004_0_1	貍	U+8C8D
2005	狼	U+72FC
2006	卿	U+537F
2007	逢	U+9022
2008	鸵	U+9E35
2008_1	鴕	U+9D15
2009	留	U+7559
2009_0_1	𤱊	U+24C4A
2009_0_2	㽞	U+3F5E
2009_0_3	畱	U+7571
2010	鸳	U+9E33
2010_1	鴛	U+9D1B
2011	皱	U+76B1
2011_1	皺	U+76BA
2012	饿	U+997F
2012_1	餓	U+9913
2013	馁	U+9981
2013_1	餒	U+9912
2014	凌	U+51CC
2015	凄	U+51C4
2015_0_1	淒	U+6DD2
2015_0_2	悽	U+60BD
2016	恋	U+604B
2016_1	戀	U+6200
2017	桨	U+6868
2017_1	槳	U+69F3
2018	浆	U+6D46
2018_1	漿	U+6F3F
2019	衰	U+8870
2020	衷	U+8877
2021	高	U+9AD8
2022	郭	U+90ED
2023	席	U+5E2D
2023_0_1	蓆	U+84C6
2024	准	U+51C6
2024_0	准	U+51C6
2024_1	準	U+6E96
2025	座	U+5EA7
2026	症	U+75C7
2026_0	症	U+75C7
2026_1	癥	U+7665
2027	病	U+75C5
2028	疾	U+75BE
2029	斋	U+658B
2029_1	齋	U+9F4B
2029_1_1	亝	U+4E9D
2030	疹	U+75B9
2031	疼	U+75BC
2032	疲	U+75B2
2033	脊	U+810A
2034	效	U+6548
2034_0_1	効	U+52B9
2034_0_2	傚	U+509A
2035	离	U+79BB
2035_1	離	U+96E2
2036	紊	U+7D0A
2037	唐	U+5510
2038	瓷	U+74F7
2039	资	U+8D44
2039_1	資	U+8CC7
2039_1_1	貲	U+8CB2
2040	凉	U+51C9
2040_0_1	涼	U+6DBC
2041	站	U+7AD9
2042	剖	U+5256
2043	竞	U+7ADE
2043_1	競	U+7AF6
2044	部	U+90E8
2045	旁	U+65C1
2046	旅	U+65C5
2047	畜	U+755C
2048	阅	U+9605
2048_1	閲	U+95B2
2049	羞	U+7F9E
2050	羔	U+7F94
2051	瓶	U+74F6
2051_0_1	缾	U+7F3E
2052	拳	U+62F3
2053	粉	U+7C89
2054	料	U+6599
2055	益	U+76CA
2056	兼	U+517C
2057	烤	U+70E4
2058	烘	U+70D8
2059	烦	U+70E6
2059_1	煩	U+7169
2060	烧	U+70E7
2060_1	燒	U+71D2
2061	烛	U+70DB
2061_1	燭	U+71ED
2062	烟	U+70DF
2062_0_1	菸	U+83F8
2062_0_2	煙	U+7159
2063	烙	U+70D9
2064	递	U+9012
2064_1	遞	U+905E
2065	涛	U+6D9B
2065_1	濤	U+6FE4
2066	浙	U+6D59
2066_0_1	淛	U+6DDB
2067	涝	U+6D9D
2067_1	澇	U+6F87
2068	浦	U+6D66
2069	酒	U+9152
2070	涉	U+6D89
2071	消	U+6D88
2072	涡	U+6DA1
2072_1	渦	U+6E26
2073	浩	U+6D69
2074	海	U+6D77
2075	涂	U+6D82
2075_0	涂	U+6D82
2075_1	塗	U+5857
2076	浴	U+6D74
2077	浮	U+6D6E
2078	涣	U+6DA3
2079	涤	U+6DA4
2079_1	滌	U+6ECC
2080	流	U+6D41
2081	润	U+6DA6
2081_1	潤	U+6F64
2082	涧	U+6DA7
2082_1	澗	U+6F97
2083	涕	U+6D95
2084	浪	U+6D6A
2085	浸	U+6D78
2086	涨	U+6DA8
2086_1	漲	U+6F32
2087	烫	U+70EB
2087_1	燙	U+71D9
2088	涩	U+6DA9
2088_1	澀	U+6F80
2088_1_1	澁	U+6F81
2088_1_2	濇	U+6FC7
2089	涌	U+6D8C
2089_0_1	湧	U+6E67
2090	悖	U+6096
2090_0_1	誖	U+8A96
2091	悟	U+609F
2092	悄	U+6084
2093	悍	U+608D
2093_0_1	猂	U+7302
2094	悔	U+6094
2095	悯	U+60AF
2095_1	憫	U+61AB
2096	悦	U+60A6
2097	害	U+5BB3
2098	宽	U+5BBD
2098_1	寬	U+5BEC
2099	家	U+5BB6
2099_0	家	U+5BB6
2099_1	傢	U+50A2
2100	宵	U+5BB5
2101	宴	U+5BB4
2101_0_1	醼	U+91BC
2101_0_2	讌	U+8B8C
2102	宾	U+5BBE
2102_1	賓	U+8CD3
2103	窍	U+7A8D
2103_1	竅	U+7AC5
2104	窄	U+7A84
2105	容	U+5BB9
2106	宰	U+5BB0
2107	案	U+6848
2108	请	U+8BF7
2108_1	請	U+8ACB
2109	朗	U+6717
2110	诸	U+8BF8
2110_1	諸	U+8AF8
2111	诺	U+8BFA
2111_1	諾	U+8AFE
2112	读	U+8BFB
2112_1	讀	U+8B80
2113	扇	U+6247
2114	诽	U+8BFD
2114_1	誹	U+8AB9
2115	袜	U+889C
2115_1	襪	U+896A
2115_1_1	韈	U+97C8
2115_1_2	韤	U+97E4
2116	袖	U+8896
2117	袍	U+888D
2118	被	U+88AB
2119	祥	U+7965
2120	课	U+8BFE
2120_1	課	U+8AB2
2121	冥	U+51A5
2121_0_1	𠖇	U+20587
2121_0_2	㝠	U+3760
2122	谁	U+8C01
2122_1	誰	U+8AB0
2123	调	U+8C03
2123_1	調	U+8ABF
2124	冤	U+51A4
2124_0_1	𡨘	U+21A18
2124_0_2	寃	U+5BC3
2125	谅	U+8C05
2125_1	諒	U+8AD2
2126	谆	U+8C06
2126_1	諄	U+8AC4
2127	谈	U+8C08
2127_1	談	U+8AC7
2128	谊	U+8C0A
2128_1	誼	U+8ABC
2129	剥	U+5265
2130	恳	U+6073
2130_1	懇	U+61C7
2131	展	U+5C55
2132	剧	U+5267
2132_1	劇	U+5287
2133	屑	U+5C51
2134	弱	U+5F31
2135	陵	U+9675
2136	祟	U+795F
2137	陶	U+9676
2138	陷	U+9677
2139	陪	U+966A
2140	娱	U+5A31
2141	娟	U+5A1F
2142	恕	U+6055
2143	娥	U+5A25
2144	娘	U+5A18
2144_0_1	孃	U+5B43
2145	通	U+901A
2146	能	U+80FD
2147	难	U+96BE
2147_1	難	U+96E3
2148	预	U+9884
2148_1	預	U+9810
2149	桑	U+6851
2149_0_1	桒	U+6852
2150	绢	U+7EE2
2150_1	絹	U+7D79
2151	绣	U+7EE3
2151_1	綉	U+7D89
2151_1_1	繡	U+7E61
2152	验	U+9A8C
2152_1	驗	U+9A57
2152_1_1	騐	U+9A10
2153	继	U+7EE7
2153_1	繼	U+7E7C
2154	骏	U+9A8F
2154_1	駿	U+99FF
2155	球	U+7403
2155_0_1	毬	U+6BEC
2156	琐	U+7410
2156_1	瑣	U+7463
2156_1_1	𤨏	U+24A0F
2157	理	U+7406
2158	琉	U+7409
2158_0_1	瑠	U+7460
2158_0_2	璢	U+74A2
2159	琅	U+7405
2159_0_1	瑯	U+746F
2160	捧	U+6367
2161	堵	U+5835
2162	措	U+63AA
2163	描	U+63CF
2164	域	U+57DF
2165	捺	U+637A
2166	掩	U+63A9
2167	捷	U+6377
2167_0_1	㨗	U+3A17
2168	排	U+6392
2169	焉	U+7109
2170	掉	U+6389
2171	捶	U+6376
2171_0_1	搥	U+6425
2172	赦	U+8D66
2173	堆	U+5806
2174	推	U+63A8
2175	埠	U+57E0
2176	掀	U+6380
2177	授	U+6388
2178	捻	U+637B
2179	教	U+6559
2180	掏	U+638F
2180_0_1	搯	U+642F
2181	掐	U+6390
2182	掠	U+63A0
2183	掂	U+6382
2184	培	U+57F9
2185	接	U+63A5
2186	掷	U+63B7
2186_1	擲	U+64F2
2187	控	U+63A7
2188	探	U+63A2
2189	据	U+636E
2189_0	据	U+636E
2189_1	據	U+64DA
2189_1_1	㨿	U+3A3F
2190	掘	U+6398
2191	掺	U+63BA
2191_1	摻	U+647B
2192	职	U+804C
2192_1	職	U+8077
2193	基	U+57FA
2194	聆	U+8046
2195	勘	U+52D8
2196	聊	U+804A
2197	娶	U+5A36
2198	著	U+8457
2199	菱	U+83F1
2199_0_1	蔆	U+8506
2200	勒	U+52D2
2201	黄	U+9EC4
2202	菲	U+83F2
2203	萌	U+840C
2204	萝	U+841D
2204_1	蘿	U+863F
2205	菌	U+83CC
2206	萎	U+840E
2207	菜	U+83DC
2208	萄	U+8404
2209	菊	U+83CA
2210	菩	U+83E9
2211	萍	U+840D
2212	菠	U+83E0
2213	萤	U+8424
2213_1	螢	U+87A2
2214	营	U+8425
2214_1	營	U+71DF
2215	乾	U+4E7E
2216	萧	U+8427
2216_1	蕭	U+856D
2217	萨	U+8428
2217_1	薩	U+85A9
2218	菇	U+83C7
2219	械	U+68B0
2220	彬	U+5F6C
2221	梦	U+68A6
2221_1	夢	U+5922
2222	婪	U+5A6A
2222_0_1	惏	U+60CF
2223	梗	U+6897
2224	梧	U+68A7
2225	梢	U+68A2
2226	梅	U+6885
2226_0_1	楳	U+6973
2226_0_2	槑	U+69D1
2227	检	U+68C0
2227_1	檢	U+6AA2
2228	梳	U+68B3
2229	梯	U+68AF
2230	桶	U+6876
2231	梭	U+68AD
2232	救	U+6551
2232_0_1	捄	U+6344
2233	曹	U+66F9
2234	副	U+526F
2235	票	U+7968
2236	酝	U+915D
2236_1	醖	U+9196
2237	酗	U+9157
2238	厢	U+53A2
2238_0_1	廂	U+5EC2
2239	戚	U+621A
2239_0_1	慽	U+617D
2239_0_2	慼	U+617C
2240	硅	U+7845
2241	硕	U+7855
2241_1	碩	U+78A9
2242	奢	U+5962
2243	盔	U+76D4
2244	爽	U+723D
2245	聋	U+804B
2245_1	聾	U+807E
2246	袭	U+88AD
2246_1	襲	U+8972
2247	盛	U+76DB
2248	匾	U+533E
2249	雪	U+96EA
2250	辅	U+8F85
2250_1	輔	U+8F14
2251	辆	U+8F86
2251_1	輛	U+8F1B
2252	颅	U+9885
2252_1	顱	U+9871
2253	虚	U+865A
2254	彪	U+5F6A
2255	雀	U+96C0
2256	堂	U+5802
2257	常	U+5E38
2258	眶	U+7736
2259	匙	U+5319
2260	晨	U+6668
2261	睁	U+7741
2262	眯	U+772F
2262_0_1	瞇	U+7787
2263	眼	U+773C
2264	悬	U+60AC
2264_1	懸	U+61F8
2265	野	U+91CE
2265_0_1	埜	U+57DC
2265_0_2	𡐨	U+21428
2266	啪	U+556A
2267	啦	U+5566
2268	曼	U+66FC
2269	晦	U+6666
2270	晚	U+665A
2271	啄	U+5544
2272	啡	U+5561
2273	距	U+8DDD
2274	趾	U+8DBE
2275	啃	U+5543
2276	跃	U+8DC3
2276_1	躍	U+8E8D
2277	略	U+7565
2277_0_1	畧	U+7567
2278	蚯	U+86AF
2279	蛀	U+86C0
2280	蛇	U+86C7
2280_0_1	虵	U+8675
2281	唬	U+552C
2282	累	U+7D2F
2282_0	累	U+7D2F
2282_1	纍	U+7E8D
2283	鄂	U+9102
2284	唱	U+5531
2285	患	U+60A3
2286	啰	U+5570
2286_1	囉	U+56C9
2287	唾	U+553E
2288	唯	U+552F
2289	啤	U+5564
2290	啥	U+5565
2291	啸	U+5578
2291_1	嘯	U+562F
2292	崖	U+5D16
2293	崎	U+5D0E
2294	崭	U+5D2D
2294_1	嶄	U+5D84
2294_1_1	嶃	U+5D83
2295	逻	U+903B
2295_1	邏	U+908F
2296	崔	U+5D14
2297	帷	U+5E37
2298	崩	U+5D29
2299	崇	U+5D07
2300	崛	U+5D1B
2301	婴	U+5A74
2301_1	嬰	U+5B30
2302	圈	U+5708
2303	铐	U+94D0
2303_1	銬	U+92AC
2304	铛	U+94DB
2304_1	鐺	U+943A
2305	铝	U+94DD
2305_1	鋁	U+92C1
2306	铜	U+94DC
2306_1	銅	U+9285
2307	铭	U+94ED
2307_1	銘	U+9298
2308	铲	U+94F2
2308_1	鏟	U+93DF
2308_1_1	剷	U+5277
2309	银	U+94F6
2309_1	銀	U+9280
2310	矫	U+77EB
2310_1	矯	U+77EF
2311	甜	U+751C
2312	秸	U+79F8
2312_0_1	稭	U+7A2D
2313	梨	U+68A8
2313_0_1	棃	U+68C3
2314	犁	U+7281
2314_0_1	犂	U+7282
2315	秽	U+79FD
2315_1	穢	U+7A62
2316	移	U+79FB
2316_0_1	迻	U+8FFB
2317	笨	U+7B28
2318	笼	U+7B3C
2318_1	籠	U+7C60
2319	笛	U+7B1B
2320	笙	U+7B19
2321	符	U+7B26
2322	第	U+7B2C
2323	敏	U+654F
2324	做	U+505A
2325	袋	U+888B
2326	悠	U+60A0
2327	偿	U+507F
2327_1	償	U+511F
2328	偶	U+5076
2329	偎	U+504E
2330	偷	U+5077
2330_0_1	媮	U+5AAE
2331	您	U+60A8
2332	售	U+552E
2333	停	U+505C
2334	偏	U+504F
2335	躯	U+8EAF
2335_1	軀	U+8EC0
2336	兜	U+515C
2336_0_1	兠	U+5160
2337	假	U+5047
2337_0_1	叚	U+53DA
2338	衅	U+8845
2338_1	釁	U+91C1
2339	徘	U+5F98
2340	徙	U+5F99
2341	得	U+5F97
2342	衔	U+8854
2342_1	銜	U+929C
2342_1_1	啣	U+5563
2342_1_2	衘	U+8858
2343	盘	U+76D8
2343_1	盤	U+76E4
2344	舶	U+8236
2345	船	U+8239
2345_0_1	舩	U+8229
2346	舵	U+8235
2347	斜	U+659C
2348	盒	U+76D2
2349	鸽	U+9E3D
2349_1	鴿	U+9D3F
2350	敛	U+655B
2350_1	斂	U+6582
2350_1_1	歛	U+6B5B
2351	悉	U+6089
2352	欲	U+6B32
2352_0_1	慾	U+617E
2353	彩	U+5F69
2353_0_1	綵	U+7DB5
2354	领	U+9886
2354_1	領	U+9818
2355	脚	U+811A
2355_0_1	腳	U+8173
2356	脖	U+8116
2356_0_1	𩓐	U+294D0
2357	脯	U+812F
2358	豚	U+8C5A
2359	脸	U+8138
2359_1	臉	U+81C9
2360	脱	U+8131
2361	象	U+8C61
2362	够	U+591F
2362_0_1	夠	U+5920
2363	逸	U+9038
2364	猜	U+731C
2365	猪	U+732A
2365_0_1	豬	U+8C6C
2366	猎	U+730E
2366_1	獵	U+7375
2367	猫	U+732B
2367_0_1	貓	U+8C93
2368	凰	U+51F0
2369	猖	U+7316
2370	猛	U+731B
2371	祭	U+796D
2372	馅	U+9985
2372_1	餡	U+9921
2373	馆	U+9986
2373_1	館	U+9928
2373_1_1	舘	U+8218
2374	凑	U+51D1
2374_0_1	湊	U+6E4A
2375	减	U+51CF
2375_0_1	減	U+6E1B
2376	毫	U+6BEB
2377	烹	U+70F9
2378	庶	U+5EB6
2378_0_1	庻	U+5EBB
2379	麻	U+9EBB
2379_0_1	蔴	U+8534
2380	庵	U+5EB5
2380_0_1	菴	U+83F4
2381	痊	U+75CA
2382	痒	U+75D2
2382_1	癢	U+7662
2383	痕	U+75D5
2384	廊	U+5ECA
2385	康	U+5EB7
2386	庸	U+5EB8
2387	鹿	U+9E7F
2388	盗	U+76D7
2389	章	U+7AE0
2390	竟	U+7ADF
2391	商	U+5546
2392	族	U+65CF
2393	旋	U+65CB
2393_0	旋	U+65CB
2393_1	鏇	U+93C7
2394	望	U+671B
2394_0_1	朢	U+6722
2395	率	U+7387
2396	阎	U+960E
2396_1	閻	U+95BB
2397	阐	U+9610
2397_1	闡	U+95E1
2398	着	U+7740
2399	羚	U+7F9A
2400	盖	U+76D6
2400_1	蓋	U+84CB
2401	眷	U+7737
2401_0_1	睠	U+7760
2402	粘	U+7C98
2403	粗	U+7C97
2403_0_1	觕	U+89D5
2403_0_2	麤	U+9EA4
2404	粒	U+7C92
2405	断	U+65AD
2405_1	斷	U+65B7
2406	剪	U+526A
2407	兽	U+517D
2407_1	獸	U+7378
2408	焊	U+710A
2408_0_1	釬	U+91EC
2408_0_2	銲	U+92B2
2409	焕	U+7115
2410	清	U+6E05
2411	添	U+6DFB
2412	鸿	U+9E3F
2412_1	鴻	U+9D3B
2413	淋	U+6DCB
2413_0_1	痳	U+75F3
2414	涯	U+6DAF
2415	淹	U+6DF9
