
# 常用标准汉喃字表（2024年版）表1
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表1共3975字（分为6级，即1、2、3、4、5、T，分别有244、342、464、478、490、1957字）
#
# 𡨸漢喃	音讀	Level	譬喻	𥱬註
# Chữ Hán Nôm	Âm đọc	Level	Thí dụ	Ghi chú

𡨸漢喃	音讀	level	譬喻	𥱬註
炪	đốt	4	炪焒 đốt lửa · 炪畑 đốt đèn ·被螉炪 bị ong đốt	U+70AA
𥯝	đốt	T	𥯝𥯌 đốt tre · 𥯝𣖙 đốt mía · 𥯝 𢭫𢬣 đốt ngón tay	U+25BDD
突	ĐỘT	3	衝突 xung đột · 突然 đột nhiên · 突兀 đột ngột · 突出 đột xuất · 唐突 đường đột	[翻] U+7A81
突	đuột	3	𣦎突 thẳng đuột · 悛突 thuôn đuột	
腯	ĐỘT	T	𤠲腯 khỉ đột	U+816F
𦂽	đột	T	𥿤𦂽 khâu đột · 𦂽斜襖 đột tà áo	U+260BD
澾	đợt	T	澾㳥 đợt sóng · 𠄩澾衝鋒 hai đợt xung phong	U+6FBE
𣛭	đu	T	𣛭𣛭 đu đủ	[翻] U+236ED
𣛭	đủ	T	𣛭𣛭 đu đủ	
𨁥	đủ	T	𣹓𨁥 đầy đủ · 𨁥𡘯 đủ lớn	[異] 覩 𨇜 U+28065
𨅮	đua	4	𧼋𨅮 chạy đua	U+2816E
𢴉	đùa	5	葻𢴉 bông đùa · 𢴉𠹳 đùa cợt · 𢴉逆 đùa nghịch	U+22D09
箸	đũa	5	對箸 đôi đũa	[異] 𥮊 U+7BB8
迻	đưa	4	迻迍 đưa đón · 𣁲迻 đong đưa · 餞迻 tiễn đưa · 迻網 đưa võng	U+8FFB
𠀲	đứa	3	𠀲於 đứa ở · 𠀲𥘷 đứa trẻ	U+20032
𤒘	đúc	T	𤒘結 đúc kết · 佟𤒘 đông đúc ·爐𤒘 lò đúc · 燶𤒘 nung đúc	[異] 𨯹 U+24498
濁	đục	T	渃濁 nước đục · 磟濁 lục đục · 𢭬濁𢵱沖 gạn đục khơi trong	[翻] U+6FC1
濁	rục	T	濁𤃝 rục rịch [𠸨]	
濁	trộc	T	濁擲 trộc trệch [𠸨]	
德	ĐỨC	1	德行 đức hạnh · 道德 đạo đức ·德佛 đức Phật · 㗂德 tiếng Đức	[翻] U+5FB7
倲	đúng	3	倲耒 đúng rồi · 倲捵 đúng đắn [𠸨] · 倲墨 đúng mực · 𠄼𣇞倲 năm giờ đúng	U+5032
哃	đùng	T	哃哃 đùng đùng [聲]	U+54C3
𨅸	đứng	3	𨅸𧻭 đứng dậy · 𨅸𣈖 đứng bóng · 勢𨅸 thế đứng	[異] 𥪸 U+28178
揨	đừng	T	揨哭 đừng khóc · 揨𠫾 đừng đi	[異] 停 U+63E8
撜	đựng	4	𠹾撜 chịu đựng · 丐𣛥撜𨢇 cái be đựng rượu	[翻] U+649C
脽	đuôi	T	頭脽 đầu đuôi · 脽船 đuôi thuyền	[異] 𡳪 U+813D
𨘗	đuổi	4	蹺𨘗 theo đuổi · 打𨘗 đánh đuổi · 𨁰𨘗 xua đuổi	[異] 𨆷 U+28617
濧	đuối	T	𪽳濧 yếu đuối · 㴷濧 đắm đuối	U+6FE7
唐	ĐƯỜNG	5	唐突 đường đột · 茹唐 nhà Đường	U+5510
棠	ĐƯỜNG	T	海棠 hải đường	U+68E0
塘	đường	2	塘圫 đường sá · 塘鉄 đường sắt	U+5858
塘	đàng	2	塘𥪝 Đàng Trong · 塘外 Đàng Ngoài	⇔ 塘 đường
糖	ĐƯỜNG	4	質糖 chất đường · 𤮾如糖 ngọt như đường	U+7CD6
賥	đút	T	賥䘹 đút lót · 賥𨨷 đút nút · 賥襊 đút túi	[翻] U+8CE5
䋎	đứt	T	割䋎 cắt đứt · 䋎𢭮 đứt gãy	[翻] U+42CE
㥋	e	T	㥋麗 e lệ · 㥋懝 e ngại	U+394B
𠲖	ê	T	𠲖阿 ê a · 𠲖痆 ê chề	[翻] U+20C96
𤷴	ê	T	𤷴𤀔 ê ẩm	U+24DF4
螠	ếch	T	𡥵螠 con ếch · 螠橅花 ếch vồ hoa · 螠𱖗底井 ếch ngồi đáy giếng	[翻] U+87A0
㛪	em	2	㛪𡛔 em gái · 㛪𤳆 em trai	U+36EA
淹	êm	4	淹妸 êm ả · 淹沁 êm thấm	[翻] U+6DF9
𥩤	ga	5	𥩤車焒 ga xe lửa [摱] · 𥩤河內 ga Hà Nội [摱]	U+25A64
𪃿	gà	T	𪃿㹟 gà qué · 𪃿𪆼 gà lôi · 𪃿𥊚 gà mờ · 𥆄𪃿 quáng gà	U+2A0FF
𡥚	gã	T	𠬠𡥚書生 một gã thư sinh	U+2195A
擱	gác	T	更擱 canh gác [摱] · 擱筆 gác bút · 擱笀支 gác-măng-giê [摱]	[翻] U+64F1
𩠓	gặc	3	𩠧𩠓 gục gặc [𠸨]	U+29813
𩠓	gật	3	𩠓𠵎 gật gù [𠸨] · 𥄬𩠓 ngủ gật	[翻]
坧	gạch	T	墻坧 tường gạch · 坧𧍆 gạch cua	U+5767
荄	gai	T	荄𧣳 gai góc · 㑲荄𫫞𦟽 nằm gai nếm mật · 餅荄 bánh gai	[翻] U+8344
𦃮	gai	T	𣘃𦃮 cây gai · 縐𦃮 sô gai	U+260EE
𡛔	gái	2	𡥵𡛔 con gái · 伴𡛔 bạn gái	U+216D4
垓	gay	4	垓𦁣 gay go [𠸨] · 垓硍 gay cấn · 垓噶 gay gắt	U+5793
𢭮	gãy	T	𢯏𢭮 bẻ gãy · 𢭮𢭰 gãy đổ · 䋎 𢭮 đứt gãy	U+22B6E
𢭮	gẫy	T		⇔ 𢭮 gãy
胲	gây	T	苿胲 mùi gây · 𬚸𤠰胲胲 thịt gấu gây gây	U+80F2
𨠳	gây	4	𨠳戰 gây chiến · 𨠳𲂪 gây vốn · 𨠳𫥨 gây ra · 𨠳𥞖 gây giống · 𨠳𥾃 gây men · 𨠳古 gây gổ [𠸨]	[異] 𨢟 U+28833
𤷍	gầy	5	𤷍𤷱 gầy mòn · 𤷍𪸽 gầy đét	U+24DCD
梞	gậy	T	𣘃梞 cây gậy	[翻] U+689E
𧃃	gắm	T	𧃃𡶀 gắm núi · 絏𧃃 dây gắm ·寄𧃃 gửi gắm [𠸨] · 𧃃𥇚 gắm ghé [𠸨]	U+270C3
㖗	gầm	T	㖗𠯦 gầm thét	[翻] U+3597
檊	gán	T	檊𢯖 gán ghép · 檊罪 gán tội	U+6A8A
𮇜	gắn	4	𮇜抪 gắn bó · 焊𮇜 hàn gắn	[翻] U+2E1DC
挭	gánh	4	桄挭 quang gánh	U+632D
𪡱	gao	5	噶𪡱 gắt gao	U+2A871
哠	gào	T	哠𠯦 gào thét · 叫哠 kêu gào	[翻] U+54E0
𥽌	gạo	5	籺𥽌 hạt gạo · 迆𥽌 giã gạo	U+25F4C
﨤	gặp	4	﨤攑 gặp gỡ [𠸨] · 﨤𣋑 gặp dịp · 常﨤 thường gặp · 𱍿過空﨤 lâu quá không gặp	[翻] U+FA24
扱	gấp	T	扱曲 gấp khúc · 扱𱑕 gấp mười · 扱冊徠 gấp sách lại · 欣扱𠀧吝 hơn gấp ba lần	U+6271
𢶆	gạt	T	𢶆𠬃 gạt bỏ · 𢶆𧴱 gạt nợ	U+22D86
噶	gắt	3	㤧噶 cáu gắt · 𤮾噶 ngọt gắt [𠸨] · 垓噶 gay gắt	U+5676
秸	gặt	5	秸𢲨 gặt hái	U+79F8
𦵷	gấu	T	𦹯𦵷 cỏ gấu · 榘𦵷 củ gấu	[翻] U+26D77
𤠰	gấu	T	𡥵𤠰 con gấu · 𤠰竹 gấu trúc	U+24830
褠	gấu	T	褠襖 gấu áo · 褠裙 gấu quần	U+8920
踦	ghé	T	踦蹎 ghé chân · 踦眜 ghé mắt ·踦𦖻吶忱 ghé tai nói thầm · 船踦𤅶 thuyền ghé bến	U+8E26
𭌲	ghê	4	𩙍𡘯𭌲 gió lớn ghê	[翻] U+2D332
𧦕	ghế	T	𧦕𱖗 ghế ngồi · 𧦕斗 ghế đẩu · 𧦕𩚵 ghế cơm	[異] 槣 U+27995
慳	ghen	T	打慳 đánh ghen · 慳𡀢 ghen tuông	[翻] U+6173
𢯖	ghép	T	𢯖𬄺 ghép mộng	[翻] U+22BD6
恄	ghét	5	讎恄 thù ghét	[翻] U+6044
𥱬	ghi	2	𥱬音 ghi âm · 𥱬𠸜 ghi tên · 𥱬 𢖵 ghi nhớ · 𦭷𥱬 màu ghi	[翻] U+25C6C
𦁣	go	T	縸𦁣𦂾𡲫 mắc go dệt vải · 垓𦁣 gay go [𠸨]	[翻] U+26063
𡍢	gò	5	𡍢埬 gò đống · 𡍢𦟐 gò má	U+21362
𢫈	gõ	T	𢫈𨷯 gõ cửa · 部𢫈 bộ gõ	[異] 𢱗 U+22AC8
𢫈	khỏ	T		⇔ 𢫈 gõ
楛	gỗ	T	𣘃楛 cây gỗ · 板楛 phản gỗ ·捁楛 kéo gỗ	[異] 椇 U+695B
攑（𱠆）	gỡ	5	攑黹 gỡ chỉ · 攑㓢 gỡ gạc [𠸨]	U+6511 (U+31806)
𧣳	góc	4	𣃱𧣳 vuông góc · 荄𧣳 gai góc	U+278F3
㭲	gốc	4	㭲𣘃 gốc cây · 源㭲 nguồn gốc	[翻] U+3B72
襘（𫋻）	gói	5	麪襘 mì gói · 𠓻襘 trọn gói	[翻] U+8958 (U+2B2FB)
噲（哙）	gọi	4	噲𱺵 gọi là · 𠸜噲 tên gọi	U+5672 (U+54D9)
𨆝（𲃟）	gối	T	頭𨆝 đầu gối	U+2819D (U+320DF)
𩠴（𩠠）	gối	T	襖𩠴 áo gối · 𩠴頭 gối đầu	U+29834 (U+29820)
㨳	gợi	T	㨳意 gợi ý · 㨳𢖵 gợi nhớ · 㨳感 gợi cảm	U+3A33
𠁟	gồm	T	包𠁟 bao gồm	[異] 𡗄 U+2005F
菅	gon	T	菅埬𥟉 gon đống thóc	U+83C5
緄	gòn	3	𧜖棍 chăn gòn	[翻] U+7DC4
杠	gông	T	杠檎 gông cùm	[翻] U+6760
𢵰	góp	2	𢵰抇 góp nhặt · 𢵰意 góp ý · 㨂 𢵰 đóng góp	[翻] U+22D70
𨃴	gót	T	𩌂𠾲𨃴 giầy vẹt gót	[翻] U+280F4
𠵎	gù	T	㗂𪀄𠵎 tiếng chim gù · 𩠓𠵎 gật gù [𠸨]	[翻] U+20D4E
㖵	gừ	T	㖗㖵 gầm gừ	U+35B5
𩠧	gục	T	𩠧頭 gục đầu · 𨁟𩠧 ngã gục	[翻] U+29827
𦎛	gương	5	𦎛㑄 gương mẫu · 𦎛𩈘 gương mặt · 𦎛蓮 gương sen	U+2639B
之	gì	1	丐之 cái gì · 空固之 không có gì	[異] 咦 U+4E4B
之	chi	1		⇔ 之 gì
加	GIA	2	加速 gia tốc · 加恩 gia ân · 加倍 gia bội	[翻] U+52A0
家	GIA	1	家庭 gia đình · 家用 gia dụng ·儒家 nho gia	U+5BB6
嘉	GIA	3	嘉定 Gia Định · 嘉隆 Gia Long	U+5609
者	GIẢ	2	記者 kí giả · 聽者 thính giả ·作者 tác giả · 長者 trưởng giả	U+8005
假	GIẢ	2	假裝 giả trang · 假𫿒 giả vờ ·假樣 giả dạng	U+5047
假	GIÁ	2	假如 giá như	⇔ 假 giả
架	GIÁ	3	架畑 giá đèn · 架冊 giá sách	U+67B6
嫁	GIÁ	T	出嫁 xuất giá	U+5AC1
嫁	gả	T	嫁𫯳 gả chồng · 嫁𬥓 gả bán	
稼	giá	T	稼豆 giá đỗ	U+7A3C
價	GIÁ	1	價值 giá trị · 物價 vật giá	U+50F9
價	cả	1	嚜價 mặc cả	
駕	GIÁ	T	護駕 hộ giá	U+99D5
𬰊	giá	T	冷𬰊 lạnh giá · 𬰊洌 giá rét	U+2CC0A
伽	GIÀ	T	伽藍 già lam	U+4F3D
𫅷	già	3	𫅷𪥘󠄁 già cả · 𤞺𫅷 cáo già	[異] 𦓅 U+2B177
偖	giã	T	𠽖偖 giục giã	U+5056
角	GIÁC	T	三角 tam giác · 觸角 xúc giác ·獨角 độc giác · 犀角 tê giác	[翻] U+89D2
覺	GIÁC	3	覺官 giác quan · 感覺 cảm giác · 味覺 vị giác · 幻覺 ảo giác · 覺悟 giác ngộ · 聽覺 thính giác	U+89BA
𥋏	giấc	5	𥋏𢠩 giấc mơ	[翻] U+252CF
佳	GIAI	T	佳人 giai nhân · 佳話 giai thoại	[翻] U+4F73
階	GIAI	5	階段 giai đoạn · 階級 giai cấp ·階調 giai điệu	U+968E
解	GIẢI	1	押解 áp giải · 辯解 biện giải ·解剖 giải phẫu · 𠫾解 đi giải	U+89E3
螮	giải	T	𡥵螮 con giải	U+87AE
蟹	GIẢI	T	笘𣇟巨蟹 chòm sao Cự Giải	U+87F9
𩌂	giày	T	對𩌂 đôi giày	U+29302
𩌂	giầy	T		⇔ 𩌂 giày
𣆰	giây	5	𣆰𣋩 giây lát · 𣆰丿 giây phút	U+231B0
監	GIAM	2	監擒 giam cầm · 茹監 nhà giam · 監𡨺 giam giữ · 監𠬠數錢𡘯 giam một số tiền lớn	[翻] U+76E3
監	GIÁM	2	監督 giám đốc · 監獄 giám ngục · 監察 giám sát · 監護 giám hộ	[翻]
減	GIẢM	3	減價 giảm giá · 衰減 suy giảm · 痊減 thuyên giảm · 減抔 giảm bớt · 加減 gia giảm	U+6E1B
鑑	GIÁM	T	鑑定 giám định · 鑑別 giám biệt	U+9451
奸	GIAN	4	奸嚉 gian dối · 奸巧 gian xảo ·奸臣 gian thần	U+5978
姦	GIAN	T	姦淫 gian dâm · 強姦 cưỡng gian	U+59E6
間	GIAN	1	時間 thời gian · 人間 nhân gian · 中間 trung gian	[翻] U+9593
間	GIÁN	1	間諜 gián điệp · 間接 gián tiếp · 離間 li gián · 間斷 gián đoạn	[翻]
艱	GIAN	T	艱勞 gian lao · 艱苦 gian khổ ·艱難 gian nan · 艱險 gian hiểm · 艱困 gian khốn	U+8271
簡	GIẢN	5	單簡 đơn giản · 簡易 giản dị	U+7C21
僴	giãn	T	舒僴 thư giãn	U+50F4
僴	dãn	T		⇔ 僴 giãn
𢚷	giận	T	𢚷㘋 giận hờn · 𢚷㺞 giận dữ · 𠺒𢚷 tức giận	[翻] [異] 𢠣 U+226B7
江	GIANG	3	江湖 giang hồ · 江山 giang sơn · 𠐞江 giỏi giang [𠸨]	[翻] U+6C5F
江	giàng	3	𡨺江 giữ giàng [𠸨]	[翻]
𥬮	giang	T	𣘃𥬮 cây giang · 橛𥬮 quạt giang	U+25B2E
講	GIẢNG	3	講解 giảng giải · 講𠰺 giảng dạy	U+8B1B
降	GIÁNG	T	昇降 thăng giáng · 降生 giáng sinh · 降級 giáng cấp	U+964D
降	HÀNG	T	投降 đầu hàng	
掙	giành	T	爭掙 tranh giành · 掙𪮞 giành giật · 掙權利 giành quyền lợi	U+6399
交	GIAO	2	交易 giao dịch · 交通 giao thông · 交遊 giao du · 結交 kết giao · 交和 giao hoà	[翻] U+4EA4
教	GIÁO	1	佛教 Phật giáo · 請教 thỉnh giáo	U+6559
槊	giáo	T	槊𢨃 giáo mác · 鎌槊 gươm giáo	U+69CA
槊	sác	T	汕槊 sớn sác [𠸨]	
甲	GIÁP	4	盔甲 khôi giáp · 甲冑 giáp trụ ·腺甲 tuyến giáp	[翻] U+7532
夾	GIÁP	T	夾𩈘 giáp mặt · 夾界 giáp giới	U+593E
夾	kép	T	杈夾 xà kép	[翻]
𣾹	giặt	T	𣾹𱡃 giặt giũ · 𣛠𣾹 máy giặt	[翻] U+23FB9
𪮞	giật	3	掙𪮞 giành giật	[翻] U+2AB9E
𪮞	giần	3	𪮞𪮞 giần giật [𠸨]	⇔ 𪮞 giật
𪮞	giựt	3		⇔ 𪮞 giật [翻]
𢀭	giàu	3	𢀭固 giàu có · 𢀭猛 giàu mạnh · 渃𢀭 nước giàu	U+2202D
𢀭	giầu	3		⇔ 𢀭 giàu
𢭳	giấu	5	隱𢭳 ẩn giấu · 𢭳掂 giấu giếm	[翻] [異] 𨁪 U+22B73
𢭳	dấu	5		⇔ 𢭳 giấu
𢭳	giu	5	𢭳𢭳 giu giú [𠸨]	⇔ 𢭳 giú
𢭳	giú	5	𢭳𢭳 giu giú [𠸨]	⇔ 𢭳 giấu
掂	giếm	T	𢭳掂 giấu giếm	[翻] U+6382
掂	diếm	T	𢭳掂 giấu diếm	⇔ 掂 giếm
井	giếng	T	掏井 đào giếng	U+4E95
井	sểnh	T	寵井 sổng sểnh [𠸨]	
井	tễnh	T	集井 tập tễnh [𠸨]	
𦀚	giềng	T	𦀚䋦 giềng mối	U+2601A
𪶎	gieo	T	𪶎𢳯 gieo rắc	[翻] U+2AD8E
𨦬	giết	4	𨦬𣩂 giết chết · 𨦬害 giết hại	U+289AC
𢷹	gìn	4	𡨺𢷹 giữ gìn [𠸨]	[翻] U+22DF9
䇠	giỏ	T	丐䇠 cái giỏ	[異] 𥶇 U+41E0
𩙍	gió	5	𩙍雹 gió bão · 𩙍𬁒 gió mùa	[翻] [異] 𲋊 𩙋 U+2964D
𥣒	giỗ	T	𥣒忌 giỗ kị · 𥣒臘 giỗ chạp	U+258D2
捈	giơ	T	捈𢬣 giơ tay	[翻] U+6348
𣇞	giờ	1	包𣇞 bao giờ · 𣇞𥋏 giờ giấc [𠸨] · 現𣇞 hiện giờ · 時𣇞 thì giờ	[異] 除 U+231DE
𠐞	giỏi	5	𠐞江 giỏi giang [𠸨]	[翻] U+2041E
戒	GIỚI	3	戒嚴 giới nghiêm · 警戒 cảnh giới · 破戒 phá giới · 勸戒 khuyến giới · 五戒 ngũ giới	U+6212
戒	cai	3	戒𢞆 cai nghiện · 戒𣷱 cai sữa	
芥	GIỚI	T	荊芥 kinh giới	U+82A5
芥	cải	T	蔞芥 rau cải · 芥花 cải hoa	
界	GIỚI	2	界限 giới hạn · 邊界 biên giới ·女界 nữ giới · 境界 cảnh giới	U+754C
械	GIỚI	T	機械 cơ giới	U+68B0
誡	GIỚI	T	告誡 cáo giới	U+8AA1
𧋹	giời	T	𡥵𧋹 con giời · 𧋹蹽 giời leo	[異] 𧐹 U+272F9
𡅉	giỡn	T	吶𡅉 nói giỡn · 𡅉𩈘 giỡn mặt · 𢴉𡅉 đùa giỡn · 𨔈𡅉 chơi giỡn	U+21149
梇	gióng	T	梇𣖙 gióng mía · 梇檜 gióng củi	U+6887
梇	lóng	T		⇔ 梇 gióng
𠰩	giọng	T	𪮞𠰩 giật giọng · 𠰩吶 giọng nói	[異] 喠 U+20C29
𥞖	giống	3	𨠳𥞖 gây giống · 𥞖類 giống loài · 𣳔𥞖 dòng giống · 𥞖僥 giống nhau · 𥞖如 giống như	[翻] [異] 𠏳 U+25796
𥞖	giông	3	𥞖𥞖 giông giống [𠸨]	⇔ 𥞖 giống [翻]
湥	giọt	T	湥𩄎 giọt mưa · 湥淚 giọt lệ	[翻] U+6E65
湥	sặt	T	湥𡊳 sặt sành [𠸨]	
𡨺	giữ	3	監𡨺 giam giữ · 𡨺𥙩 giữ lấy ·留𡨺 lưu giữ · 扒𡨺 bắt giữ · 𡨺 𢷹 giữ gìn [𠸨]	U+21A3A
𡧲	giữa	4	於𡧲 ở giữa · 𡧲澄 giữa chừng	[異] 𫡉 U+219F2
𠽖	giục	T	𠽖偖 giục giã · 𢭻𠽖 xúi giục ·促𠽖 thúc giục · 𠽖𢚸 giục lòng	[翻] U+20F56
𧉙	giun	T	𧉙𡐙 giun đất	U+27259
𧉙	run	T		⇔ 𧉙 giun
𧉙	trùn	T	𡥵𧉙 con trùn	⇔ 𧉙 giun [翻]
床	giường	T	床𥄬 giường ngủ · 床𰨂 giường thờ · 床單 giường đơn · 巾𱱇床 khăn trải giường	U+5E8A
𢴇	giúp	3	𢴇扡 giúp đỡ · 助𢴇 trợ giúp	[翻] [異] 執 U+22D07
哬	ha	T	哬哬 ha ha [嘆]	U+54EC
嘑	hả	T	嘑𭌟 hả hê [𠸨] · 嘑？ Hả? [嘆]	U+5611
𠹛	há	T	𠹛𠵘 há mồm · 𠹛嘝 há hốc	U+20E5B
何	HÀ	T	何必 hà tất · 奈何 nại hà · 何首烏 hà thủ ô	U+4F55
苛	HÀ	T	苛刻 hà khắc · 苛賤 hà tiện ·苛脅 hà hiếp · 苛濫 hà lạm ·苛𠽍 hà rầm	U+82DB
呵	hà	T	呵唏 hà hơi	U+5475
河	HÀ	1	山河 sơn hà · 河馬 hà mã	U+6CB3
荷	HÀ	T	薄荷 bạc hà · 荷蘭 Hà Lan	U+8377
蚵	hà	T	蚵㴜 hà biển · 榘𧃷蚵 củ khoai hà · 蚵𤔻 hà móng	U+86B5
遐	HÀ	T	崩遐 băng hà · 升遐 thăng hà	U+9050
下	HẠ	2	天下 thiên hạ · 候下 hầu hạ ·下幔 hạ màn · 下價 hạ giá · 下決心 hạ quyết tâm	U+4E0B
夏	HẠ	3	夏至 hạ chí · 春夏秋冬 xuân hạ thu đông	U+590F
夏	hè	3	頭夏 đầu hè · 儗夏 nghỉ hè	
賀	HẠ	T	慶賀 khánh hạ · 祝賀 chúc hạ · 賀功 hạ công	U+8CC0
暇	HẠ	T	閒暇 nhàn hạ	U+6687
赫	HÁCH	T	赫奕 hách dịch	U+8D6B
核	HẠCH	T	核算 hạch toán · 熱核 nhiệt hạch · 核索 hạch sách · 疫核 dịch hạch	U+6838
𠄩	hai	1	𣎃𠄩 tháng hai · 𠬠𠄩 một hai	U+20129
海	HẢI	1	海洋 hải dương · 海軍 hải quân · 沿海 duyên hải · 海產 hải sản · 海港 hải cảng	U+6D77
海	hới	1	洞海 Đồng Hới	
𢲨	hái	5	𦧜𢲨 lưỡi hái	U+22CA8
骸	HÀI	4	遺骸 di hài · 屍骸 thi hài	U+9AB8
諧	HÀI	4	諧謔 hài hước · 詼諧 khôi hài ·諧和 hài hoà · 諧𢚸 hài lòng ·諧劇 hài kịch	U+8AE7
駭	HÃI	5	𢜝駭 sợ hãi · 驚駭 kinh hãi	U+99ED
害	HẠI	2	折害 thiệt hại · 固害 có hại ·侵害 xâm hại	U+5BB3
咍	hay	3	朱咍 cho hay · 咍𠯖 hay ho ·咍𱺵 hay là	[翻] [異] 𫨩 U+548D
𫻎	ham	T	𫻎𡮶 ham chuộng · 𫻎迷 ham mê · 𫻎唬 ham hố [𠸨]	U+2BECE
含	HÀM	4	包含 bao hàm · 含冤 hàm oan · 含意 hàm ý · 含笑 hàm tiếu · 含量 hàm lượng	U+542B
含	ngoàm	4	岩含 ngồm ngoàm [𠸨]	
函	HÀM	T	函數 hàm số · 函授 hàm thụ ·公函 công hàm	[翻] U+51FD
函	hòm	T	函䇸 hòm xiểng · 𢬣函匙銙 tay hòm chìa khoá · 撻𠊛𣩂濧𠓨函 đặt người chết đuối vào hòm · 𤗆役㐌函耒 mọi việc đã hòm rồi	
𦛜	hàm	5	𬗜𦛜 quai hàm · 𪘵𦛜 răng hàm	U+266DC
銜	HÀM	T	品銜 phẩm hàm · 軍銜 quân hàm · 學銜 học hàm	U+929C
陷	HÃM	5	陷害 hãm hại · 監陷 giam hãm · 圍陷 vây hãm	U+9677
陷	hỏm	5	陷陷 hom hỏm [𠸨]	
陷	hom	5	陷陷 hom hỏm [𠸨]	⇔ 陷 hỏm
啗	hãm	T	啗茶 hãm trà · 啗血 hãm tiết	U+5557
艦	HẠM	4	戰艦 chiến hạm	U+8266
𢣇	hăm	5	𢣇𡁱 hăm he · 𢣇𢠇 hăm hở · 𢣇唑 hăm doạ	U+228C7
歆	HÂM	T	歆慕 hâm mộ	[翻] U+6B46
𡌢	hầm	T	層𡌢 tầng hầm · 塘𡌢 đường hầm	U+21322
漢	HÁN	4	漢喃 Hán Nôm · 阿羅漢 A La Hán · 𡨸漢 chữ Hán · 好漢 hảo hán · 漢字 Hán tự	U+6F22
漢	hớn	4	好漢 hảo hớn	
焊	HÀN	T	焊𮇜 hàn gắn · 焊口 hàn khẩu · 焊堤 hàn đê	U+710A
寒	HÀN	T	大寒 đại hàn · 貧寒 bần hàn ·傷寒 thương hàn · 寒暄 hàn huyên · 寒林所 hàn lâm sở	U+5BD2
翰	HÀN	T	院翰林 viện hàn lâm	[翻] U+7FF0
韓	HÀN	3	韓國 Hàn Quốc	U+97D3
汗	HÃN	T	血汗 huyết hãn · 成吉思汗 Thành Cát Tư Hãn	U+6C57
罕	HÃN	T	罕有 hãn hữu	U+7F55
罕	hãn	T	𣗓罕 chưa hãn	
悍	HÃN	T	兇悍 hung hãn	U+608D
旱	HẠN	T	旱暵 hạn hán	U+65F1
限	HẠN	1	加限 gia hạn · 無限 vô hạn · 限制 hạn chế	U+9650
𠳾	hẳn	T	𢡠𠳾 chắc hẳn · 𠳾脄 hẳn hoi	[異] 罕 U+20CFE
𪝳	hắn	T	𪝳些 hắn ta	U+2A773
欣	HÂN	5	欣幸 hân hạnh · 欣歡 hân hoan	[翻] U+6B23
欣	hơn	5	欣𡛤 hơn nữa · 𠃣欣 ít hơn · 𥽌欣 gạo hơn	[翻]
恨	HẬN	3	讎恨 thù hận · 悔恨 hối hận ·怨恨 oán hận	U+6068
恨	hằn	3	恨學 hằn học [𠸨] · 讎恨 thù hằn	
𡎟	hang	T	𡎟嘝 hang hốc · 𡎟洞 hang động · 𡎟漊萬丈 hang sâu vạn trượng	U+2139F
亙	hàng	T	亙𣇞 hàng giờ · 亙𠦳𢆥 hàng ngàn năm	U+4E99
行	HÀNG	1	行伍 hàng ngũ · 銀行 ngân hàng · 𨷯行 cửa hàng · 行貨 hàng hoá · 渃行 nước hàng	U+884C
行	HÀNH	1	步行 bộ hành · 行程 hành trình · 施行 thi hành · 行動 hành động · 保行 bảo hành	
行	HẠNH	1	德行 đức hạnh · 節行 tiết hạnh	
行	hãng	1	正行 chính hãng · 行信 hãng tin · 行航空 hãng hàng không	
航	HÀNG	T	航海 hàng hải · 航空 hàng không	U+822A
項	HẠNG	4	攝項 xếp hạng · 末項 mạt hạng · 上項 thượng hạng · 𥿯項一 vé hạng nhất	[翻] U+9805
㤚	hăng	T	㤚醝 hăng say · 兇㤚 hung hăng · 㤚𢲨 hăng hái [𠸨]	U+391A
恆	HẰNG	5	恆𢆥 hằng năm · 恆𣎃 hằng tháng · 恆數 hằng số	U+6046
𬿦	hẫng	T	紇𬿦 hụt hẫng · 珥𬿦 nhẹ hẫng	U+2CFE6
荇	hành	T	榘荇 củ hành · 荇西 hành tây	[異] 蘅 U+8347
莖	HÀNH	T	玉莖 ngọc hành	U+8396
倖	HÃNH	4	倖進 hãnh tiến · 倖求 hãnh cầu	U+5016
杏	HẠNH	T	杏仁 hạnh nhân	U+674F
幸	HẠNH	5	幸福 hạnh phúc · 欣幸 hân hạnh · 不幸 bất hạnh · 榮幸 vinh hạnh	U+5E78
耗	HAO	T	損耗 tổn hao · 消耗 tiêu hao ·耗紇 hao hụt	U+8017
滈	hao	4	同滈 đồng hao · 滈滈 hao hao	U+6EC8
滈	khao	4	渴滈 khát khao [𠸨]	
好	HẢO	3	好友 hảo hữu · 絕好 tuyệt hảo · 美好 mĩ hảo · 和好 hoà hảo · 好漢 hảo hán	U+597D
好	HIẾU	3	好學 hiếu học · 好客 hiếu khách · 好奇 hiếu kì · 嗜好 thị hiếu	
好	háo	3	好渃 háo nước · 好洫 háo hức	
號	HÀO	2	呼號 hô hào	U+865F
號	HIỆU	2	號令 hiệu lệnh · 信號 tín hiệu · 暗號 ám hiệu · 徽號 huy hiệu · 符號 phù hiệu · 商號 thương hiệu	
