
# 常用标准汉喃字表（2024年版）表1
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表1共3975字（分为6级，即1、2、3、4、5、T，分别有244、342、464、478、490、1957字）
#
# 𡨸漢喃	音讀	Level	譬喻	𥱬註
# Chữ Hán Nôm	Âm đọc	Level	Thí dụ	Ghi chú

𡨸漢喃	音讀	level	譬喻	𥱬註
甌	ÂU	T	甌鐄 âu vàng · 甌𡊳 âu sành	U+750C
歐	ÂU	2	洲歐 Châu Âu	U+6B50
謳	ÂU	T	謳歌 âu ca	U+8B33
謳	âu	T	謳拱 âu cũng · 謳！𥄬𠫾𡥵 Âu! Ngủ đi con [嘆]	
鷗	ÂU	T	海鷗 hải âu	U+9DD7
幼	ẤU	4	苴幼 thơ ấu	U+5E7C
巴	BA	T	巴戟 ba kích	U+5DF4
巴	bơ	T	巴𤷵 bơ phờ [𠸨] · 巴噅 bơ vơ ·醒巴 tỉnh bơ · 㗶巴𠓨餅麪 phết bơ vào bánh mì [摱]	[翻]
芭	BA	T	芭蕉 ba tiêu	U+82AD
𠀧	ba	3	𠀧𱑕 ba mươi · 次𠀧 thứ ba · 𠀧沛 ba phải · 𠄼𠀧 dăm ba · 𠀧被 ba bị	U+20027
爸	ba	5	爸媽 ba má	U+7238
波	BA	4	風波 phong ba · 奔波 bôn ba ·微波 vi ba · 波蘭 Ba Lan · 波花 ba hoa [摱]	[翻] U+6CE2
耙	ba	T	釘耙 đinh ba	U+8019
蚆	ba	T	𡥵蚆蚆 con ba ba	U+8686
伯	BÁ	T	伯父 bá phụ · 師伯 sư bá · 伯爵 bá tước · 河伯 hà bá	U+4F2F
伯	bác	T	注伯 chú bác · 伯胡 Bác Hồ ·伯𡛔 bác gái	[異] 博
播	BÁ	4	傳播 truyền bá	U+64AD
霸	BÁ	5	稱雄稱霸 xưng hùng xưng bá ·霸主 bá chủ · 霸王 bá vương	U+9738
婆	BÀ	2	婆外 bà ngoại · 翁婆 ông bà ·婆𫅷 bà già · 𠄩婆徵 Hai Bà Trưng · 襖婆𠀧 áo bà ba	U+5A46
琶	BÀ	T	琵琶 tì bà	U+7436
粑	bã	5	𣷯粑 cặn bã · 粑𨢇 bã rượu	U+7C91
𢗌	bạ	T	𫌶𢗌 bậy bạ	U+225CC
簿	BẠ	5	名簿 danh bạ	U+7C3F
簿	BỘ	5	登簿 đăng bộ · 鄉簿 hương bộ	
礮	bác	T	大礮 đại bác	U+792E
薄	BẠC	T	負薄 phụ bạc · 背薄 bội bạc ·薄𤾷 bạc phếch · 薄殍 bạc bẽo [𠸨]	U+8584
礴	BẠC	T	磅礴 bàng bạc	U+7934
北	BẮC	1	方北 phương bắc · 東北 đông bắc · 北愛縺 Bắc Ai-len	U+5317
北	bấc	1	𩙍北 gió bấc	
𢫣	bắc	T	𢫣橋 bắc cầu	U+22AE3
堛	bậc	5	級堛 cấp bậc · 越堛 vượt bậc · 𠬠堛聖人 một bậc thánh nhân	[翻] U+581B
堛	bực	5		⇔ 堛 bậc [翻]
百	BÁCH	5	百合 bách hợp · 百科 bách khoa · 百貨 bách hoá · 百姓 bách tính	U+767E
迫	BÁCH	5	急迫 cấp bách · 逼迫 bức bách · 窘迫 quẫn bách · 滌迫 sạch bách [𠸨]	U+8FEB
柏	BÁCH	T	松柏 tùng bách · 柏傘 bách tán	U+67CF
白	BẠCH	4	白金 bạch kim · 明白 minh bạch · 辯白 biện bạch · 剒白 tách bạch	U+767D
㕷	bạch	T	𤃝㕷 lạch bạch [聲] · 㕷㕷 bạch bạch [聲] · 𢯞比㕷 vỗ bì bạch [聲]	U+3577
沛	BÁI	1	安沛 Yên Bái	U+6C9B
沛	phải	1	邊沛 bên phải · 沛債 phải trái ·沛𫜵哰 phải làm sao · 沛如勢 phải như thế	
拜	BÁI	5	崇拜 sùng bái · 拜別 bái biệt	[翻] U+62DC
拜	vái	5	懇拜 khấn vái · 拜𥚄 vái lạy	
排	BÀI	2	安排 an bài · 排除 bài trừ · 排兵布陣 bài binh bố trận	U+6392
排	bài	2	排習 bài tập · 排詩 bài thơ	
排	bày	2	呈排 trình bày · 𤐃排 giãi bày ·徵排 trưng bày	
排	bầy	2		⇔ 排 bày
牌	BÀI	T	金牌 kim bài · 牌位 bài vị · 牌博 bài bạc	U+724C
罷（罢）	BÃI	4	罷工 bãi công · 罷兵 bãi binh	U+7F77 (U+7F62)
𡓁（𪤄）	bãi	4	𡓁𡋥 bãi cát · 𡓁㴜 bãi biển	U+214C1 (U+2A904)
敗	BẠI	5	打敗 đánh bại · 敗露 bại lộ · 𥟹敗 lụi bại · 勝敗 thắng bại ·敗將 bại tướng · 腐敗 hủ bại	U+6557
𢒎	bay	3	𣛠𢒎 máy bay · 𢒎𧊉 bay bướm · 𢒎𫅤 bay lượn	[異] 𠖤 𩙻 U+2248E
𠎩	bay	T	衆𠎩 chúng bay	U+203A9
𠎩	bây	T		⇔ 𠎩 bay
𠤩（𬙞）	bảy	5	𠤩𱑕 bảy mươi · 次𠤩 thứ bảy	U+20929 (U+2C65E)
𠤩（𬙞）	bẩy	5		⇔ 𠤩 bảy
𱢤	bấy	4	𱢤𣇞 bấy giờ · 𱢤𱍿 bấy lâu	[異] 閉 U+318A4
𠍣	bầy	T	𠍣碎 bầy tôi · 𠍣𤢿 bầy sói · 𠍣 𤞺 bầy cáo	U+20363
擺（摆）	bẫy	T	蹉𠓨擺 sa vào bẫy	U+64FA (U+6446)
𫌶	bậy	T	𫌶𢗌 bậy bạ	U+2B336
𢵉	bám	5	咹𢵉 ăn bám	[翻] U+22D49
稟	BẨM	4	稟報 bẩm báo · 賦稟 phú bẩm · 𡀫稟 lẩm bẩm [𠸨]	[翻] U+7A1F
班	BAN	1	班𣎀 ban đêm · 班曥 ban trưa ·班頭 ban đầu · 班編輯 ban biên tập	[翻] U+73ED
班	buôn	1	班迷屬 Buôn Ma Thuột	
𦶾	ban	T	花𦶾 hoa ban · 𦶾西北 Ban Tây Bắc	U+26DBE
頒	BAN	3	頒朱 ban cho · 頒發 ban phát · 𠸒頒 bảo ban [𠸨]	U+9812
本	BẢN	1	基本 cơ bản · 日本 Nhật Bản	U+672C
本	BỔN	1	本分 bổn phận · 本王 bổn vương · 本報 bổn báo	
坂	bản	T	坂廊 bản làng · 坂社 bản xã	U+5742
板	BẢN	T	木板 mộc bản · 板𦃾 bản lề	U+677F
板	phản	T	板楛 phản gỗ	
板	ván	T	𬌓板 tấm ván	
版	BẢN	2	出版 xuất bản · 版草 bản thảo · 再版 tái bản	U+7248
半	BÁN	5	半島 bán đảo · 北半球 bắc bán cầu · 半𤯩半𣩂 bán sống bán chết	U+534A
𬥓	bán	3	𧷸𬥓 mua bán · 𬥓行 bán hàng	U+2C953
𠴞	bàn	4	𠴞𠳚 bàn cãi · 𠴞博 bàn bạc · 𠴞論 bàn luận · 𠴞𠾎 bàn tán	[異] 𡂑 U+20D1E
槃	BÀN	5	涅槃 niết bàn	U+69C3
磐	BÀN	T	磐石 bàn thạch	U+78D0
盤（盘）	BÀN	2	盤羅 bàn là · 琫盤 bóng bàn ·地盤 địa bàn · 盤棋 bàn cờ · 盤 𧦕 bàn ghế	U+76E4 (U+76D8)
伴	BẠN	2	伴佊 bạn bè · 結伴 kết bạn · 伴共笠 bạn cùng lớp	U+4F34
伴	vạn	2	伴䊷 vạn chài	
叛	BẠN	T	叛逆 bạn nghịch	U+53DB
𠺚	băn	4	𠺚𡂷 băn khoăn	U+20E9A
𢏑	bắn	T	𢏑銃 bắn súng · 𢏑信 bắn tin · 𢏑箭 bắn tên	U+223D1
𣵲	bẩn	T	𣵲吵 bẩn thỉu · 洳𣵲 nhơ bẩn ·垢𣵲 cáu bẩn · 膠𣵲 keo bẩn	U+23D72
邦	BANG	4	小邦 tiểu bang · 聯邦 liên bang · 番邦 phiên bang	U+90A6
幫	BANG	T	丐幫 cái bang · 幫會 bang hội ·幫派 bang phái	U+5E6B
榜	BẢNG	T	榜眼 bảng nhãn · 副榜 phó bảng · 榜黰 bảng đen · 榜統計 bảng thống kê · 𤥑鬥榜 vòng đấu bảng	U+699C
榜	bảng	T	榜𨅉 bảng lảng	
榜	BÀNG	T	彷徨 bàng hoàng	U+5F77
彷	PHẢNG	5	彷彿 phảng phất	[翻]
彷	vưởng	5	沕彷 vất vưởng	
㥬	bàng	T	𢜢㥬 bẽ bàng · 坌㥬 bộn bàng	U+396C
膀	BÀNG	T	膀胱 bàng quang	U+8180
磅	BÀNG	T	磅礴 bàng bạc	U+78C5
