# 常用标准汉喃字表（2022年版）
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# 共5524个标准汉喃字（其中3993常用字，适合中小学学习，分为6级，即1、2、3、4、5、T，分别有235、354、468、470、480、1986字，对应小学1-5年级和中学）
# http://www.hannom-rcv.org/Lookup-CHNC.html
# http://www.hannom-rcv.org/BCHNCTD.html
# 𡨸漢喃	音讀	級度	𥱬註	譬喻

桃	ĐÀO	T		櫻桃 anh đào · 胡桃 hồ đào · 𦟐桃 má đào · 𬃻桃 trái đào · 數桃花 số đào hoa
逃	ĐÀO	T		逃走 đào tẩu · 逃脫 đào thoát · 逃伍 đào ngũ · 逃走 đào tẩu
掏	ĐÀO	5		掏捭 đào bới · 掏井 đào giếng · 涇掏 kênh đào
淘	ĐÀO	T		淘汰 đào thải
陶	ĐÀO	4		姑陶 cô đào · 妸陶 ả đào
萄	ĐÀO	5		果葡萄 quả bồ đào · 葡萄牙 Bồ Đào Nha
濤（涛）	ĐÀO	T		波濤 ba đào
盜	ĐẠO	T		強盜 cường đạo · 盜賊 đạo tặc
道	ĐẠO	2		道理 đạo lí · 道德 đạo đức · 軌道 quỹ đạo
導	ĐẠO	1		導演 đạo diễn · 領導 lãnh đạo
蹈	ĐẠO	T		舞蹈 vũ đạo
答	ĐÁP	4		曰書答 viết thư đáp · 回答 hồi đáp · 應答 ứng đáp · 答𠳒 đáp lời · 答禮 đáp lễ
搭	đáp	T		搭艚 đáp tầu · 搭車焒 đáp xe lửa · 搭𬺗 đáp xuống · 𧋃𧋃搭渃 chuồn chuồn đáp nước · 搭𠄩頭𨆝 đáp hai đầu gối · 搭榴彈𠓨𡓇周𨨦 đáp lựu đạn vào lỗ châu mai
踏	ĐẠP	4		車踏 xe đạp · 踏青 đạp thanh
㙮	đắp	T		補㙮 bù đắp
㧺	đập	4		打㧺 đánh đập · 㧺穭 đập lúa · 㧺破 đập phá · 橅㧺𡐙 vồ đập đất
𡌩	đập	T		𡌩渃 đập nước · 㙮𡌩 đắp đập
怛	ĐÁT	T		悲怛 bi đát
達	ĐẠT	3		傳達 truyền đạt · 表達 biểu đạt · 演達 diễn đạt · 發達 phát đạt · 運達 vận đạt · 達紙 đạt giấy · 杜達 đỗ đạt
𠿲	đắt	T		𠿲錢 đắt tiền · 𠿲客 đắt khách
撻	đặt	3		撻𠸜 đặt tên · 壓撻 áp đặt · 詖撻 bịa đặt · 𢲠撻 đơm đặt
𡐙	đất	1		𡐙墆 đất đai · 𬏇𡐙 ruộng đất · 𬃻𡐙 Trái Đất
𤴬	đau	2		𤴬傷 đau thương · 𤴬𤴬 đau đáu · 𤴬眜 đau mắt · 𤴬𢚸 đau lòng
兜	đâu	2		於兜 ở đâu · 兜固 đâu có
𣘛	đâu	T	⇔ 𣘛 dâu	
斗	ĐẤU	T		斗𥽌 đấu gạo · 斗𥟉 đấu thóc
鬥	ĐẤU	2		鬥口 đấu khẩu · 戰鬥 chiến đấu · 鬥爭 đấu tranh · 鬥武 đấu võ
投	ĐẦU	3		投降 đầu hàng · 投軍 đầu quân
陶	đầu	4		姑陶 cô đầu
頭	ĐẦU	1		頭𩯀 đầu tóc · 頭先 đầu tiên · 𨑗頭 trên đầu · 頭脽 đầu đuôi
杜	đậu	5	⇔ 杜 đỗ	試杜 thi đậu
豆	ĐẬU	4		豆𧰗 đậu nành · 豆腐 đậu phụ · 豆蔻 đậu khấu · 豆漿 đậu tương
逗	ĐẬU			逗車 đậu xe
痘	ĐẬU	T		痘𬁒 đậu mùa
砥	đe			𨑗砥𨑜鈽 trên đe dưới búa
𠴓	đe	2		𠴓唑 đe doạ
𤯰	đẻ	5		㗂媄𤯰 tiếng mẹ đẻ
碮	đè	T		碮攮 đè nén
悌	đẽ			惵悌 đẹp đẽ [𠸨]
低	ĐÊ	2		低下 đê hạ · 低賤 đê tiện
堤	ĐÊ	T		𡥵堤 con đê · 坡堤 bờ đê
底	ĐỂ	5		徹底 triệt để · 到底 đáo để
抵	ĐỂ	1		大抵 đại để
抵	để	1		抵朱 để cho · 抵𦓡 để mà · 抵意 để ý
帝	ĐẾ	3		皇帝 hoàng đế · 上帝 thượng đế · 帝國 đế quốc · 帝王 đế vương
柢	ĐẾ	T		柢𩌂 đế giày · 柢畑 đế đèn · 深根固柢 thâm căn cố đế
諦	ĐẾ	T		真諦 chân đế
啼	ĐỀ	T		夜啼 dạ đề
提	ĐỀ	2		提出 đề xuất · 提防 đề phòng · 提攜 đề huề · 提舉 đề cử · 提抗 đề kháng
渧	đề	T		潭渧 đầm đề
醍	ĐỀ	T		醍醐 đề hồ
題	ĐỀ	1		頭題 đầu đề · 題試 đề thi · 題詩 đề thơ · 問題 vấn đề
弟	ĐỆ	4		弟子 đệ tử · 兄弟 huynh đệ · 師弟 sư đệ · 賢弟 hiền đệ
第	ĐỆ	T		次第 thứ đệ · 門第 môn đệ · 第一 đệ nhất
遞	ĐỆ	T		遞呈 đệ trình
𫴿	đếch			𫴿懃 đếch cần · 𫴿別 đếch biết
𨑻	đem	4		𨑻𠫾 đem đi · 𨑻𢚸 đem lòng · 𨑻錢𠫾𧷸行 đem tiền đi mua hàng
𣎀	đêm	3		𣎀𣋚 đêm hôm · 班𣎀 ban đêm · 𣇜𣎀 buổi đêm
點（点）	đếm	1		點錢 đếm tiền · 點數件行李 đếm số kiện hành lí
𧛋	đềm	T		淹𧛋 êm đềm
黰	đen	3		𦭷黰 màu đen · 鏡黰 kính đen · 𩄲黰 mây đen
畑	đèn	4		𤎕畑 tắt đèn · 琫畑 bóng đèn · 架畑 giá đèn
𦤾	đến	1		𦤾自 đến từ · 𦤾坭 đến nơi · 𨁲𦤾 ập đến
搷	đền	4		搷恩 đền ơn · 搷補 đền bù
殿	đền	T		殿廟 đền miếu · 殿𫷨 đền chùa
汀	đênh	T		泠汀 lênh đênh
㧅	đeo	5		㧅繃 đeo băng
惵	đẹp	2		𦎡惵 xinh đẹp · 高惵 cao đẹp · 惵悌 đẹp đẽ [𠸨] · 惵對 đẹp đôi · 惵𩈘 đẹp mặt
𪸽	đét			𤷍𪸽 gầy đét · 枯𪸽 khô đét · 黰𪸽 đen đét [聲]
調	đều	2		調憚 đều đặn [𠸨] · 調僥 đều nhau · 同調 đồng đều · 調𢝙𢜠 đều vui mừng
呧	đi		𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục.	
𠫾	đi	1		𠫾步 đi bộ · 𠫾𨅸 đi đứng · 𠫾修 đi tu · 𠫾𢄂 đi chợ
𡚦	đĩ			𨔈𡚦 chơi đĩ
𥐨	đĩa	T		盞𥐨 chén đĩa · 𥐨喝 đĩa hát
地	ĐỊA	1	婆地 Bà Rịa	地址 địa chỉ · 地理 địa lí · 翁地 ông địa
的	ĐÍCH	3		的確 đích xác · 目的 mục đích · 的寔 đích thực
嫡	ĐÍCH	5		嫡派 đích phái · 嫡母 đích mẫu · 嫡名 đích danh
笛	ĐỊCH			彈笛 đàn địch
敵	ĐỊCH	4		讎敵 thù địch · 情敵 tình địch · 迎敵 nghênh địch
點（点）	ĐIỂM	1		粧點 trang điểm · 點頭 điểm đầu · 點名 điểm danh · 交點 giao điểm · 點心 điểm tâm · 要點 yếu điểm · 點𪽳 điểm yếu
恬	ĐIỀM	T		恬靜 điềm tĩnh · 恬淡 điềm đạm · 恬然 điềm nhiên
䀨	điềm			䀨令 điềm lành
顛	ĐIÊN	T		倒顛 đảo điên
癲	ĐIÊN	4		發癲 phát điên · 癲狂 điên cuồng
典	ĐIỂN	2		詞典 từ điển · 字典 tự điển · 典型 điển hình · 典故 điển cố · 古典 cổ điển · 典𤳆 điển trai
田	ĐIỀN	5		田主 điền chủ · 田野 điền dã · 借田 tá điền
填	ĐIỀN	T		填詞 điền từ · 填𠓨 điền vào
奠	ĐIỆN	4		奠邊府 Điện Biên Phủ
殿	ĐIỆN	T		宮殿 cung điện · 殿下 điện hạ
電	ĐIỆN	2		電子 điện tử · 車電 xe điện · 郵電 bưu điện · 無線電 vô tuyến điện
牒	ĐIỆP	5		通牒 thông điệp
蝶	ĐIỆP	T		蝴蝶 hồ điệp · 𧎷蝶 sò điệp
諜	ĐIỆP	5		間諜 gián điệp · 諜員 điệp viên
疊	ĐIỆP	T		重疊 trùng điệp · 疊曲 điệp khúc
刁	điêu			吶刁 nói điêu
凋	ĐIÊU	T		凋殘 điêu tàn · 凋𨅸 điêu đứng · 凋零 điêu linh
雕	ĐIÊU	T		雕刻 điêu khắc · 浮雕 phù điêu · 𪀄雕 chim điêu
弔	ĐIẾU			弔文 điếu văn
𫁵	điếu			𫁵𦓿 điếu cày · 𫁵炶 điếu đóm
條	ĐIỀU	2		條尼 điều này · 條件 điều kiện · 條約 điều ước · 別條 biết điều · 條㗂 điều tiếng
樤	điều	T		𣘃樤 cây điều
調	ĐIỀU	2		調製 điều chế · 調查 điều tra · 調遣 điều khiển
悼	ĐIỆU	T		追悼 truy điệu
窕	ĐIỆU	T		窈窕 yểu điệu
調	ĐIỆU	2		調步 điệu bộ · 單調 đơn điệu · 強調 cường điệu · 格調 cách điệu · 佳調 giai điệu
調	điệu	2		伮被調𦤾屯公安 nó bị điệu đến đồn công an
恬	đim	T	𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục.	
丁	ĐINH	T		丁香 đinh hương · 窮丁 cùng đinh
叮	ĐINH	T		叮嚀 đinh ninh · 叮𠄼 đinh (đing) năm [譯]
疔	đinh			疔𩯁 đinh râu
釘	ĐINH	T		釘耙 đinh ba · 頭釘 đầu đinh · 㨂釘 đóng đinh
䟓	đỉnh	T		𨆟䟓 đủng đỉnh [𠸨]
頂	ĐỈNH	4		頂𡶀 đỉnh núi · 頂點 đỉnh điểm · 崒頂 tột đỉnh · 𡭧頂 chút đỉnh · 會議上頂 hội nghị thượng đỉnh
廷	ĐÌNH	3		朝廷 triều đình · 廷臣 đình thần
亭	ĐÌNH	5		亭𡌽 đình đám
庭	ĐÌNH	4		家庭 gia đình
停	ĐÌNH	4		停滯 đình trệ · 調停 điều đình · 停止 đình chỉ · 調停 điều đình
霆	ĐÌNH	T		雷霆 lôi đình · 靈霆 linh đình
定	ĐỊNH	1		定律 định luật · 主定 chủ định · 定見 định kiến · 決定 quyết định
迭	đit		𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục.	
𦝂	đít			𦝂𧴋 đít beo
𤂂	đìu			𤂂㳜 đìu hiu
裯	địu			裯𡥵 địu con
𢵋	đo	4		𢵋度 đo đạc · 𢵋量 đo lường
𧹻	đỏ	3		𦭷𧹻 màu đỏ · 豆𧹻 đậu đỏ · 𠿲𧹻 đắt đỏ [𠸨]
妬	đó	1		於妬 ở đó · 妬低 đó đây
𥯉	đó	T		㨂𥯉過瀧 đóng đó qua sông
艔	đò			轉艔 chuyến đò
都	ĐÔ	3		京都 kinh đô · 故都 cố đô · 都市 đô thị · 都羅 đô-la [譯] · 𠬠料𣗓𨁥都 một liều chưa đủ đô [譯]
都	đô	3		都物 đô vật
嘟	đô	T		嘟嘟 đô đô [聲]
𢭰	đổ	3		𢭰步 đổ bộ · 搮𢭰 lật đổ · 𢭰𧅫 đổ rác · 𢭰𣳡洃 đổ mồ hôi
妒	ĐỐ	5		妒忌 đố kị
賭	đố			句賭 câu đố · 打賭 đánh đố · 賭媄䀡 đố mẹ xem
徒	ĐỒ	2		翁徒 ông đồ · 偨徒 thầy đồ · 生徒 sinh đồ · 信徒 tín đồ · 師徒 sư đồ · 徒愚 đồ ngu · 徒𢤞 đồ hèn · 沛罪徒𠬠𢆥 phải tội đồ một năm
涂	đồ	T		涂𥺏 đồ xôi · 𩵽涂 tôm đồ
屠	ĐỒ	T		屠宰 đồ tể · 屠殺 đồ sát
途	ĐỒ	T		前途 tiền đồ · 世途 thế đồ
塗	ĐỒ	T		塗幀 đồ tranh · 塗𫇿 đồ thuốc · 糊塗 hồ đồ
圖	ĐỒ	3		表圖 biểu đồ · 版圖 bản đồ · 謀圖 mưu đồ · 意圖 ý đồ · 爭霸圖王 tranh bá đồ vương
𣘊	đồ	2		𣘊度 đồ đạc [𠸨] · 𣘊咹 đồ ăn · 𣘊𨔈 đồ chơi · 𣘊數 đồ sộ · 試𣘊䀡 thử đồ xem · 𣘊 đồ [俗]
杜	ĐỖ	5		杜鵑 đỗ quyên · 杜仲 đỗ trọng · 𣱆杜 họ Đỗ
杜	đỗ	5		試杜 thi đỗ
豆	đỗ	4	⇔ 豆 đậu	豆青 đỗ xanh
逗	đỗ		⇔ 逗 đậu	逗車 đỗ xe
度	ĐỘ	3		過度 quá độ · 澄度 chừng độ
渡	ĐỘ	4		救渡 cứu độ · 過渡 quá độ
咜	đờ	T		勁咜 cứng đờ · 希咜𬰹 hi-đờ-rô [譯]
扡	đỡ	3		𢴇扡 giúp đỡ · 扡𢠤󠄁 đỡ đần [𠸨]
墮	ĐỌA	T		蹉墮 sa đọa
端	ĐOAN	4		端正 an chính · 甘端 cam đoan · 極端 cực đoan · 端莊 đoan trang · 節端午 tết Đoan Ngọ
斷（断）	ĐOÁN	3		診斷 chẩn đoán · 察斷 xét đoán · 推斷 suy đoán · 判斷 phán đoán · 獨斷 độc đoán · 禁斷 cấm đoán · 倣斷 phỏng đoán
團	ĐOÀN	1		團結 đoàn kết · 軍團 quân đoàn · 團體 đoàn thể · 團聚 đoàn tụ · 飛團 phi đoàn · 聯團 liên đoàn
段	ĐOẠN	3		段塘 đoạn đường · 分段 phân đoạn · 手段 thủ đoạn · 階段 giai đoạn · 首段 thủ đoạn
斷（断）	ĐOẠN	3		䋎斷 đứt đoạn · 壟斷 lũng đoạn · 間斷 gián đoạn · 斷腸新聲 đoạn trường tân thanh
奪	ĐOẠT	5		占奪 chiếm đoạt · 定奪 định đoạt · 削奪 tước đoạt · 搶奪 sang đoạt · 爭奪 tranh đoạt
讀	đọc	2		讀冊 đọc sách · 音讀 âm đọc
督	ĐỐC	2		督察 đốc sát · 監督 giám đốc · 督戰 đốc chiến · 基督 cơ đốc
銩	đốc	T		銩劍 đốc kiếm · 銩刀 đốc dao
篤	ĐỐC	T		敦篤 đôn đốc · 篤症 đốc chứng
毒	ĐỘC	3		中毒 trúng độc · 質毒 chất độc · 投毒 đầu độc
獨	ĐỘC	2		獨立 độc lập · 獨身 độc thân · 獨話 độc thoại
讀	ĐỘC	2		讀者 độc giả
𩟡	đói	4		𩟡歉 đói kém · 𩟡䏾 đói bụng · 𠨪𩟡 nghèo đói
𠾕	đòi	5		𠾕𠳨 đòi hỏi · 𠾕𧴱 đòi nợ · 學𠾕 học đòi
𡡦	đòi	T		碎𡡦 tôi đòi · 𡥵𡡦 con đòi
對	ĐÔI	2		對箸 đôi đũa · 對𩌂 đôi giày · 房對 phòng đôi · 笈對 cặp đôi · 對𢮩 đôi co
𢷮	đổi	2		𠊝𢷮 thay đổi · 𢷮㧻 đổi chác · 𢭂𢷮 trao đổi
對	ĐỐI	2		對飲 đối ẩm · 對面 đối diện · 對待 đối đãi · 對作 đối tác · 𢶢對 chống đối
𩼷	đối	T		𩵜𩼷 cá đối
玳	đồi	T		玳瑁 đồi mồi
頹	ĐỒI	4		衰頹 suy đồi
𡾫	đồi	T		𡶀𡾫 núi đồi · 𦘹𡾫 sườn đồi
隊	ĐỘI	2		部隊 bộ đội · 隊琫 đội bóng · 隊伍 đội ngũ · 艦隊 hạm đội
戴	đội			戴𢃱 đội mũ
帶	đới	T		熱帶 nhiệt đới · 連帶 liên đới
𠁀	đời	1		局𠁀 cuộc đời · 𠁀𠸗 đời xưa · 姅𠁀 nửa đời
待	đợi	4		䟻待 chờ đợi · 懞待 mong đợi
炶	đóm			𫁵炶 điếu đóm · 𡥵炶炶 con đom đóm
沓	đôm			沓沓 đôm đốp
玷	đốm			㹥玷 chó đốm · 𤒢玷 lốm đốm
𢲠	đơm			𢲠撻 đơm đặt
痰	đờm			痰𣹘 đờm dãi
迍	đón	3		迻迍 đưa đón · 迍塘 đón đường · 迍春 đón xuân · 迍接 đón tiếp
杶	đòn	T		陣杶 trận đòn
惇	ĐÔN			惇篤 đôn đốc
敦	ĐÔN			敦篤 đôn đốc · 敦促 đôn thúc · 敦厚 đôn hậu · 倫敦 Luân Đôn
墩	ĐÔN			墩楛 đôn gỗ
扽	đốn			扽𣘃 đốn cây
頓	ĐỐN	5		困頓 khốn đốn · 頓末 đốn mạt · 頓劫 đốn kiếp
屯	ĐỒN	T		屯公安 đồn công an
訰	đồn	5		信訰 tin đồn
飩	ĐỒN			餛飩 hồn đồn
沌	ĐỘN	T		混沌 hỗn độn
沌	độn	T		沌𦙏 độn ngực · 沌葻𠓨𩠴 độn bông vào gối
鈍	ĐỘN			𢠤󠄁鈍 đần độn
遁	ĐỘN	4		遁土 độn thổ
丹	ĐƠN	T		靈丹 linh đơn · 膏丹 cao đơn · 紅丹 hồng đơn · 牡丹 mẫu đơn
單	ĐƠN	2		孤單 cô đơn · 襖單 áo đơn · 床單 giường đơn · 單位 đơn vị · 單件 đơn kiện · 單𫇿 đơn thuốc · 單詞 đơn từ
疸	đớn	T		疸𢤞 đớn hèn · 𤴬疸 đau đớn
𣁲	đong			𣁲迻 đong đưa
㨂	đóng	2		㨂𨷯 đóng cửa · 㨂𢵰 đóng góp · 㨂冰 đóng băng
秱	đòng			秱秱 đòng đòng
𠘃	đọng	T		凝𠘃 ngưng đọng · 囚𠘃 tù đọng
冬	ĐÔNG	5		𬁒冬 mùa đông · 冬至 đông chí · 冬菇 đông cô
東	ĐÔNG	2		𪰂東 phía đông · 方東 phương đông · 東北 đông bắc · 東洋 Đông Dương
凍	đông	T		凍冷 đông lạnh · 凍勁 đông cứng
𨒟	đông	3		𨒟𤒘 đông đúc · 𨒟𠊛 đông người · 𨒟如蜆 đông như kiến
埬	đống	T		𡍢埬 gò đống
同	ĐỒNG	1		共同 cộng đồng · 同胞 đồng bào
垌	đồng	1		垌穭 đồng lúa · 垌𬏇 đồng ruộng · 垌圭 đồng quê
桐	ĐỒNG	T		梧桐 ngô đồng
童	ĐỒNG	T		兒童 nhi đồng · 童謠 đồng dao
僮	đồng	T		婆僮 bà đồng
銅	ĐỒNG	1		銅壺 đồng hồ · 銅錢 đồng tiền · 銅鉑 đồng bạc
瞳	ĐỒNG	T		瞳子 đồng tử
洞	ĐỘNG	T	洞海 Đồng Hới	山洞 sơn động
動	ĐỘNG	2		動腦 động não · 摛動 lay động · 感動 cảm động · 盲動 manh động · 不動產 bất động sản
沓	đốp			沓𠹗 đốp chát · 沓沓 đôm đốp
炪	đốt	5		炪焒 đốt lửa · 炪畑 đốt đèn · 被螉炪 bị ong đốt
𥯝	đốt	T		𥯝𥯌 đốt tre · 𥯝𣖙 đôt mía · 𥯝𢭫𢬣 đốt ngón tay
突	ĐỘT	3		衝突 xung đột · 突然 đột nhiên · 突兀 đột ngột · 突出 đột xuất · 唐突 đường đột
腯	ĐỘT	T		𤠲腯 khỉ đột
𦂽	đột	T		𥿤𦂽 khâu đột · 𦂽斜襖 đột tà áo
澾	đợt	T		澾㳥 đợt sóng · 𠄩澾衝鋒 hai đợt xung phong
悠	đu	T		打悠 đánh đu · 𦀗悠 xích đu · 𤥑悠𢮿 vòng đu quay
𣛭	đu	T		𣛭𣛭 đu đủ
𨁥	đủ	3		𣹓𨁥 đầy đủ · 𨁥𡘯 đủ lớn
𨅮	đua	5		𧼋𨅮 chạy đua
𢴉	đùa	5		葻𢴉 bông đùa · 𢴉𠹳 đùa cợt · 𢴉逆 đùa nghịch
箸	đũa	T		對箸 đôi đũa
迻	đưa	3		迻迍 đưa đón · 𣁲迻 đong đưa · 餞迻 tiễn đưa · 迻網 đưa võng
𠀲	đứa	3		𠀲於 đứa ở · 𠀲𥘷 đứa trẻ
𤒘	đúc	T		𤒘結 đúc kết · 𨒟𤒘 đông đúc · 爐𤒘 lò đúc · 燻𤒘 hun đúc · 燶𤒘 nung đúc
濁	đục	T		渃濁 nước đục · 磟濁 lục đục · 𢭬濁𢵱沖 gạn đục khơi trong
鑟	đục			鑟圇 đục tròn
德	ĐỨC	1		德行 đức hạnh · 道德 đạo đức · 德佛 đức Phật · 㗂德 tiếng Đức
特	đực	1		𤙭特 bò đực · 動特 động đực · 特𨮌 đực rựa
𦢶	đùi			𣔟𦢶 bắp đùi · 裙𦢶 quần đùi
𦅰	đùm			𦅰襆 đùm bọc
焞	đun			焞渃 đun nước · 焞𤍇 đun nấu
𡶁	đùn			𥺿𡶁 ỉa đùn · 䗋𡶁𡐙 mối đùn đất
𨆟	đủng			𨆟䟓 đủng đỉnh [𠸨]
倲	đúng	3		倲耒 đúng rồi · 倲捵 đúng đắn [𠸨] · 倲墨 đúng mực · 𠄼𣇞倲 năm giờ đúng
哃	đùng	T		哃哃 đùng đùng [聲]
襠	đũng			裙𦀪襠 quần vá đũng
動	đụng	2		終動 chung đụng · 動𪮻 đụng chạm
𨅸	đứng	3		𨅸𧻭 đứng dậy · 𨅸𣈖 đứng bóng · 勢𨅸 thế đứng
揨	đừng	T		揨哭 đừng khóc · 揨𠫾 đừng đi
撜	đựng	4		𠹾撜 chịu đựng · 丐𣛥撜𨢇 cái be đựng rượu
得	được	1		得𢚸 được lòng · 空得 không được
脽	đuôi	T		頭脽 đầu đuôi · 脽船 đuôi thuyền
𨘗	đuổi	4		蹺𨘗 theo đuổi · 打𨘗 đánh đuổi · 𨁰𨘗 xua đuổi
濧	đuối	T		𪽳濧 yếu đuối · 㴷濧 đắm đuối
㷋	đượm			𧺀㷋 thắm đượm · 濃㷋 nồng đượm
當	ĐƯƠNG	1		當代 đương đại · 當任 đương nhiệm · 𢞅當 yêu đương · 當今 đương kim · 當歸 đương quy · 當然 đương nhiên · 當頭 đương đầu · 相當 tương đương · 當時 đương thời
唐	ĐƯỜNG	5		唐突 đường đột · 茹唐 nhà Đường
堂	ĐƯỜNG	3		堂陛 đường bệ · 祠堂 từ đường · 天堂 thiên đường · 堂皇 đường hoàng · 堂堂 đường đường
棠	ĐƯỜNG	T		海棠 hải đường
塘	đường	3		塘圫 đường sá · 塘鉄 đường sắt
糖	ĐƯỜNG	5		質糖 chất đường · 𤮾如糖 ngọt như đường
𧛆	đụp			襖𦀪𦀐𦀪𧛆 áo vá chằng vá đụp
賥	đút	T		賥䘹 đút lót · 賥𨨷 đút nút · 賥襊 đút túi
䋎	đứt	T		割䋎 cắt đứt · 䋎𢭮 đứt gãy
㥋	e	4		㥋麗 e lệ · 㥋懝 e ngại
𠲖	ê	T		𠲖啊 ê a · 𠲖滯 ê chề
𤷴	ê	T		𤷴𤀔 ê ẩm
螠	ếch	T		𡥵螠 con ếch · 螠橅花 ếch vồ hoa · 螠𡎦底井 ếch ngồi đáy giếng
㛪	em	2		㛪𡛔 em gái · 㛪𤳆 em trai
淹	êm	5		淹妸 êm ả · 淹沁 êm thấm
嚥	en			嚥嚥 en en
燕	én	T		𪀄燕 chim én
朠	ễnh			朠䏾 ễnh bụng · 𡥵朠𫊬 con ễnh ương
㕭	eo			㕭𠾸 eo xèo · 㕭㗒 eo ơi
腰	eo			腰狹 eo hẹp · 腰𡐙 eo đất · 腰𨉞 eo lưng · 腰㴜 eo biển
殀	ẻo			擣殀 trù ẻo · 殀𪫦 ẻo lả
押	ép	3		押擦 ép sát
𠇺	ẹp			俋𠇺 ọp ẹp
𠮙	ét			𠮙腔 ét-xăng [譯]
喓	êu			喓喂 êu ôi [嘆]
迦	ga	5		𦎡迦逋 Xinh-ga-po(bo) [譯]
𥩤	ga	5		𥩤車焒 ga xe lửa [譯] · 𥩤河內 ga Hà Nội [譯]
𪵤	ga			瓶𪵤 bình ga [譯]
嫁	gả	T		嫁𫯳 gả chồng · 嫁𬥓 gả bán
𪃿	gà	T		𪃿㹟 gà qué · 𪃿𪆼 gà lôi · 𪃿𥊚 gà mờ · 𤈛𪃿 quáng gà
𡥚	gã	T		𠬠𡥚書生 một gã thư sinh
𠶄	gạ			𠶄𡀯 gạ chuyện
挌	gác	T		更挌 canh gác · 挌筆 gác bút · 挌笀支 gác-măng-giê [譯]
閣	gác	T		閣𣼽 gác lửng
棘	gấc			𥸷棘 xôi gấc
坧	gạch	T		墻坧 tường gạch · 坧𧍆 gạch cua
劃	gạch	3		劃𠬠塘 gạch một đường
荄	gai	T		荄𧣳 gai góc · 㑲荄𫫞𦟽 nằm gai nếm mật  · 餅荄 bánh gai
𦃮	gai	T		𣘃𦃮 cây gai · 縐𦃮 sô gai
𡛔	gái	2		𡥵𡛔 con gái · 伴𡛔 bạn gái
𢴖	gãi			固𧋺時𢴖 có chí thì gãi
垓	gay	T		垓𦁣 gay go [𠸨] · 垓硍 gay cấn
𩺺	gáy			𩵜𩺺 cá gáy
𠰁	gáy			𪃿𠰁𡀴𡀴 gà gáy o o
𩬆	gáy			𩬆冊 gáy sách
𢭮	gãy	T		䋎𢭮 đứt gãy
㧡	gây	5		㧡戰 gây chiến · 㧡本 gây vốn · 㧡𠚢 gây ra · 㧡𥞖 gây giống · 㧡㧡塢 gây gổ [𠸨]
𨠳	gây	T		味𨠳 mùi gây · 𨠳𥾃 gây men · 𬚸𤠰𨠳𨠳 thịt gấu gây gây
𤷍	gầy			𤷍𤷱 gầy mòn · 𤷍𪸽 gầy đét
𢭮	gẫy	T	⇔ 𢭮 gãy	
梞	gậy	T		𣘃梞 cây gậy
噤	gặm			𤝞噤 chuột gặm · 噤𠰃 gặm nhấm
㖗	gầm	T		㖗𠯦 gầm thét
𡄎	gẫm	5	⇔ 𡄎 ngẫm	
肝	gan	4		𫰅肝𡘯𦟽 to gan lớn mật
檊	gán	T		檊𢯖 gán ghép · 檊罪 gán tội
𢭬	gạn			𢭬𡃕 gạn gùng [𠸨] · 𢭬漉 gạn lọc · 𢭬𠳨 gạn hỏi · 𢭬濁𢵱沖 gạn đục khơi trong
𮇜	gắn	4		𮇜抪 gắn bó · 焊𮇜 hàn gắn
近	gần	2		近𨗥 gần gũi [𠸨] · 近如 gần như · 近低 gần đây
鋼	gang			鍊鋼 luyện gang
𡬼	gang			𦼞𡬼 dưa gang
強	gàng	2		衮強 gọn gàng [𠸨]
𠡚	gắng	5		𠡚功 gắng công · 固𠡚 cố gắng
挭	gánh	5		桄挭 quang gánh
𪡱	gao	T		噶𪡱 gắt gao
哠	gào	T		哠𠯦 gào thét · 叫哠 kêu gào
檤	gạo			𣘃檤 cây gạo
𥽌	gạo	T		迆𥽌 giã gạo
﨤	gặp	3		﨤攑 gặp gỡ [𠸨] · 﨤𣋑 gặp dịp · 常﨤 thường gặp · 𥹰󠄁過空﨤 lâu quá không gặp
扱	gấp	T		扱曲 gấp khúc · 扱𱑕 gấp mười · 扱冊徠 gấp sách lại · 欣扱𠀧吝 hơn gấp ba lần
急	gấp	3		急急 gấp gáp · 急捽 gấp rút
𥄫	gấp			𥄫𥇚 gấp ghé
詰	gạt	T		𬐸詰 lừa gạt · 量詰 lường gạt
𢶆	gạt	T		𢶆𠬃 gạt bỏ · 𢶆𧴱 gạt nợ
噶	gắt	4		㤧噶 cáu gắt · 𤮾噶 ngọt gắt [𠸨]
秸	gặt	T		秸𢲨 gặt hái
𩠓	gật	5		𩠓𠵎 gật gù [𠸨] · 𥄬𩠓 ngủ gật
浗	gàu			浗𣙩 gàu sòng
脙	gàu			𬖾脙 phở gàu · 頭固𡗉脙 đầu có nhiều gàu
𦵷	gấu	T		𦹯𦵷 cỏ gấu · 榘𦵷 củ gấu
褠	gấu	T		褠襖 gấu áo · 褠裙 gấu quần
𤠰	gấu	T		𡥵𤠰 con gấu · 𤠰竹 gấu trúc
浗	gầu		⇔ 浗 gàu	
