# 常用标准汉喃字表（2022年版）
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# 共5524个标准汉喃字（其中3993常用字，适合中小学学习，分为6级，即1、2、3、4、5、T，分别有235、354、468、470、480、1986字，对应小学1-5年级和中学）
# http://www.hannom-rcv.org/Lookup-CHNC.html
# http://www.hannom-rcv.org/BCHNCTD.html
# 𡨸漢喃	音讀	級度	𥱬註	譬喻

陰	ÂM	5		陰曆 âm lịch · 陰謀 âm mưu · 陰電 âm điện · 陰性 âm tính · 陰忱 âm thầm · 陰𫵋 âm ỉ
飲	ẨM	T		飲食 ẩm thực · 飲茶 ẩm trà · 對飲 đối ẩm
𤀔	ẩm			𤀔㲸 ẩm ướt · 餲𤀔 ế ẩm · 𤀔濕 ẩm thấp · 𤷴𤀔 ê ẩm
𩐛	ấm	T		𩐛咖啡 ấm cà phê · 𩐛渃 ấm nước · 𩐛積 ấm tích
蔭	ẤM	T		蔭生 ấm sinh · 舅蔭 cậu ấm
𤋾	ấm	4		淹𤋾 êm ấm · 𤋾供 ấm cúng · 𤋾押 ấm áp · 𤋾頭 ấm đầu · 𤋾抑 ấm ức · 𤋾啞 ấm ớ
𩆢	ầm	T		𩆢𢮁 ầm ừ · 𩆢𥑴 ầm ĩ · 𩆢𩆢 ầm ầm
𠿮	ậm			𠿮噁 ậm ạc
安	AN	1		安全 an toàn · 安身 an thân · 安居樂業 an cư lạc nghiệp
按	ÁN	T		按禦 án ngữ
案	ÁN	2		提案 đề án · 預案 dự án · 破案 phá án
咹	ăn	1		咹𩚵 ăn cơm · 咹𢵉 ăn bám · 式咹 thức ăn
恩	ÂN	3		恩情 ân tình · 恩赦 ân xá · 恩怨 ân oán · 恩惠 ân huệ · 開恩 khai ân
殷	ÂN	T		殷勤 ân cần
隱（隐）	ẨN	2		隱居 ẩn cư · 隱喻 ẩn dụ · 隱身 ẩn thân · 歸隱 quy ẩn
印	ẤN	2		印章 ấn chương · 印信 ấn tín · 印印 in ấn · 印刷 ấn loát · 印象 ấn tượng · 印度 Ấn Độ
按	ấn	T		按劕 ấn chặt · 按鈕𥑂 ấn nút chai
坱	ang			丐坱 cái ang
盎	áng	T		盎詩 áng thơ · 盎桃臉 áng đào kiểm
𠹃	ắng			唵𠹃 im ắng
英	ANH	1		英雄 anh hùng · 㗂英 tiếng Anh
英	anh	1		英㛪 anh em · 英𤳆 anh trai
嚶	anh	T		嚶呃 anh ách [聲]
罌	ANH	T		罌粟 anh túc
櫻	ANH	T		櫻桃 anh đào
鶯（𦾉）	anh	T		鐄鶯 vàng anh
鸚	ANH	T		鸚鵡 anh vũ
影	ẢNH	2		形影 hình ảnh · 幀影 tranh ảnh
映	ÁNH	3		反映 phản ánh · 映射 ánh xạ · 映𤏬 ánh sáng · 映眜 ánh mắt
呦	ao	T		呦㣿 ao ước
坳	ao			坳潭 ao đầm
幻	ẢO	T		幻夢 ảo mộng · 幻影 ảo ảnh · 幻想 ảo tưởng · 幻術 ảo thuật · 幻覺 ảo giác · 𥊚幻 mờ ảo
懊	ẢO			懊惱 ảo não
奧	áo			共和奧 Cộng hoà Áo
襖	ÁO	3		襖𨱽 áo dài · 襖縺 áo len · 襖䘹 áo lót
泑	ào	T		泑泑 ào ào · 泑𣿌 ào ạt · 嗢泑 ồn ào
押	ÁP	3		押解 áp giải · 𤋾押 ấm áp [𠸨]
壓	ÁP	2		血壓 huyết áp · 壓倒 áp đảo · 壓制 áp chế · 電壓 điện áp · 壓用 áp dụng
浥	ắp	T		𣹓浥 đầy ắp
邑	ẤP	T		村邑 thôn ấp
𬪁	ấp	5		揞𬪁 ôm ấp · 㥋𬪁 e ấp
𨁲	ập			𨁲𦤾 ập đến
遏	át			𢭹遏 lấn át · 㲸遏 ướt át · 𡥵遏主 con át chủ [譯]
𣿌	ạt	T		泑𣿌 ào ạt · 溩𣿌 ồ ạt
漚	âu	T		漚船 âu thuyền · 漚艚 âu tàu
憂	âu	4		憂掩 âu yếm · 𢥈憂 lo âu · 憂愁 âu sầu
歐	ÂU	2		洲歐 Châu Âu
甌	ÂU	T		甌鐄 âu vàng · 甌𡊳 âu sành
謳	ÂU	T		謳歌 âu ca
謳	âu	T		謳拱 âu cũng · 謳！𥄬𠫾𡥵 Âu! Ngủ đi con [嘆]
鷗	ÂU	T		海鷗 hải âu
毆	ẨU			毆打 ẩu đả
𬏠	ẩu			𬏠𪭥 ẩu tả
幼	ẤU	T		苴幼 thơ ấu
波	BA	4		風波 phong ba · 奔波 bôn ba · 微波 vi ba · 波蘭 Ba Lan · 波花 ba hoa [譯]
爸	ba	5		爸媽 ba má
芭	BA	T		芭蕉 ba tiêu
耙	ba	T		釘耙 đinh ba
蚆	ba	T		𡥵蚆蚆 con ba ba
𠀧	ba	3		𠀧𱑕 ba mươi · 次𠀧 thứ ba · 𠀧沛 ba phải · 𠄼𠀧 dăm ba · 𠀧被 ba bị
伯	BÁ	5		伯父 bá phụ · 師伯 sư bá · 伯爵 bá tước · 河伯 hà bá
把	bá			把𦠘 bá vai
咟	bá			嗏咟 chà bá [嘆]
播	BÁ	3		傳播 truyền bá
霸	BÁ	T		稱雄稱霸 xưng hùng xưng bá · 霸主 bá chủ · 霸王 bá vương
婆	BÀ	1		婆外 bà ngoại · 翁婆 ông bà · 婆𫅷 bà già · 𠄩婆徵 Hai Bà Trưng · 襖婆𠀧 áo bà ba
琶	BÀ	T		琵琶 tì bà
粑	bã	5		𣷯粑 cặn bã · 粑𨢇 bã rượu
𢗌	bạ			𫌶𢗌 bậy bạ
簿	BẠ	5		名簿 danh bạ
伯	bác	5		注伯 chú bác · 伯胡 Bác Hồ · 伯𡛔 bác gái
