# 常用标准汉喃字表（2023年版）表1
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20150123.pdf
# 表1共3987字（分为6级，即1、2、3、4、5、T，分别有236、355、471、470、480、1975字）
#
# 𡨸漢喃	音讀	Level	譬喻	𥱬註
# Chữ Hán Nôm	Âm đọc	Level	Thí dụ	Ghi chú

𣻕	mà	T	𪉽𣻕 mặn mà	
𦓡	mà	1	扔𦓡 nhưng mà	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：麻
馬	MÃ	4	海馬 hải mã · 走馬 tẩu mã · 人馬 nhân mã · 馬來 mã lai	
瑪	MÃ	T	瑪瑙 mã não	
瑪	mẽ	T	誇瑪 khoe mẽ · 猛瑪 mạnh mẽ [𠸨] · 苿瑪 mùi mẽ [𠸨]	
碼	MÃ	5	碼數 mã số · 碼化 mã hoá · 密碼 mật mã	
𦄀	mã	T	炪𦄀 đốt mã · 𣘊𦄀 đồ mã · 𦄀焒 mã lửa · 卒𦄀 tốt mã · 伮時得丐𦄀𧽠 nó thì được cái mã thôi	
𢨃	mác	T	槊𢨃 giáo mác · 錆𢨃 thanh mác	
莫	MẠC	T	莫大 mạc đại · 𣱆莫 họ Mạc	
莫	mác	T	蔞莫 rau mác · 漫莫 man mác [𠸨]	
幕	MẠC	T	開幕 khai mạc · 閉幕 bế mạc · 幕府 mạc phủ	
漠	MẠC	T	沙漠 sa mạc · 荒漠 hoang mạc · 木漠 mộc mạc · 廊漠 làng mạc	
摹	mạc	T	摹𡨸 mạc chữ · 摹幀 mạc tranh	
縸	mắc	4	縸𦀻 mắc cửi · 曲縸 khúc mắc · 縸難 mắc nạn · 𦁽縸 vướng mắc · 縸搩 mắc kẹt · 縸𡎡 mắc (mắt) mỏ · 縸襖 mắc áo · 忑縸 thắc mắc [𠸨] · 𪀄縸蜜 chim mắc-mật [摱]	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：默、 𢹇、𫄓、縸、嗼
墨	MẶC	4	水墨 thuỷ mặc	
墨	mực	4	墨黰 mực đen · 𩵜墨 cá mực · 墨艚 mực tàu · 絏墨 dây mực · 準墨 chuẩn mực  · 𠬠墨 một mực	
默	MẶC	T	沉默 trầm mặc	
嚜	mặc	3	嚜偈 mặc kệ · 嚜價 mặc cả	
𬡶	mặc	5	𬡶襖 mặc áo · 咹𬡶 ăn mặc	
脈	MẠCH	5	短脈 đoản mạch · 動脈 động mạch · 血脈 huyết mạch · 脈𧖱 mạch máu · 房脈 phòng mạch	
麥	MẠCH	T	穭麥 lúa mạch · 燕麥 yến mạch · 蕎麥 kiều mạch · 黑麥 hắc mạch	
枚	MAI	T	銜枚 hàm mai · 銃火枚 súng hoả mai · 𠸍枚 mỉa mai [𠸨] · 𤗖枚 mảnh mai [𠸨]	
埋	MAI	T	埋伏 mai phục · 埋沒 mai một	
梅	MAI	T	花梅 hoa mai · 烏梅 ô mai	
𣈕	mai	3	𣈜𣈕 ngày mai · 𣋂𣈕 chiều mai · 霜𣈕 sương mai	
𨨦	mai	T	丐𨨦 cái mai · 𨨦𧒍 mai rùa · 𨨦船 mai thuyền · 𨨦墨 mai mực	
𬏽	mải	T	𬏽篾 mải miết · 𬏽迷 mải mê	
㜥	mái	T	𪟤㜥 sống mái · 𪃿㜥 gà mái	
𠃅	mái	T	𠃅茹 mái nhà · 𠃅𩯀 mái tóc · 𠃅棹 mái chèo	
𥕄	mài	T	蔑𥕄 miệt mài · 山𥕄 sơn mài · 𥒥𥕄 đá mài	
買	MÃI	T	勸買 khuyến mãi · 招兵買馬 chiêu binh mãi mã	
𫡠	mãi	5	𫡠𫡠 mãi mãi	
賣	MẠI	3	商賣 thương mại · 賣淫 mại dâm · 賣國 mại quốc	
𢆨	may	3	𢆨慜 may mắn [𠸨] · 𩙍囂𢆨 gió heo may	
𦁼	may	5	𦁼𦀪 may vá · 𦁼襖 may áo	
𢵯	máy	5	𢵯眜 máy mắt · 𢵯𢬣 máy tay · 𢵯𢪮 máy móc	
𣛠	máy	2	筆𣛠 bút máy · 車𣛠 xe máy · 𣛠𢪮 máy móc	
𣮮	mày	T	𣯡𣮮 lông mày · 𣮮𩯁 mày râu	
𡮠	mày	T	𡮠𠋺 mày tao	
𡮠	mầy	T		⇔ 𡮠 mày
𡮠	mi	T		⇔ 𡮠 mày
𥻡	mày	5	𥻡吳 mày ngô · 𥻡𤵖傷 mày vết thương	
𠇍	mấy	2	𠇍𣇫 mấy thuở · 固𠇍𠊛 có mấy người	
𩻐	mắm	T	渃𩻐 nước mắm	
𦹰	mầm	T	𦹰嫩 mầm non	
漫	MAN	4	漫莫 man mác [𠸨] · 漫漫 man man ·攔漫 lan man · 迷漫 mê man	
漫	MẠN	4	浪漫 lãng mạn	
瞞	MAN	T	開瞞 khai man · 瞞詐 man trá	
蠻（蛮）	MAN	T	野蠻 dã man · 蠻𤞪 man rợ · 蠻𤵺 man dại · 綿蠻 miên man	
幔	màn	3	𢲫幔 mở màn · 幔𣎀 màn đêm	
滿	MÃN	3	美滿 mĩ mãn · 充滿 sung mãn · 滿意 mãn ý · 滿願 mãn nguyện · 𥆾滿眼 nhìn mãn nhãn	
墁	mạn	T	墁逆 mạn ngược · 墁𣵶 mạn xuôi	
慢	MẠN	T	輕慢 khinh mạn · 慢法 mạn phép	
慜	mắn	T	慜𤯰 mắn đẻ · 𤯰𡥵 mắn con · 𢆨慜 may mắn [𠸨] · 𣭻慜 mau mắn [𠸨]	
玟	MÂN	T	玟瑰 mân côi	
忙	MANG	5	慌忙 hoang mang	
茫	MANG	T	溟茫 mênh mang · 𢖵茫茫 nhớ mang máng	
𦛿	mang	T	固𦛿 có mang · 𦛿胎 mang thai	
𧋽	mang	T	𧋽𦖻 mang tai · 𧋻䗂𧋽 rắn hổ mang	
𫼳	mang	4	𫼳𠫾 mang đi · 𫼳𠽢 mang vác	
芒	màng	T	𬁒芒 mùa màng · 𦝺芒 mỡ màng [𠸨] ·晚芒 muộn màng [𠸨]	
恾	màng	T	空恾名利 không màng danh lợi · 𢠩恾 mơ màng [𠸨]	
𩓜	màng	T	𩓜耳 màng nhĩ · 𩓜貞 màng trinh · 𩓜腛 màng óc · 𩓜蝒 màng nhện	
𦁸	mạng	T	𦁸蝒 mạng nhện · 絩𦁸 thêu mạng · 𦁸裙襖 mạng quần áo	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：命
氓	MANH	T	流氓 lưu manh	
盲	MANH	T	盲動 manh động	
萌	MANH	T	萌芽 manh nha · 萌心 manh tâm · 萌䋦 manh mối	
𥯋	manh	T	𥯋襖 manh áo · 懞𥯋 mong manh · 𥯋紙 manh giấy	
𤗖	mảnh	T	𤗖𦘺 mảnh dẻ · 𤗖𥒮 mảnh vỡ · 青𤗖 thanh mảnh · 𤗖枚 mảnh mai [𠸨]	
猛	MÃNH	2	猛烈 mãnh liệt · 勇猛 dũng mãnh	
猛	mạnh	2	猛瑪 mạnh mẽ [𠸨] · 飭猛 sức mạnh ·猛劸 mạnh khoẻ	
孟	MẠNH	5	孟子 Mạnh Tử	
孟	mồng	5	𣈜孟 ngày mồng · 孟𱑕 mồng mười · 孟 𠬠 mồng một	
孟	mùng	5		⇔ 孟 mồng
毛	MAO	5	𣯡毛 lông mao · 鴻毛 hồng mao	
毛	mau	5	歌毛 Cà Mau	𡨸尼得讀如格發音尼只𥪝名詞 𥢆尼。 Chữ này được đọc như cách phát âm này chỉ trong danh từ riêng này.
𠰭	máo	T	𠴕𠰭 mếu máo [𠸨]	
𠰭	méo	T	𢯒𠰭 bóp méo  · 𠰭𢺀 méo mó [𠸨]	
冒	MẠO	4	冒險 mạo hiểm · 冒名 mạo danh	
帽	MẠO	T	丐帽 cái mạo · 𢃱帽 mũ mạo	
貌	MẠO	T	容貌 dung mạo	
𦚖	mạp	T	𦚖𦚖 mập mạp [𠸨]	
𦚖	mập	T	𦚖𦚖 mập mạp [𠸨]	
眨	mập	T	眨𥊚 mập mờ	
𩶟	mập	T	𩵜𩶟 cá mập	
𠖾	mát	4	𩙍𠖾 gió mát · 𠖾渼 mát mẻ [𠸨]	
眜	mắt	2	𦖻眜 tai mắt · 渃眜 nước mắt	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𬑉
𩈘	mặt	1	𩈘𣮮 mặt mày · 皮𩈘 bề mặt · 𩈘𦝄 mặt trăng · 𩈘渃 mặt nước	
𠅒	mất	3	悁𠅒 quên mất · 𠅒跡 mất tích · 𠅒𠖾 mất mát [𠸨]	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：秩、 𠅎
密	MẬT	2	密度 mật độ · 秘密 bí mật · 親密 thân mật · 保密 bảo mật	
蜜	MẬT	T	蜜螉 mật ong · 蜜月 mật nguyệt · 𦝄蜜 trăng mật · 糖蜜 đường mật	
蜜	mứt	T	餅蜜 bánh mứt · 蜜𣘛 mứt dâu	
蜜	mất	T		⇔ 蜜 mứt
𦟽	mật	T	肝𦟽 gan mật · 襊𦟽 túi mật · 㑲荄𫫞𦟽 nằm gai nếm mật	
𣭻	mau	T	𣭻𫏢 mau chóng	
𧖱	máu	3	䅘𧖱 lai máu · 𧖱湈 máu mủ	
𦭷	màu	3	𦭷色 màu sắc · 形𦭷 hình màu	
𦭷	mầu	3	花𦭷 hoa mầu	
矛	MÂU	T	矛盾 mâu thuẫn	
眸	MÂU	T	眸子 mâu tử	
侔	mầu	4	侔冉 mầu nhiệm	
母	MẪU	5	父母 phụ mẫu · 母親 mẫu thân · 韻母 vận mẫu · 保母 bảo mẫu · 道母 Đạo Mẫu · 母后 mẫu hậu · 母系 mẫu hệ ·母國 mẫu quốc · 母數 mẫu số · 母字 mẫu tự · 岳母 nhạc mẫu · 乳母 nhũ mẫu · 師母 sư mẫu · 母教 mẫu giáo ·聖母 Thánh Mẫu	
㑄	mẫu	4	𦎛㑄 gương mẫu · 㑄𦄀 mẫu mã · 㑄墨 mẫu mực · 㑄物 mẫu vật · 𠊛㑄 người mẫu · 矯㑄 kiểu mẫu	
牡	MẪU	T	牡丹 mẫu đơn	
畝	MẪU	T	畝𬏇 mẫu ruộng · 畝英 mẫu Anh	
戊	MẬU	T	戊申 Mậu Thân	
貿	MẬU	T	貿易 mậu dịch	
渼	mẻ	5	𠬠渼㧾衮 một mẻ hốt gọn · 𠖾渼 mát mẻ [𠸨] · 㵋渼 mới mẻ [𠸨]	
𠝫	mẻ	T	𠿰𠝫 sứt mẻ · 鉢𠝫 bát mẻ	
媄	mẹ	2	媄𡥵 mẹ con · 仛媄 cha mẹ · 㗂媄𤯰 tiếng mẹ đẻ	
迷	MÊ	3	昏迷 hôn mê · 迷信 mê tín · 迷宮 mê cung · 迷惑 mê hoặc · 耽迷 đam mê ·迷𢠨 mê mẩn · 𨠳迷 gây mê	
迷	ma	3	班迷屬 Buôn Ma Thuột	
𣠳	mềm	3	份𣠳 phần mềm	
𢗔	mến	3	㤇𢗔 yêu mến	
溟	mênh	T	溟濛 mênh mông	
命	MỆNH	2	使命 sứ mệnh · 命令 mệnh lệnh · 命名 mệnh danh · 數命 số mệnh	
命	MẠNG	2	命𠊛 mạng người · 革命 cách mạng ·生命 sinh mạng · 折命 thiệt mạng · 憭命 liều mạng	⇔ 命 mệnh
命	MẠNH	2		⇔ 命 mệnh
貓	mèo	T	𡥵貓 con mèo · 貓𫅷化𤞺 mèo già hoá cáo	
𠵐	mép	T	𣱾𠵐 lẻo mép	
衊	mét	5	𦛍衊 tái mét	
𤻻	mệt	4	𤻻痗 mệt mỏi	
眉	MI	5	𣯡眉 lông mi	
美	MĨ	4	完美 hoàn mĩ · 華美 hoa mĩ · 絕美 tuyệt mĩ · 美滿 mĩ mãn	
美	mỉ	4	細美 tỉ mỉ	
媚	MỊ	T	媚民 mị dân · 媚娘 mị nương	
媚	mì	T	柔媚 nhu mì	
媚	mị	T	𬌓𡲫媚𩈘 tấm vải mị mặt	
寐	MỊ	T	夢寐 mộng mị	
眠	MIÊN	T	催眠 thôi miên	
綿	MIÊN	T	纏綿 triền miên · 連綿 liên miên · 綿蠻 miên man	
綿	mền	T	丐綿 cái mền · 𧜖綿 chăn mền · 綿葻 mền bông	
緬	MIẾN	5	緬甸 Miến Điện	
麪	MIẾN	T	穭麪 lúa miến	
麪	mì	T	餅麪 bánh mì [摱] · 麪咹連 mì ăn liền [摱]	
沔	miền	3	漨沔 vùng miền · 𠸜沔 tên miền	
免	MIỄN	3	免費 miễn phí · 免稅 miễn thuế · 免罪 miễn tội · 免除 miễn trừ	
免	miễn	3	免得銅錢卒 miễn được đồng tiền tốt	
勉	MIỄN	T	勉強 miễn cưỡng	
𠰘	miệng	3	𠵘𠰘 mồm miệng · 搐𠰘 súc miệng	
蔑	MIỆT	T	蔑視 miệt thị · 輕蔑 khinh miệt	
蔑	miệt	T	蔑𥕄 miệt mài	
蔑	một	T	守油蔑 Thủ Dầu Một	
描	MIÊU	T	描寫 miêu tả	
𠲶	mỉm	T	𠲶䶞 mỉm cười	
明	MINH	2	聰明 thông minh · 聲明 thanh minh ·明敏 minh mẫn	
冥	MINH	T	幽冥 u minh	
盟	MINH	T	盟誓 minh thệ	
𨉟	mình	1	自𨉟 tự mình · 身𨉟 thân mình	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𠇮
𩆪	mịt	T	霧𩆪 mù mịt	
𡎡	mỏ	T	𠏲𡎡 thợ mỏ	
𢺀	mó	T	𠰭𢺀 méo mó [𠸨]	
摸	mò	T	𨁮摸 lần mò	
無	MÔ	2	南無阿彌陀佛 Nam Mô A Di Đà Phật	
無	VÔ	2	無理 vô lí · 無線 vô tuyến · 無定 vô định · 無事 vô sự · 無望 vô vọng · 無益 vô ích · 無敵 vô địch	
塻	mô	T	𠸾塻 mấp mô · 塻𡐙 mô đất	
模	MÔ	3	規模 quy mô · 模倣 mô phỏng · 模式 mô thức · 模寫 mô tả · 模範 mô phạm · 模𠐉 mô-típ [摱]	
謨	MÔ	T	謀謨 mưu mô	
𠝺	mổ	T	喀𠝺 ca mổ	
𣳡	mồ	5	𣳡洃 mồ hôi · 𣳡𠎺 mồ côi	
募	MỘ	T	招募 chiêu mộ	
墓	MỘ	T	陵墓 lăng mộ · 墓烈士 mộ liệt sĩ	
墓	mồ	T	𡎜墓 nấm mồ	
慕	MỘ	5	歆慕 hâm mộ	
𢠩	mơ	2	𥋏𢠩 giấc mơ · 𢠩恾 mơ màng · 𤏬星𢠩 sáng tinh mơ	
𣙪	mơ	T	𣙪西 mơ tây · 𬃻𣙪 trái mơ	
𢲫	mở	2	𢲫𨷯 mở cửa · 𢲫頭 mở đầu · 𢲫𠚢 mở ra · 𢲫會 mở hội	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𨷑、 𩦓、𬮎、𨸈
𥊚	mờ	4	𦝄𥊚 trăng mờ · 𥊚暗 mờ ám	
𦝺	mỡ	T	𬚸𦝺 thịt mỡ · 𦝺芒 mỡ màng [𠸨]	
雬	móc	T	𩄎雬 mưa móc · 籺雬 hạt móc	
𢪮	móc	T	𢪮勾 móc câu · 𢪮𠓨 móc vào · 挴𢪮 moi móc	
𠚐	mọc	T	𠚐𬨠 mọc lên · 𦝄𠚐 trăng mọc · 𫬱𠚐 mời mọc	
木	MỘC	T	木耳 mộc nhĩ · 木板 mộc bản · 木樨 mộc tê · 枯木 khô mộc · 𩈘木 mặt mộc · 木漠 mộc mạc	
痗	mỏi	5	𤻻痗 mệt mỏi · 痗𤷱 mỏi mòn	
𪬶	mỏi	T	懞𪬶 mong mỏi [𠸨]	
𤗆	mọi	2	𤗆𠊛 mọi người · 𤗆物 mọi vật	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：每
媒	MÔI	3	媒場 môi trường · 媒介 môi giới · 婆媒 bà môi	
媒	mai	3	婆媒 bà mai · 媒䋦mai mối	
腜	môi	T	對腜 đôi môi · 𢱖腜 múa môi · 腜汻𪘵冷 môi hở răng lạnh	
腜	mui	T		⇔ 腜 môi
䋦	mối	5	䋦絏 mối dây · 䋦情 mối tình · 䋦黹 mối chỉ · 䋦行 mối hàng · 䋦萌 mối manh · 𫜵䋦 làm mối · 媒䋦 mai mối ·婆䋦 bà mối	
蛽	mối	T	𡥵蛽 con mối · 坥蛽 tổ mối	
瑁	mồi	T	玳瑁 đồi mồi	
𩝇	mồi	T	𩝇䊷 mồi chài	
每	MỖI	2	每𠬠 mỗi một · 每欺 mỗi khi	
㵋	mới	1	𢆥㵋 năm mới · 㵋渼 mới mẻ [𠸨]	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：買
𫬱（𰇥）	mời	3	𫬱客 mời khách · 𫬱𫇿 mời thuốc · 𫬱 𠚐 mời mọc [𠸨]	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𠶆、 𨑮、𠸼、𨒒
𠵘	mồm	T	𠵘𠰘 mồm miệng · 𧕚儮𠵘 trai lệch mồm	
𦁺	món	T	𦁺咹 món ăn · 𦁺𣘊 món đồ	
𤷱	mòn	5	𤷱𠾲 mòn vẹt · 痗𤷱 mỏi mòn	
𨳒	mọn	T	𡤠𨳒 lẽ mọn	
門	MÔN	2	部門 bộ môn · 專門 chuyên môn · 門徒 môn đồ	
懞	mong	3	懞㦖 mong muốn · 懞𪬶 mong mỏi [𠸨]	
𤘁	mỏng	5	𤘁䊅 mỏng dính	
𤔻	móng	5	𤔻𤢇 móng vuốt	
蒙	MÔNG	5	蒙古 mông cổ	
濛	mông	5	溟濛 mênh mông	
朦	MÔNG	T	朦朧 mông lung	
𥣛	mống	T	𦹰𥣛 mầm mống · 𥣛𡭕 mống cụt	
夢	MỘNG	5	夢想 mộng tưởng · 夢遊 mộng du · 幻夢 ảo mộng · 惡夢 ác mộng · 𥒮夢 vỡ mộng	
夢	mòng	5	𡎺夢 chốc mòng	
𬄺	mộng	T	𢯖𬄺 ghép mộng · 𥟉㐌𠚐𬄺 thóc đã mọc mộng · 眜𤴬固𬄺 mắt đau có mộng	
沒	MỘT	T	埋沒 mai một	
𠬠	một	1	𠬠丐 một cái · 𠬠隻 một chiếc · 𠬠𠃣 một ít	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：沒
𠬠	mốt	1		⇔ 𠬠 một
霧	mù	4	霜霧 sương mù · 𡃽霧 đui mù · 霧𡨸 mù chữ · 霧𤍶 mù loà · 霧𥆄 mù quáng	
𢃱	mũ	5	戴𢃱 đội mũ	
姥	mụ	T	婆姥 bà mụ	
𧷸	mua	3	𧷸𬥓 mua bán · 𧷸行 mua hàng	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：摸、謨、模、𢱖
𢱖	múa	T	挎𢬣𢱖蹎 khoa tay múa chân	
𬁒	mùa	2	𬁒秋 mùa thu · 𬁒芒 mùa màng	
𩄎	mưa	4	𩄎𩙍 mưa gió · 湥𩄎 giọt mưa · 𩄎淫 mưa dầm · 𩄲𩄎 mây mưa	
目	MỤC	2	題目 đề mục · 目標 mục tiêu · 目擊 mục kích · 目所視 mục sở thị	
牧	MỤC	2	牧畜 mục súc · 牧童 mục đồng · 遊牧 du mục · 靈牧 linh mục	
𭬙	mục	T	𭬙捏 mục nát	
𣞪	mức	3	𣞪度 mức độ · 𣞪𤯩 mức sống · 𣘃𣞪 cây mức	
未	MÙI	4	𣇞未 giờ Mùi · 乙未 Ất Mùi	
未	VỊ	4	未成年 vị thành niên	
苿	mùi	3	苿味 mùi vị · 苿洃 mùi hôi · 苿𦹳 mùi thơm · 蔞苿 rau mùi	
𪖫	mũi	4	𪖫刀 mũi dao · 尖𪖫 tiêm mũi · 𪖫船 mũi thuyền · 𪖫好望 mũi Hảo Vọng	
𢜠	mừng	3	𢝙𢜠 vui mừng · 祝𢜠 chúc mừng · 𢜠歲 mừng tuổi	
𪉥	muối	T	𩚵𪉥 cơm muối	
𧋟	muỗi	T	𡥵𧋟 con muỗi	
昧	MUỘI	T	迷昧 mê muội · 暗昧 ám muội · 愚昧 ngu muội	
𱑕（𨒒）	mươi	2	𠄩𱑕四 hai mươi tư	
𱑕（𨒒）	mười	2	數𱑕 số mười · 𱑕𠄩 mười hai · 𱑕份 mười phần	
𨷈（𰿘）	muôn	4	𨷈萬 muôn vàn · 𨷈𢆥 muôn năm · 𨷈 𠁀 muôn đời	
㦖	muốn	3	懞㦖 mong muốn · 𫻎㦖 ham muốn	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：悶
悶	MUỘN	T	愁悶 sầu muộn · 煩悶 phiền muộn	
僈	mướn	T	朱僈 cho mướn · 𠾔僈 thuê mướn · 𫜵僈 làm mướn	
摱	mượn	T	䞈摱 vay mượn · 摱錢 mượn tiền	
𡃙	mút	5	𡃙𥼱 mút kẹo · 𡃙𬁒 mút mùa	
謀	MƯU	3	謀智 mưu trí · 陰謀 âm mưu · 謀略 mưu lược · 謀殺 mưu sát	
那	na	T	喃那 nôm na · 那蹺𡗋次零星 na theo lắm thứ linh tinh	
那	nớ	T	役那 việc nớ · 𨑗那 trên nớ	
南	NAM	1	方南 phương nam · 東南 đông nam	
挪	NA	T	挪威 Na Uy	
𠌧	nạ	T	𩈘𠌧 mặt nạ	
狔	nai	T	㹯狔 hươu nai	
奈	NẠI	T	橋奈何 cầu Nại Hà	
奈	nài	T	押奈 ép nài · 奈馭 nài ngựa · 奈呢 nài nỉ · 叫奈 kêu nài	
耐	NẠI	T	忍耐 nhẫn nại	
𫢩	nay	2	現𫢩 hiện nay · 𣋚𫢩 hôm nay	
䄧	nảy	5	䄧生 nảy sinh · 䟢䄧 giãy nảy	
䄧	nẩy	5		⇔ 䄧 nảy
乃	nấy	T	埃乃 ai nấy	
男	NAM	4	男女 nam nữ · 男生 nam sinh	
𢆥	năm	1	𢆥㵋 năm mới · 𢆥𣎃 năm tháng	
捻	nắm	3	捻𡨺 nắm giữ · 捻𢬣 nắm tay · 捻𢡠 nắm chắc · 捻炭 nắm than	
捻	nạm	3	捻𥽌 nạm gạo	⇔ 捻 nắm
㑲	nằm	3	㑲𥄬 nằm ngủ · 咹㑲 ăn nằm	
菍	nấm	T	菍香 nấm hương · 菍稴 nấm rơm	
𡎜	nấm	T	𡎜墓 nấm mồ	
難	NAN	2	艱難 gian nan · 危難 nguy nan	
難	NẠN	2	避難 tị nạn · 困難 khốn nạn · 災難 tai nạn · 難人 nạn nhân	
難	nàn	2	𡃎難 phàn nàn · 𠨪難 nghèo nàn	
𢥪	nản	T	𢥇𢥪 chán nản	
𢥪	năn	T	咹𡅧 ăn năn · 𡅧𪡇 năn nỉ	
𡅧	nằn	T	𡅧𪡇 nằn nì	⇔ 𡅧 năn
𠼶	nắn	T	捥𠼶 uốn nắn	
攤	nặn	T	攤像 nặn tượng	
囊	NANG	T	錦囊 cẩm nang	
能	NĂNG	1	能動 năng động · 能竅 năng khiếu · 可能 khả năng	
𠹌	năng	T	𠡏𠹌 siêng năng · 𠹌抇𬘋𣖾 năng nhặt chặt bị	
𮐝	năng	T	𦹯𮐝 cỏ năng · 榘𮐝 củ năng	
𮐝	năn	T		⇔ 𮐝 năng
𣌝	nắng	5	浸𣌝 tắm nắng	
㶞	nẵng	T	沱㶞 Đà Nẵng	
𥘀	nặng	4	𥘀𤹘 nặng nhọc · 𥘀𢚸 nặng lòng · 𨁪 𥘀 dấu nặng	
㨢	nâng	3	㨢𬨠 nâng lên · 𢬣㨢卬𣮮 tay nâng ngang mày	
𤘓	nanh	T	𤘓𤢇 nanh vuốt · 𤘓䱸 nanh sấu · 𤘓蝳 nanh nọc	
芇	nào	1	勢芇 thế nào · 𣈜芇 ngày nào · 𠫾芇 đi nào	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：鬧
芇	nao	1	坭芇 nơi nao	⇔ 芇 nào
惱	NÃO	4	苦惱 khổ não · 惱𢚸 não lòng · 惱憹 não nùng · 懊惱 ảo não	
瑙	NÃO	T	瑪瑙 mã não	
腦	NÃO	5	動腦 động não · 大腦 đại não · 洗腦 tẩy não · 龍腦 long não	
納	NẠP	T	容納 dung nạp · 接納 tiếp nạp · 歸納 quy nạp · 收納 thu nạp	
納	nộp	T	納𠓨 nộp vào · 交納 giao nộp · 納𨉟 nộp mình	
蒳	nắp	T	蒳𡑵 nắp vung · 拫蒳 ngăn nắp	
捏	nát	5	𭬙捏 mục nát · 捏散 nát tan · 捏𥇂 nát bét · 詘捏 dốt nát	
㖏	nạt	T	㖏怒 nạt nộ [𠸨] · 扒㖏 bắt nạt	
蓐	náu	T	隱蓐 ẩn náu	
𣘽	nâu	T	榘𣘽 củ nâu · 𦭷𣘽 màu nâu	
𤍇	nấu	5	𤍇𤇪 nấu chín	
儞	né	T	儞𨉟 né mình · 儞𠬉 né tránh	
呢	nè	T	吶𦖑呢 nói nghe nè	
𩚯	nê	T	𩛂𩚯 no nê · 錢𡀳𩚯、空懝 Tiền còn nê, không ngại · 𥙩𩚯 lấy nê	
𢘝	nể	T	𠼤𢘝 kiêng nể · 敬𢘝 kính nể	
怩	nề	T	怩苛 nề hà · 空怩艱勞 không nề gian lao	
胒	nề	T	浮胒 phù nề · 𩈘胒 mặt nề	
𪿗	nề	5	𠏲𪿗 thợ nề · 𪿗墻 nề tường · 𥘀𪿗 nặng nề [𠸨]	
揇	ném	T	揇𠰏 ném bom	
𢧚	nên	1	𫜵𢧚 làm nên · 朱𢧚 cho nên · 咹𢧚𫜵 𠚢 ăn nên làm ra	
𡋂	nền	2	𡋂茹 nền nhà · 𡋂𡐙 nền đất · 樂𡋂 nhạc nền	
䌰	nếp	T	𡋂䌰 nền nếp · 䌰𤯩 nếp sống · 䌰茹 nếp nhà  · 䌰襖 nếp áo	
𬗂	nếp	T	咹𬗂 ăn nếp · 𥽌𬗂 gạo nếp · 𬗂丐 nếp cái · 𨢇𬗂 rượu nếp · 𬗂粃 nếp tẻ · 穭 𬗂 lúa nếp	
𪲍	nêu	T	𣘃𪲍 cây nêu  · 𪲍高 nêu cao	
裊	nếu	1	裊𦓡 nếu mà · 裊時 nếu thì	
尼	NI	1	僧尼 tăng ni · 尼姑 ni cô	
尼	này	1	旬尼 tuần này · 尼低 này đây	
尼	nầy	1		⇔ 尼 này
尼	ni	1		⇔ 尼 này
尼	nì	1		⇔ 尼 này
粘	NIÊM	T	粘揭 niêm yết · 粘封 niêm phong	
念	NIỆM	2	紀念 kỉ niệm · 心念 tâm niệm · 念佛 niệm phật · 念經 niệm kinh · 概念 khái niệm	
念	niềm	2	念恓 niềm tây · 念𢝙 niềm vui · 念𦬑 niềm nở	
年	NIÊN	2	青年 thanh niên · 少年 thiếu niên · 年代 niên đại · 百年偕老 bách niên giai lão	
涅	NIẾT	T	涅槃 niết bàn	
涅	nét	T	涅筆 nét bút · 塘涅 đường nét · 涅𩈘 nét mặt · 察涅 xét nét	
涅	nớt	T	嫩涅 non nớt [𠸨]	
寧	NINH	2	安寧 an ninh	
嚀	NINH	T	叮嚀 đinh ninh	
濘	ninh	T	濘𩩫 ninh xương · 濘𬚸 ninh thịt	
佞	NỊNH	T	奸佞 gian nịnh	
𡥴	nít	T	𡥵𡥴 con nít	
𫼛	niu	T	㨢𫼛 nâng niu	
𩛂	no	4	𩛂𨁥 no đủ · 𤋾𩛂 ấm no · 𩛂𩚯 no nê · 𩛂𩛂 no no	
伮	nó	5	衆伮 chúng nó	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：奴
呶	nọ	T	𣇞呶 giờ nọ	
