# 常用标准汉喃字表（2023年版）表1
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20150123.pdf
# 表1共3987字（分为6级，即1、2、3、4、5、T，分别有236、355、471、470、480、1975字）
#
# 𡨸漢喃	音讀	Level	譬喻	𥱬註
# Chữ Hán Nôm	Âm đọc	Level	Thí dụ	Ghi chú

謳	âu	T	謳拱 âu cũng · 謳！𥄬𠫾𡥵 Âu! Ngủ đi con [嘆]	
鷗	ÂU	T	海鷗 hải âu	
幼	ẤU	T	苴幼 thơ ấu	
波	BA	4	風波 phong ba · 奔波 bôn ba · 微波 vi ba · 波蘭 Ba Lan · 波花 ba hoa [摱]	
爸	ba	5	爸媽 ba má	
芭	BA	T	芭蕉 ba tiêu	
耙	ba	T	釘耙 đinh ba	
蚆	ba	T	𡥵蚆蚆 con ba ba	
𠀧	ba	3	𠀧𱑕 ba mươi · 次𠀧 thứ ba · 𠀧沛 ba phải · 𠄼𠀧 dăm ba · 𠀧被 ba bị	
伯	BÁ	5	伯父 bá phụ · 師伯 sư bá · 伯爵 bá tước · 河伯 hà bá	
伯	bác	5	注伯 chú bác · 伯胡 Bác Hồ · 伯𡛔 bác gái	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：博
播	BÁ	3	傳播 truyền bá	
霸	BÁ	T	稱雄稱霸 xưng hùng xưng bá · 霸主 bá chủ · 霸王 bá vương	
婆	BÀ	1	婆外 bà ngoại · 翁婆 ông bà · 婆𫅷 bà già · 𠄩婆徵 Hai Bà Trưng · 襖婆𠀧 áo bà ba	
琶	BÀ	T	琵琶 tì bà	
粑	bã	5	𣷯粑 cặn bã · 粑𨢇 bã rượu	
簿	BẠ	5	名簿 danh bạ	
簿	BỘ	5	登簿 đăng bộ · 鄉簿 hương bộ	
博	BÁC	5	博士 bác sĩ · 博學 bác học · 博愛 bác ái	
博	bạc	5	打博 đánh bạc · 𡥵博 con bạc · 牌博 bài bạc · 𠴞博 bàn bạc	
駁	BÁC	5	反駁 phản bác · 駁案 bác án · 駁𠬃 bác bỏ	
礮	bác	T	大礮 đại bác	
鉑	bạc	5	錢鉑 tiền bạc · 鐄鉑 vàng bạc · 頭鉑 đầu bạc	
薄	BẠC	T	負薄 phụ bạc · 背薄 bội bạc · 薄𤾷 bạc phếch · 薄殍 bạc bẽo[𠸨]	
礴	BẠC	T	磅礴 bàng bạc	
北	BẮC	2	方北 phương bắc · 東北 đông bắc · 北愛縺 Bắc Ai-len	
北	bấc	2	𩙍北 gió bấc	
𢫣	bắc	T	𢫣橋 bắc cầu	
堛	bậc	4	級堛 cấp bậc · 越堛 vượt bậc · 𠬠堛聖人 một bậc thánh nhân	
堛	bực	4		⇔ 堛 bậc
百	BÁCH	5	百合 bách hợp · 百科 bách khoa · 百貨 bách hoá · 百姓 bách tính	
柏	BÁCH	T	松柏 tùng bách · 柏傘 bách tán	
迫	BÁCH	4	急迫 cấp bách · 逼迫 bức bách · 窘迫 quẫn bách · 滌迫 sạch bách [𠸨]	
白	BẠCH	4	白金 bạch kim · 明白 minh bạch · 辯白 biện bạch · 剒白 tách bạch	
㕷	bạch	T	𤃝㕷 lạch bạch [聲] · 㕷㕷 bạch bạch [聲] · 𢯞比㕷 vỗ bì bạch [聲]	
拜	BÁI	T	崇拜 sùng bái · 拜別 bái biệt	
拜	vái	T	懇拜 khấn vái · 拜𥚄 vái lạy	
排	BÀI	2	安排 an bài · 排除 bài trừ · 排兵布陣 bài binh bố trận	
排	bài	2	排習 bài tập · 排詩 bài thơ	
排	bày	2	呈排 trình bày · 解排 giãi bày · 徵排 trưng bày	
排	bầy	2		⇔ 排 bày
牌	BÀI	T	金牌 kim bài · 牌位 bài vị · 牌博 bài bạc	
罷（罢）	BÃI	5	罷工 bãi công · 罷兵 bãi binh	
𡓁（𪤄）	bãi	4	𡓁𡋥 bãi cát · 𡓁㴜 bãi biển	
敗	BẠI	3	打敗 đánh bại · 敗露 bại lộ · 𥟹敗 lụi bại · 勝敗 thắng bại · 敗將 bại tướng ·腐敗 hủ bại	
𠎩	bay	T	衆𠎩 chúng bay	
𠎩	bây	T		⇔ 𠎩 bay
𢒎	bay	2	𣛠𢒎 máy bay · 𢒎𧊉 bay bướm · 𢒎𫅤 bay lượn	𡨸異體常﨤𥪝歷史 Chữ dị thể thường gặp trong lịch sử：𠖤、 𩙻
𠤩（𬙞）	bảy	4	𠤩𱑕 bảy mươi · 次𠤩 thứ bảy	
𠤩（𬙞）	bẩy	4		⇔ 𠤩 bảy
𣊾	bây	5	𣊾𣇞 bây giờ	
𠻻	bấy	3	𠻻𣇞 bấy giờ · 𠻻𥹰󠄁 bấy lâu	
𠍣	bầy	T	𠍣碎 bầy tôi	
擺（摆）	bẫy	T	蹉𠓨擺 sa vào bẫy	
𢵉	bám	5	咹𢵉 ăn bám	
稟	BẨM	5	稟報 bẩm báo · 賦稟 phú bẩm · 𡀫稟 lẩm bẩm [𠸨]	
班	BAN	2	班𣎀 ban đêm · 班曥 ban trưa · 班頭 ban đầu · 班編輯 ban biên tập	
班	buôn	2	班迷屬 Buôn Ma Thuột	
頒	BAN	4	頒朱 ban cho · 頒發 ban phát · 𠸒頒 bảo ban [𠸨]	
𦶾	BAN	T	花𦶾 hoa ban · 𦶾西北 Ban Tây Bắc	
本	BẢN	1	基本 cơ bản · 日本 Nhật Bản	
本	BỔN	1	本分 bổn phận · 本王 bổn vương · 本報 bổn báo	
坂	bản	T	坂廊 bản làng · 坂社 bản xã	
板	BẢN	T	木板 mộc bản · 板𦃾 bản lề	
板	phản	T	板楛 phản gỗ	
板	ván	T	𬌓板 tấm ván	
