# 康熙部首
# 康熙部首共214个，附形部首共23个，合计共237个
#
# Unicode 区域 Kangxi Radicals (`2F00–2FDF`，空间总数 224，实际字符数 214)
# 康熙部首在 Unicode 有专门区域编码，字型和中日韩统一表意文字区域编码不同而字型相同（下面字符来自`2F00–2FDF`）。
# 对照参见： <https://www.unicode.org/Public/UCD/latest/ucd/CJKRadicals.txt>
#
#部首	笔畫数	备注	unicode	char	code

臣	6畫		U+81E3	⾂	U+2F82
自	6畫		U+81EA	⾃	U+2F83
至	6畫		U+81F3	⾄	U+2F84
臼	6畫		U+81FC	⾅	U+2F85
舌	6畫		U+820C	⾆	U+2F86
舛	6畫		U+821B	⾇	U+2F87
舟	6畫		U+821F	⾈	U+2F88
艮	6畫		U+826E	⾉	U+2F89
色	6畫		U+8272	⾊	U+2F8A
艸	6畫		U+8278	⾋	U+2F8B
虍	6畫		U+864D	⾌	U+2F8C
虫	6畫		U+866B	⾍	U+2F8D
血	6畫		U+8840	⾎	U+2F8E
行	6畫		U+884C	⾏	U+2F8F
衣	6畫		U+8863	⾐	U+2F90
襾	6畫		U+897E	⾑	U+2F91
見	7畫		U+898B	⾒	U+2F92
角	7畫		U+89D2	⾓	U+2F93
言	7畫		U+8A00	⾔	U+2F94
谷	7畫		U+8C37	⾕	U+2F95
豆	7畫		U+8C46	⾖	U+2F96
豕	7畫		U+8C55	⾗	U+2F97
豸	7畫		U+8C78	⾘	U+2F98
貝	7畫		U+8C9D	⾙	U+2F99
赤	7畫		U+8D64	⾚	U+2F9A
走	7畫		U+8D70	⾛	U+2F9B
足	7畫		U+8DB3	⾜	U+2F9C
身	7畫		U+8EAB	⾝	U+2F9D
車	7畫		U+8ECA	⾞	U+2F9E
辛	7畫		U+8F9B	⾟	U+2F9F
辰	7畫		U+8FB0	⾠	U+2FA0
辵	7畫		U+8FB5	⾡	U+2FA1
邑	7畫		U+9091	⾢	U+2FA2
酉	7畫		U+9149	⾣	U+2FA3
釆	7畫		U+91C6	⾤	U+2FA4
里	7畫		U+91CC	⾥	U+2FA5
金	8畫		U+91D1	⾦	U+2FA6
長	8畫		U+9577	⾧	U+2FA7
門	8畫		U+9580	⾨	U+2FA8
阜	8畫		U+961C	⾩	U+2FA9
隶	8畫		U+96B6	⾪	U+2FAA
隹	8畫		U+96B9	⾫	U+2FAB
雨	8畫		U+96E8	⾬	U+2FAC
青	8畫		U+9752	⾭	U+2FAD
非	8畫		U+975E	⾮	U+2FAE
面	9畫		U+9762	⾯	U+2FAF
革	9畫		U+9769	⾰	U+2FB0
韋	9畫		U+97CB	⾱	U+2FB1
韭	9畫		U+97ED	⾲	U+2FB2
音	9畫		U+97F3	⾳	U+2FB3
頁	9畫		U+9801	⾴	U+2FB4
風	9畫		U+98A8	⾵	U+2FB5
飛	9畫		U+98DB	⾶	U+2FB6
食	9畫		U+98DF	⾷	U+2FB7
首	9畫		U+9996	⾸	U+2FB8
香	9畫		U+9999	⾹	U+2FB9
馬	10畫		U+99AC	⾺	U+2FBA
骨	10畫		U+9AA8	⾻	U+2FBB
高	10畫		U+9AD8	⾼	U+2FBC
髟	10畫		U+9ADF	⾽	U+2FBD
鬥	10畫		U+9B25	⾾	U+2FBE
鬯	10畫		U+9B2F	⾿	U+2FBF
鬲	10畫		U+9B32	⿀	U+2FC0
鬼	10畫		U+9B3C	⿁	U+2FC1
魚	11畫		U+9B5A	⿂	U+2FC2
鳥	11畫		U+9CE5	⿃	U+2FC3
鹵	11畫		U+9E75	⿄	U+2FC4
鹿	11畫		U+9E7F	⿅	U+2FC5
麥	11畫		U+9EA5	⿆	U+2FC6
麻	11畫		U+9EBB	⿇	U+2FC7
黃	12畫		U+9EC3	⿈	U+2FC8
黍	12畫		U+9ECD	⿉	U+2FC9
黑	12畫		U+9ED1	⿊	U+2FCA
黹	12畫		U+9EF9	⿋	U+2FCB
黽	13畫		U+9EFD	⿌	U+2FCC
鼎	13畫		U+9F0E	⿍	U+2FCD
鼓	13畫		U+9F13	⿎	U+2FCE
鼠	13畫		U+9F20	⿏	U+2FCF
鼻	14畫		U+9F3B	⿐	U+2FD0
齊	14畫		U+9F4A	⿑	U+2FD1
齒	15畫		U+9F52	⿒	U+2FD2
龍	16畫		U+9F8D	⿓	U+2FD3
龜	16畫		U+9F9C	⿔	U+2FD4
龠	17畫		U+9FA0	⿕	U+2FD5
乀乁	1畫	附形
乚乛	1畫	附形
阝(在右)〔邑〕	2畫	附形
阝(在左)〔阜〕	2畫	附形
忄〔心〕	3畫	附形
扌〔手〕	3畫	附形
攵〔攴〕	3畫	附形
氵〔水〕	3畫	附形
犭〔犬〕	3畫	附形
尣〔尢〕	4畫	附形
𤣩〔玉〕	4畫	附形
罓〔网〕	4畫	附形
辶〔辵〕	4畫	附形
旡〔无〕	5畫	附形
罒〔网〕	5畫	附形
⺮〔竹〕	6畫	附形
长〔長〕	6畫	附形
齐〔齊〕	6畫	附形
麦〔麥〕	7畫	附形
龟〔龜〕	7畫	附形
黾〔黽〕	8畫	附形
鼡〔鼠〕	8畫	附形
齿〔齒〕	8畫	附形
