# 常用标准汉喃字表（2023年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20150123.pdf
# 表2共2934字（表1分6级共3987字，两表合计6921字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

𤚆	bê	𡥵𤚆 con bê	
𣷭	bể	底𣷭 đáy bể	
𥓳	bể	丐鉢被𥓳耒 cái bát bị bể rồi	
桮	bễ	𠺙桮 thổi bễ · 䈵桮 ống bễ · 浖桮 thụt bễ	
薜	BỆ	薜荔 bệ lệ	
咟	béc	咟噴 béc phun · 咟支 béc-giê [摱]	
胉	bệch	𤽸胉 trắng bệch	
𠷨	bẻm	𠷨𠵐 bẻm mép	
䡢	ben	車䡢 xe ben · 車載䡢 xe tải ben	
𤶒󠄁（𤶒）	ben	𫉱𤶒󠄁 lang ben	
抃	bện	抃𥿣 bện chão	
鋲	beng	杈鋲 xà beng	
泙	bềnh	泠泙 lềnh bềnh	
𧴋	beo	𤜯𧴋 cọp beo · 𦝂𧴋 đít beo · 𧴋𦖻 beo tai	
脿	béo	脿𦡡 béo ngậy	
䕯	bèo	蘿䕯 lá bèo · 䕯蕘 bèo nhèo [𠸨] · 餅䕯 bánh bèo	
殍	bẽo	薄殍 bạc bẽo[𠸨]	
𠻅	bẹp	碮𠻅 đè bẹp · 㑲𠻅 nằm bẹp · 𠻅拰 bẹp dúm	
𥇂	bét	𥇂眜 bét mắt · 項𥇂 hạng bét · 捏𥇂 nát bét · 𠾦𥇂 be bét [𠸨]	
𫊽	bét	蟡𫊽 ve bét	
𡌀	bết	𡌀潑 bết bát [𠸨] · 𨀺𡌀 lết bết · 𠶎𡌀 bê bết	
𡋾	bệt	𡎦𡋾 ngồi bệt · 咧𡋾 lệt bệt · 咖啡𡋾 cà phê bệt	
苾	bí	果苾 quả bí	
𠸠󠄁（𠸠）	bí	𠸠󠄁甫 bí bo [聲]	
俖	bĩ	俖㥬 bĩ bàng	
柀	bìa	柀冊 bìa sách · 柀𡹃 bìa rừng	
詖	bịa	詖撻 bịa đặt	
甓	bịch	甓𥟉 bịch thóc · 甓𥼱 bịch kẹo · 䈬甓 bồ bịch	
礔	bịch	礔𦙏 bịch ngực · 𠐔礔 lố bịch · 砰礔 bình bịch [聲] · 𬦮礔𠬠丐 nhảy bịch một cái	
貶	BIẾM	褒貶 bao biếm · 貶畫 biếm hoạ · 針貶 châm biếm	
洴	biền	𣵮洴 bưng biền	
駢	biền	駢別 biền biệt	
諘	biểu	𠲖𪀊徠低諘！ Ê cu lại đây biểu! · 僶其、𠚢低𠋺諘！ Thằng kia, ra đây tao biểu!	
𠍥	bỉm	丐𠍥 cái bỉm · 𠍥𠫾 bỉm đi	
砭	bìm	砭䒦 bìm bịp	
汴	bin	汴𠲅 bin (pin) sạc [摱]	
𠯴	bịn	𠯴𠱉 bịn rịn [𠸨]	
秉	bỉnh	嗙秉 bướng bỉnh [𠸨]	
丙	BÍNH	丙子 Bính Tí · 丙寅 Bính Dần	
砰	bình	砰礔 bình bịch [聲]	
胼	bĩnh	匏胼 bầu bĩnh · 破胼 phá bĩnh	
䒦	bịp	砭䒦 bìm bịp	
莂	bịt	莂𦖻 bịt tai · 莂𩈘 bịt mặt · 莂𤿰 bịt trống · 𪖫箭莂鉄 mũi tên bịt sắt	
瓢	bìu	瓢𢬢 bìu díu · 瓢𬃻 bìu dái	
褓	bịu	𠬠褓裙襖 một bịu quần áo · 泮褓 bận bịu [𠸨]	
