# 常用标准汉喃字表（2023年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20150123.pdf
# 表2共2934字（表1分6级共3987字，两表合计6921字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

𢤜	chạnh	𢤜𢚸 chạnh lòng	
𥿣	chão	抃𥿣 bện chão	
𧊌	chão	𧊌𧑆 chão chàng	
𠹗	chát	沓𠹗 đốp chát	
𤁩	chắt	𤁩漉 chắt lọc · 𤁩招 chắt chiu	
𡦫	chắt	𡥙𡦫 cháu chắt	
劕	chặt	劕𣘃 chặt cây	
㑳	châu	官㑳 quan châu	
楱	chấu	蹎楱 chân chấu · 塊𠶎宗 4 楱 khối bê-tông 4 chấu	
𨗛	chầu	𨗛徝 chầu chực · 𨗛紒 chầu rìa · 𨗛𡗶 chầu trời · 咹𠬠𨗛 ăn một chầu	
𡊱	chậu	𩩫𡊱 xương chậu · 𡊱渃 chậu nước	
𢯙	chẻ	𢯙檜 chẻ củi · 𢯙𥯌 chẻ tre	
𡍘	ché	𡍘𩻐 ché mắm	
𡍘	choé		⇔ 𡍘 ché
痆	chề	𠲖痆 ê chề · 𥘀痆痆 nặng chề chề	
𬿈	chếch	佂𬿈 chênh chếch	
擲	chệch	𫜵擲 làm chệch	
擲	trệch		⇔ 擲 chệch
鮎	chẽm	𩵜鮎 cá chẽm	
拈	chêm	拈𠓨 chêm vào · 拈𩪞 sụn chêm	
沾	chễm	沾治 chễm chệ	
㙻	chèn	㙻押 chèn ép · 㙻𨷯 chèn cửa · 㙻𢭹 chèn lấn	
𢸢	chẹn	𢸢𦙶 chẹn cổ · 𢸢卬 chẹn ngang	
𨠣	chếnh	𨠣𤶜 chếnh choáng	
𠲜	chềnh	𫯳𠲜 chồng chềnh · 𠲜𪝼 chềnh ềnh	
㹦	cheo	𡥵㹦㹦 con cheo cheo · 㹦蹽 cheo leo [𠸨]	
𧵓	cheo	𡠣𧵓 cưới cheo	
袑	chéo	袑巾 chéo khăn · 塘袑 đường chéo · 袑 𧣳 chéo góc	
紥	chét	𧌂紥 bọ chét · 𠬠紥𢬣 một chét tay	
𬗗	chẹt	𬗗𦙥 chẹt họng · 扒𬗗 bắt chẹt	
𫩝	chi	叫𫩝𫩝 kêu chi chi (chí chí) [聲]	
𡛰	chỉ		⇔ 姉𧘇 chị ấy
𨨲	chì	筆𨨲 bút chì · 𨨲折 chì chiết [𠸨]	
𢶾	chỉa	撍𢶾 chôm chỉa [𠸨]	
䤠	chĩa	䤠𠀧 chĩa ba · 䤠銃 chĩa súng	
䤠	chỉa		⇔ 䤠 chĩa
𪮁	chịch	𪮁 chịch [俗]	
煎	chiên	𩚵煎 cơm chiên · 𥸷煎 xôi chiên · 煎𤇤 chiên xào	
邅	CHIÊN	迍邅 truân chiên	
邅	CHUYÊN	迍邅 truân chuyên	
廛	chiền	𫷨廛 chùa chiền	
鉦	chiêng	鉦𤿰 chiêng trống	
𠲷	chiếp	𠲷𠲷 chiêm chiếp [聲]	
𠲷	chiêm		⇔ 𠲷 chiếp
昭	chiêu	姑昭 cô chiêu · 冘昭 đăm chiêu · 蹎冘跢蹎昭 chân đăm đá chân chiêu	
𣸬	chiêu	𣸬𠬠喁渃 chiêu một ngụm nước	
沼	CHIỂU	沼臺 chiểu đài	
炤	chiểu	阮廷炤 Nguyễn Đình Chiểu	⇔ 照 chiểu
𥴜	chiếu	𧜖𥴜 chăn chiếu	
㐱	chỉn	㐱周 chỉn chu	
𠃩	chín	次𠃩 thứ chín	
儨	chít	儨巾 chít khăn · 儨𠴜汻 chít kẽ hở	
𦙴	chỏ	蒐𦙴 cùi chỏ · 𪐬𦙴 ngòn chỏ · 指𦙴 chỉ chỏ	
啫	chơ	啫噅 chơ vơ · 𢣻啫 lơ chơ	𡨸尼拱固体得使用𥪝詞𠸨、䀡附錄。 Chữ này cũng có thể được sử dụng trong từ láy, xem Phụ Lục.
𥡈	choai	𥡈𥡈 choai choai · 馭𥡈 ngựa choai	
𣘌	chóc	榘𣘌 củ chóc	
㫼	choé	至㫼 chí choé · 𧹻㫼 đỏ choé	
𦴶	choè	𦴶𣾵 choè choẹt	
𪄦	choè	𬷩𪄦 chích choè	
𣾵	choẹt	𦴶𣾵 choè choẹt	
椎	chòi	椎𠚢 chòi ra · 椎𪝅 chòi mòi	
𢊛	chòi	𢊛更 chòi canh · 𢊛擱 chòi gác	
䒹	chồi	𠛌䒹䄧𦬩 đâm chồi nẩy lộc	
𠱤	chội	𡒻𠱤 chật chội [𠸨]	
𤈪	chới	𤈪貝 chới với · 執𤈪 chấp chới	
笘	chòm	笘𣇟 chòm sao · 笘𥯎 chòm xóm · 笘𩯁 chòm râu · 笘𣘃 chòm cây	
撍	chôm	撍𢶾 chôm chỉa [𠸨]	
跕	chổm	主跕 chúa chổm · 跕跩 chổm dậy	
𨇸	chồm	謖𧜖𨇸𧻭 tốc chăn chồm dậy	
𡹟	chởm	𡾭𡹟 lởm chởm	
佔	chớm	佔𦬑 chớm nở · 佔病 chớm bệnh	
嶟	chon	嶟𡻖 chon von [𠸨]	
炵	chong	炵畑 chong đèn · 炵炵 chong chong [𠸨]	
泈	chòng	泈湩 chòng chành · 泈擉 chòng chọc ·泈嘺 chòng ghẹo	
泈	tròng	泈湩 tròng trành	⇔ 泈 chòng
蔠	chông	𢱛蔠 rải chông · 蔠佂 chông chênh [𠸨]	
偅	chổng	偅𡙴 chổng kềnh · 偅整 chổng chểnh	
𩮿	chóp	𩮿𡶀 chóp núi · 𩮿䈻 chóp bu · 𩮿嘖 chóp chép	
摯	chộp	摯𥙩 chộp lấy · 𠶙摯 bộp chộp	
𢬮	chọt	𧼋𢬮 chạy chọt	
䱣	chốt	𩵜䱣 cá chốt	
𥈳	chột	𥈳眜 chột mắt · 𥈳䏾 chột bụng · 𥈳胣 chột dạ · 煺𥈳 thui chột · 𣘃𥈳 cây chột	
𡂒	chớt	𡂒𠰹 chớt nhả	
啁	chu	啁㖼 chu mỏ	
媎	chửa	固媎 có chửa	
徝	chực	𨗛徝 chầu chực · 徝䟻 chực chờ	
跮	chúi	跮𠓩 chúi nhủi · 跮𪖫 chúi mũi · 跮頭 chúi đầu	
𢹉	chùi	撈𢹉 lau chùi · 𢹉蹎 chùi chân	
𪒽	chũi	𤝞𪒽 chuột chũi · 𧍝𪒽 dế chũi	
䍄	chum	丐䍄 cái chum · 䍄㙕 chum vại	
𫇳	chùm	𫇳花 chùm hoa · 𫇳果 chùm quả	
𥱱	chụm	𥱱徠 chụm lại · 𥱱蹎 chụm chân · 𥱱檜 chụm củi · 𥱱焒 chụm lửa	
𨀛	chùn	𨀛𨀈 chùn bước	
盅	CHUNG	盅𨢇 chung rượu	
蒸	CHƯNG	餅蒸 bánh chưng · 蒸拮 chưng cất	
洆	chửng	𨁟捕洆 ngã bổ chửng	
𨀧	chững	𨄴𨀧 chập chững · 𨀧擢 chững chạc ·咹𬡶𨀧 ăn mặc chững	
汋	chuốc	汋𥙩 chuốc lấy · 汋禍 chuốc vạ · 汋𨢇 chuốc rượu	
雀	chược	麻雀 mạt chược [摱]	
𣙯	chuôi	𣙯刀 chuôi dao · 𣙯鎌 chuôi gươm · 捻滕𣙯 nắm đằng chuôi	
𩸯	chuối	𩵜𩸯 cá chuối	
漼	chuồi	朱漼𬺗 cho chuồi xuống	
𨒸	chuồn	𨒸𠅒 chuồn mất	
彰	CHƯƠNG	表彰 biểu chương	
樟	CHƯƠNG	樟腦 chương não	
掌	CHƯỞNG	𣆅掌 phim chưởng · 掌理 chưởng lí ·掌薄 chưởng bạ · 降龍十八掌 Giáng Long Thập Bát Chưởng	
掌	trương	掌巡 trương tuần	
瘴	CHƯỚNG	瘴氣 chướng khí · 嵐瘴 lam chướng	
悜	chường	悜𩈘 chường mặt · 𢥇悜 chán chường [𠸨]	
础	chuốt	𦃀础 chải chuốt · 𢫵础 trau chuốt	
㑁	chứt	𠊛㑁 người Chứt	
㤎	da	㤎悊 da diết	
㤎	gia		⇔ 㤎 da
𧹟	dà	𤿭𧹟 vỏ dà · 𦭷𧹟 màu dà · 𢴍𧹟 dần dà [𠸨]	
吔	dã	吔𨢇 dã rượu	
㖡	dạ	㖡𠳐 dạ vâng	
𢖺	dạc	𢘭𢖺 dõng dạc [𠸨]	
𫐟	dặc	𨱽𫐟 dài dặc · 𨀊𫐟 dằng dặc	
𧜵	dải	𧜵𫄎 dải lụa · 𧜵掩 dải yếm · 𧜵銀河 dải ngân hà · 𧜵分隔 dải phân cách	
𢘽	dái	坤朱𠊛些𢘽 khôn cho người ta dái	
𢘽	rái		⇔ 𢘽 dái
𤋵	dãi	𤋵油 dãi dầu · 𤋵𣌝 dãi nắng	
𢴐	day	𢴐𠞹 day dứt · 𢴐眜 day mắt · 𢴐穴 day huyệt	
洩	dáy	洳洩 dơ dáy	
拽	dấy	拽軍 dấy quân · 拽兵 dấy binh · 焒拽 𬨠 lửa dấy lên	
𢴗	dạm	𢴗𡉦 dạm ngõ	
𥭍	dăm	𥭍𥯌 dăm tre · 𥭍樻 dăm cối	
𨂘	dẫm	𨂘踏 dẫm đạp · 𪭴𨂘 dò dẫm · 唑𨂘 doạ dẫm	
𦂼	dậm	丐𦂼 cái dậm	
𦂼	giậm		⇔ 𦂼 dậm
𢺤	dan	𢺤𢬢 dan díu · 𢺤𢬣 dan tay	
𥳄	dần	丐𥳄 cái dần	
𧿯	dận	𧿯蹎 dận chân · 𧿯𬺗 dận xuống	
𨀊	dằng	𨀊𫐟 dằng dặc · 𨀍𨀊 dùng dằng	
棦	dành	𣘃棦棦 cây dành dành	
棦	giành		⇔ 棦 dành
𨄹	dạo	𠫾𨄹 đi dạo	
𭧙	dạo	𭧙尼 dạo này	
唊	dap	唊鈐 dap găm [摱]	𡨸尼主要得使用抵翻音、䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm, xem Phụ Lục.
𰁡	dấp	𠍵𰁡 dáng dấp	
搣	dạt	搣𤁠 dạt dào	
迭	dặt	𠽮迭 dè dặt · 迭𫇿 dặt thuốc · 𢭼迭 dìu dặt	
迭	đit		𡨸尼主要得使用抵翻音、䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm, xem Phụ Lục.
軼	DẬT	軼事 dật sự	
逸	DẬT	隱逸 ẩn dật · 淫逸 dâm dật · 逸史 dật sử	
溢	DẬT	餘溢 dư dật	
酉	DẬU	𣇞酉 giờ Dậu · 乙酉 Ất Dậu	
𣏌	dẻ	楛𣏌蜜 gỗ dẻ mật	
鵜	dẽ	鵜𧉙 dẽ giun	
𠴭	dể	輕𠴭 khinh dể	
𧍝	dế	𧍝𧓭 dế mèn · 𧍝𧍝𣉍 dế dũi [𠸨]	
湜	dề	淫湜 dầm dề · 吔湜 dã dề · 雜湜 tạp dề [摱]	
啖	dèm	啖𢯠 dèm pha	
喕	den		𡨸尼主要得使用抵翻音、䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm, xem Phụ Lục.
挰	dềnh	挰揚 dềnh dàng	
溋	dềnh	𨀍溋 dùng dềnh	
溋	dình		⇔ 溋 dềnh
鞢	dép	𩌂鞢 giày dép · 對鞢 đôi dép	
挗	di	挗𡥵蜆朱𣩂 di con kiến cho chết	
𧻑	dí	𧻑蹺𠸜𥌈 dí theo tên trộm · 𧻑蹺伮𣭻 𬨠！ dí theo nó mau lên! · 𧻑𠼖 dí dỏm [𠸨]	
苡	DĨ	薏苡 ý dĩ	
杝	dĩa	丐杝 cái dĩa	
奕	DỊCH	赫奕 hách dịch	
亦	DIỆC	貓貓亦 mèo miếc [𠸨] · 𩵜𩵜亦 cá kiếc [𠸨]	𡨸尼拱固体得使用𥪝詞𠸨、䀡附錄。 Chữ này cũng có thể được sử dụng trong từ láy, xem Phụ Lục.
𪁂	diệc	𪀄𪁂 chim diệc	
焰	diêm	焰生 diêm sinh · 包焰 bao diêm · 焰鐄 diêm vàng · 焰臾 diêm dúa [𠸨]	
閻	DIÊM	閻王 Diêm vương	
鹽	DIÊM	政鹽 chính diêm · 鹽田 diêm điền	
艷	DIỄM	嬌艷 kiều diễm · 艷麗 diễm lệ · 艷福 diễm phúc	
延	DIÊN	外延 ngoại diên · 縣延慶 huyện Diên Khánh	
涎	DIÊN	龍涎香 long diên hương	
葉	DIẾP	蔞葉 rau diếp · 葉𩵜 diếp cá	
葉	DIỆP	葉綠 diệp lục · 傾葉 khuynh diệp · 柏葉 bách diệp · 竹葉 trúc diệp	
鍱	DIỆP	鍱𦓿 diệp cày	
悊	diết	㤎悊 da diết	
悊	giết		⇔ 悊 diết
𠺧	diều	丐𠺧 cái diều	
遶	diễu	遶兵 diễu binh · 遶行 diễu hành · 遶庯 diễu phố	
遶	nhảu	𮞊遶 nhanh nhảu [𠸨]	
耀	DIỆU	黃耀 Hoàng Diệu · 陳光耀 Trần Quang Diệu	
𥇌	dim	𥋲𥇌 lim dim [𠸨]	
𢸝	dìm	𢸝價行 dìm giá hàng · 𢸝𬺗渃 dìm xuống nước · 伮被姑𢸝 nó bị cô dìm	
𰈏	din	𡥵𰈏 con din	
穎	DĨNH	穎悟 dĩnh ngộ	
鐷	díp	刀鐷 dao díp · 眜鐷徠 mắt díp lại	
𢬢	díu	瓢𢬢 bìu díu	
𦾤	dó	𣘃𦾤 cây dó · 紙𦾤 giấy dó	
喥	dọ	𠴞次呶徠喥次其 bàn thứ nọ lại dọ thứ kia	
喥	dô	𩑰𥳉 trán dô	
𥳉	giô		⇔ 𥳉 dô
唋	dớ	𥋶唋 dấm dớ	
允	DOÃN	應允 ưng doãn	
尹	DOÃN	府尹 phủ doãn · 𣱆尹 họ Doãn	
盈	DOANH	盈餘 doanh dư	
𡹐	doi	𡹐𡐙 doi đất	
𠐸	dôi	𠐸𠚢 dôi ra	
𦟿	dồi	𠰳𦟿 miếng dồi	
𢢊	dỗi	𢚷𢢊 giận dỗi · 㘋𢢊 hờn dỗi	
蛦	dơi	𡥵蛦 con dơi	
𥉰	dòm	𥉰𥄭 dòm ngó · 䈵𥉰 ống dòm	
𥉰	nhòm		⇔ 𥉰 dòm
𦛊	dòn	唭𦛊 cười dòn · 𦛊吔 dòn dã · 黰𦛊 đen dòn · 餅𥹠𦛊 bánh đa dòn	
槦	dong	𣘃槦 cây dong	
𦡦	dong	𦡦𦡦 dong dỏng [𠸨]	
𦡦	dỏng	𦡦𦡦 dong dỏng [𠸨]	
𢘭	dõng	𢘭𢖺 dõng dạc [𠸨]	
搈	dông	搈𨱽 dông dài	
𩘪	dông	𩘪𩘣 dông tố · 𩘪𪥘󠄁𢆥 dông cả năm	
𩘪	giông	𩘪𩙍 giông gió	⇔ 𩘪 dông
湧	dộng	湧𨷯 dộng cửa · 湧𬄨 dộng cừ	
𣔻	dột	茹𣔻 nhà dột · 𣔻捏 dột nát · 𠻇𣔻 dại dột · 膒𣔻 ủ dột	
蝣	DU	部蜉蝣 bộ Phù du	
蕷	dự	𥽌蕷 gạo dự	
諛	dua	阿誽 a dua · 誽佞 dua nịnh	
臾	dúa	焰臾 diêm dúa [𠸨]	
𦼥	dứa	𣘃𦼥 cây dứa · 果𦼥 quả dứa	
椰	dừa	𣘃椰 cây dừa	
筍	DUẨN	黎筍 Lê Duẩn	
燏	DUẬT	陳日燏 Trần Nhật Duật	
遹	DUẬT	范慎遹 Phạm Thận Duật	
鷸	DUẬT	蚌鷸 bạng duật	
浴	DỤC	沐浴 mộc dục	
翼	DỰC	右翼 hữu dực	
裔	DUỆ	後裔 hậu duệ · 裔夷 duệ di	
睿	DUỆ	睿哲 duệ triết · 陳睿宗 Trần Duệ Tông	
拰	dúm	𠻅拰 bẹp dúm	
呫	dụm	𧶄呫 dành dụm	
搎	dun	搎𢩽 dun đẩy · 搎車 dun xe · 搎𢤡 dun rủi	
踴	DŨNG	踴躍 dũng dược	
𢘩	dửng	𢘩𦝺 dửng mỡ	
𢘩	rửng		⇔ 𢘩 dửng
躍	DƯỢC	踴躍 dũng dược	
𠏮	duối	𥋶𠏮 dấm duối	
𣝉	duối	𣘃𣝉 cây duối	
𬧕	duỗi	𬧕𣦎 duỗi thẳng · 𬧕蹎 duỗi chân	
佯	DƯƠNG	佯東擊西 dương đông kích tây	
仗	dượng	仗𡒬 dượng ghẻ · 仛仗 cha dượng · 注仗 chú dượng	
栘	đa	𣘃栘 cây đa	
𪀓	đa	𪀄𪀓𪀓 chim đa đa	
鴕	ĐÀ	鴕鳥 đà điểu	
鐸	đác	洛鐸 lác đác	
瀻	đái	𥺿瀻 ỉa đái	
苔	ĐÀI	苔原 đài nguyên	
颱（台）	ĐÀI	颱風 đài phong	
𩂠	đậy	𩂏𩂠 che đậy · 動𩂠 động đậy	
耽	đam	耽迷 đam mê · 耽樂 đam lạc · 丐之拱耽 cái gì cũng đam	
痰	ĐÀM	痰𧖱 đàm máu	
痰	đờm	痰𣹘 đờm dãi	
曇	ĐÀM	曇花 đàm hoa	
氮	ĐẠM	氮燐喀璃 đạm lân ca-li	
冘	đăm	冘昭 đăm chiêu · 蹎冘跢蹎昭 chân đăm đá chân chiêu	
潫	đằm	潫𧺀 đằm thắm · 㲸潫 ướt đằm	
旦	ĐÁN	花旦 hoa đán · 節元旦 tết nguyên đán	
檀	ĐÀN	𣘃白檀 cây bạch đàn	
捵	đắn	𨅸捵 đứng đắn · 捵𢵋 đắn đo	
𨧝	đẵn	𨧝𣘃 đẵn cây · 𨧝𣖙 đẵn mía · 𠬠𨧝楛 một đẵn gỗ	
憚	đặn	調憚 đều đặn [𠸨] · 𣹓憚 đầy đặn [𠸨]	
𢠤󠄁	đần	𢠤󠄁鈍 đần độn · 愚𢠤󠄁 ngu đần · 扡𢠤󠄁 đỡ đần [𠸨]	
癉	đẫn	咜癉 đờ đẫn [𠸨]	
嘽	đận	柁嘽 đà đận · 吝嘽 lận đận	
澢	đáng	塘澢 đường đáng	
簦	đăng	㨂簦 đóng đăng	
藤	ĐẰNG	葛藤 cát đằng	
𠎬	đấng	𠎬英雄 đấng anh hùng · 𠎬救星 đấng cứu tinh · 𠎬造化 đấng tạo hoá	
忉	đao	嘮忉 lao đao	
芀	đao	苾芀 bí đao · 榘芀 củ đao	
靼	ĐÁT	韃靼 Thát Đát	
靼	ĐẬU	逗車 đậu xe	
逗	đỗ	逗車 đỗ xe	⇔ 逗 đậu
砥	đe	𨑗砥𨑜鈽 trên đe dưới búa	
悌	đẽ	惵悌 đẹp đẽ [𠸨]	
啲	đếch	啲懃 đếch cần · 啲別 đếch biết	
墊	đệm	𠸜墊 tên đệm · 墊彈 đệm đàn · 墊床 đệm giường	
𦛉	đéo	𠋺𦛉懃別！ Tao đéo cần biết!	
岹	đèo	𡾬岹 dốc đèo · 𨅹岹洡𤂬 trèo đèo lội suối	
𭢌	đèo	𭢌䙜 đèo bòng · 𭢌行 đèo hàng	
𠞸	đẽo	𠞸𠞡 đẽo gọt · 鑟𠞸 đục đẽo · 𠖭𠞸 lẽo đẽo	
𪸽	đét	𤷍𪸽 gầy đét · 枯𪸽 khô đét · 黰𪸽 đen đét [聲]	
𮬩	đểu	𮬩𫆥 đểu cáng · 𮬩者 đểu giả · 㹥𮬩 chó đểu · 𨔈𮬩 chơi đểu	
呧	đi	漫呧噅 Man-đi-vơ [摱]	𡨸尼主要得使用抵翻音、䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm, xem Phụ Lục.
𡚦	đĩ	𨔈𡚦 chơi đĩ	
笛	ĐỊCH	彈笛 đàn địch	
𦖡	điếc	𦖡𦖻 điếc tai · 𦖡𭉪 điếc đặc	
䀨	điềm	䀨令 điềm lành	
刁	điêu	吶刁 nói điêu	
刁	ĐIỂU	鴕鳥 đà điểu	
鳥	đụ	鳥媽 đụ má [俗]	
弔	ĐIẾU	弔文 điếu văn	
𫁵	điếu	𫁵𦓿 điếu cày · 𫁵炶 điếu đóm	
疔	ĐINH	疔𩯁 đinh râu	
疔	đanh	𤷿頭疔 nhọt đầu đanh	
訂	ĐÍNH	訂正 đính chính · 訂婚 đính hôn · 考訂 khảo đính	
掟	đính	掟𧘚 đính khuy · 𡲫𧹻掟𡨸鐄 vải đỏ đính chữ vàng	
挺	đĩnh	挺度 đĩnh đạc	
艇	ĐĨNH	潛水艇 tiềm thủy đĩnh	
錠	ĐĨNH	金錠 kim đĩnh · 萬應錠 vạn ứng đĩnh	
𦝂	đít	𦝂𧴋 đít beo	
𬇓	địt	𬇓！ địt! [俗]	
𤂂	đìu	𤂂㳜 đìu hiu	
裯	địu	裯𡥵 địu con	
艔	đò	轉艔 chuyến đò	
㡯	đọ	㡯飭 đọ sức · 𬧺㡯 so đọ	
賭	đố	句賭 câu đố · 打賭 đánh đố · 賭媄䀡 đố mẹ xem	
朵	ĐOÁ	朵花 đoá hoa · 𠄩朵牡丹 hai đoá mẫu đơn	
朵	ĐOÀI	卦兌 quái Đoài	
兌	đoái	兌懷 đoái hoài · 兌傷 đoái thương · 兌矓景𫇰𠊛𠸗 đoái trông cảnh cũ người xưa	
短	ĐOẢN	短劍 đoản kiếm · 短脈 đoản mạch · 所短 sở đoản · 短語 đoản ngữ	
𥖐	đọi	𥖐𩚵 đọi cơm · 咹空𢧚𥖐、吶拯𢧚𠳒 ăn không nên đọi, nói chẳng nên lời	
𡑖	đỗi	過𡑖 quá đỗi	
戴	đội	戴𢃱 đội mũ	
炶	đóm	𫁵炶 điếu đóm · 炶炶 đom đóm [𠸨]	
炶	đom	炶炶 đom đóm [𠸨]	⇔ 炶 đóm
沓	đôm	沓沓 đôm đốp	
沓	đốp	沓𠹗 đốp chát · 沓沓 đôm đốp	
玷	đốm	㹥玷 chó đốm · 𤒢玷 lốm đốm	
𢲠	đơm	𢲠撻 đơm đặt	
惇	ĐÔN	惇篤 đôn đốc	
敦	ĐÔN	敦篤 đôn đốc · 敦促 đôn thúc · 敦厚 đôn hậu · 倫敦 Luân Đôn	
墩	ĐÔN	墩楛 đôn gỗ	
扽	đốn	扽𣘃 đốn cây	
飩	ĐỒN	餛飩 hồn đồn	
飩	thánh	餛飩 hoành thánh [摱]	
鈍	ĐỘN	𢠤󠄁鈍 đần độn	
𣁲	đong	𣁲迻 đong đưa	
秱	đòng	秱秱 đòng đòng	
董	ĐỔNG	扶董 Phù Đổng · 董理 đổng lí	
董	đổng	吶董 nói đổng · 𠯽董 chửi đổng	
㗳	đớp	㗳𥺒 đớp thính · 㹥㗳 chó đớp · 𩵜㗳 𩝇 cá đớp mồi	
哆	đứ	哆𣴙 đứ đừ · 𡎦哆𠚢 ngồi đứ ra	
𣴙	đừ	𤻻𣴙 mệt đừ · 哆𣴙 đứ đừ · 𡃖𣴙 lừ đừ	
鑟	đục	鑟圇 đục tròn	
𥊖	đui	𥊖霧 đui mù	
𦢶	đùi	𣔟𦢶 bắp đùi · 裙𦢶 quần đùi	
𦅭	đũi	𡲫𦅭 vải đũi · 裙襖𦅭 quần áo đũi	
𦅰	đùm	𦅰襆 đùm bọc	
焞	đun	焞渃 đun nước · 焞𤍇 đun nấu	
𡶁	đùn	𥺿𡶁 ỉa đùn · 蛽𡶁𡐙 mối đùn đất	
庉	đụn	庉𤌋 đụn khói · 庉𥟉 đụn thóc	
𨆟	đủng	𨆟䟓 đủng đỉnh [𠸨]	
襠	đũng	裙𦀪襠 quần vá đũng	
燭	đuốc	抪燭 bó đuốc · 檜燭 củi đuốc · 畑燭 đèn đuốc	
𤠂	đười	𤠂𤠆 đười ươi	
㷋	đượm	𧺀㷋 thắm đượm · 濃㷋 nồng đượm	
𧛆	đụp	襖𦀪𦀐𦀪𧛆 áo vá chằng vá đụp	
曀	ế	曀𤀔 ế ẩm [𠸨] · 曀𫯳 ế chồng	
嗌	ếch	叫嗌嗌 kȇ u ếch ếch [聲]	
嚥	en	嚥嚥 en en	
𪝼	ềnh	㑲𪝼 nằm ềnh · 𠲜𪝼 chềnh ềnh	
𪝼	ình	𪝼䏾 ình bụng · 𪝼益 ình ịch · 𪝼轟 ình oàng	
朠	ễnh	朠䏾 ễnh bụng · 𡥵朠𫊬 con ễnh ương	
㕭	eo	㕭𠾸 eo xèo · 㕭㗒 eo ơi	
腰	eo	腰狹 eo hẹp · 腰𡐙 eo đất · 腰𨉞 eo lưng · 腰㴜 eo biển	
殀	ẻo	擣殀 trù ẻo · 殀𪫦 ẻo lả	𡨸尼拱固体得使用𥪝詞𠸨、䀡附錄。 Chữ này cũng có thể được sử dụng trong từ láy, xem Phụ Lục.
𢰳	éo	𢰳𢰳 eo éo · 𢰳𠻗 éo le · 捥𢰳 uốn éo	
𢰳	eo	𢰳𢰳 eo éo	⇔ 𢰳 éo
𠇺	ẹp	俋𠇺 ọp ẹp	
𠮙	ét	𠮙涳 ét-xăng [摱]	
𠮙	ẹt	喐𠮙 ọt ẹt [聲]	
喓	êu	喓喂 êu ôi [嘆]	
𪵤	ga	瓶𪵤 bình ga [摱]	
𠶄	gạ	𠶄𡀯 gạ chuyện	
㓢	gạc	㓢𠸜𥪝名冊 gạc tȇ n trong danh sách · 攑㓢 gỡ gạc [𠸨]	
觡	gạc	觡㹯 gạc hươu	
𦂦	gạc	𨬋𦂦㲸 miếng gạc ướt	
棘	gấc	𥸷棘 xôi gấc	
𢹆	gài	𢹆擺 gài bẫy · 𢹆𨷯 gài cửa	
𢴖	gãi	固𧋺時𢴖 có chí thì gãi	
㨟	gảy	㨟彈 gảy đàn · 㨟稴𠓨𤇮 gảy rơm vào bếp	
㨟	khảy		⇔ 㨟 gảy
𩺺	gáy	𩵜𩺺 cá gáy	
𠰁	gáy	𪃿𠰁𡀴𡀴 gà gáy o o	
𬛑	gáy	𬛑冊 gáy sách	
㧡	gẩy	㧡彈 gẩy đàn · 㧡盤併 gẩy bàn tính	
𤷍	gầy	𤷍𤷱 gầy mòn · 𤷍𪸽 gầy đét	
𨭺	gam	其露𨭺 ki-lô-gam [摱]	
㨔	găm	𬚸羝㨔蒜 thịt dê găm tỏi	
鈐	găm	針鈐 kim găm · 鈐行 găm hàng · 刀鈐 dao găm · 唊鈐 dap găm [摱]	
𧃃	gắm	𧃃𡶀 gắm núi · 絏𧃃 dây gắm · 寄𧃃 gửi gắm [𠸨] · 𧃃𥇚 gắm ghé [𠸨]	
𢤝	gằm	儈𢤝 cúi gằm	
齽	gặm	𤝞齽 chuột gặm · 齽𠰃 gặm nhấm	
𢭬	gạn	𢭬𡃕 gạn gùng [𠸨] · 𢭬漉 gạn lọc · 𢭬 𠳨 gạn hỏi · 𢭬濁𢵱沖 gạn đục khơi trong	
鋼	gang	鍊鋼 luyện gang	
𡬼	gang	𦯬𡬼 dưa gang	
㮗	găng	𣘃㮗 cây găng	
𫧂	gáo	𫧂椰 gáo dừa · 彈𫧂 đàn gáo	
檤	gạo	𣘃檤 cây gạo	
𢰽	gắp	𢰽籤 gắp thăm · 丐𢰽 cái gắp · 𢰽式咹 gắp thức ăn	
𥄫	gấp	𥄫𥇚 gấp ghé	
𥄫	ngấp		⇔ 𥄫 gấp
岋	gập	岋冊 gập sách · 岋𡹡 gập ghềnh	
浗	gàu	浗𣙩 gàu sòng	
浗	gầu		⇔ 浗 gàu
脙	gàu	𬖾脙 phở gàu · 頭固𡗉脙 đầu có nhiều gàu	
脙	gầu		⇔ 脙 gàu
𠯜	gâu	𠯜𠯜 gâu gâu [聲]	
䑴	ghe	䑴船 ghe thuyền	
𤴪	ghẻ	𤴪𤹙 ghẻ chốc · 𤴪𧋆 ghẻ ruồi · 丐𤴪 cái ghẻ · 𤴪渃 ghẻ nước	
𡒬	ghẻ	姨𡒬 dì ghẻ · 𡒬冷 ghẻ lạnh	
𥇚	ghé	𥄫𥇚 gấp ghé	
𥇚	nghé		⇔ 𥇚 ghé
