# 香港浸會大學-小學中文科常用字表
# 共3000字
# https://ephchinese.ephhk.com/lcprichi/
#
# char	序號(級別)	級別	部件/單字	常用度	難度	筆畫

空	198	1	部件	275	171	8
到	199	1	部件	18	214	8
拉	200	1	部件	444	330	8
念	201	1	部件	484	380	8
雨	202	1	部件	554	400	8
松	203	1	部件	1260	480	8
東	204	1	部件	230	534	8
果	205	1	部件	155	609	8
虎	206	1	部件	1265	658	8
幸	207	1	部件	875	666	8
定	208	1	部件	99	681	8
明	209	1	部件	112	686	8
者	210	1	部件	159	717	8
直	211	1	部件	272	785	8
門	212	1	部件	255	799	8
兩	213	1	部件	100	809	8
具	214	1	部件	403	837	8
固	215	1	部件	988	900	8
林	216	1	部件	335	927	8
京	217	1	部件	842	1197	8
或	218	1	部件	186	1225	8
波	219	1	部件	764	1242	8
長	220	1	部件	62	1393	8
兔	221	1	部件	1863	1563	8
昌	222	1	部件	1798	1872	8
采	223	1	部件	1458	2112	8
昔	224	1	部件	2520	2640	8
風	225	1	部件	194	1	9
要	226	1	部件	21	3	9
美	227	1	部件	104	106	9
秋	228	1	部件	895	136	9
封	229	1	部件	1034	152	9
星	230	1	部件	366	165	9
是	231	1	部件	3	175	9
泉	232	1	部件	1500	187	9
故	233	1	部件	432	295	9
屋	234	1	部件	815	342	9
品	235	1	部件	245	377	9
首	236	1	部件	408	477	9
相	237	1	部件	135	504	9
香	238	1	部件	395	575	9
重	239	1	部件	122	617	9
前	240	1	部件	74	677	9
食	241	1	部件	390	678	9
活	242	1	部件	151	754	9
面	243	1	部件	63	784	9
音	244	1	部件	303	807	9
春	245	1	部件	581	808	9
胡	246	1	部件	1098	1224	9
苗	247	1	部件	1592	1229	9
冒	248	1	部件	1234	1473	9
頁	249	1	部件	1213	1568	9
亭	250	1	部件	1936	2008	9
旁	251	1	部件	927	44	10
家	252	1	部件	31	65	10
馬	253	1	部件	288	134	10
隻	254	1	部件	539	157	10
原	255	1	部件	210	177	10
真	256	1	部件	182	432	10
哥	257	1	部件	762	522	10
害	258	1	部件	651	605	10
師	259	1	部件	281	635	10
夏	260	1	部件	885	640	10
