# 香港浸會大學-小學中文科常用字表
# 共3000字
# https://ephchinese.ephhk.com/lcprichi/
#
# char	序號(級別)	級別	部件/單字	常用度	難度	筆畫

特	839	2	單字	203	351	10
疼	840	2	單字	1972	374	10
破	841	2	單字	695	399	10
案	842	2	單字	497	427	10
倒	843	2	單字	615	445	10
值	844	2	單字	654	448	10
逃	845	2	單字	1283	494	10
陣	846	2	單字	888	604	10
旅	847	2	單字	799	685	10
病	848	2	單字	456	697	10
紙	849	2	單字	678	704	10
被	850	2	單字	193	750	10
級	851	2	單字	420	860	10
粉	852	2	單字	1092	875	10
拿	853	2	單字	598	878	10
烈	854	2	單字	803	881	10
紛	855	2	單字	920	897	10
柴	856	2	單字	1747	921	10
討	857	2	單字	642	925	10
剛	858	2	單字	697	928	10
修	859	2	單字	611	941	10
茶	860	2	單字	1109	960	10
座	861	2	單字	665	986	10
捉	862	2	單字	1680	991	10
祥	863	2	單字	1445	1006	10
閃	864	2	單字	1198	1016	10
宮	865	2	單字	1138	1033	10
捕	866	2	單字	1366	1035	10
除	867	2	單字	394	1073	10
料	868	2	單字	473	1098	10
振	869	2	單字	1415	1175	10
針	870	2	單字	833	1176	10
紗	871	2	單字	2067	1230	10
恐	872	2	單字	924	1255	10
桃	873	2	單字	1210	1295	10
准	874	2	單字	1558	1312	10
租	875	2	單字	1713	1429	10
恭	876	2	單字	2118	1459	10
蚊	877	2	單字	2129	1490	10
狼	878	2	單字	1943	1508	10
袖	879	2	單字	1905	1526	10
恩	880	2	單字	1262	1613	10
宵	881	2	單字	2349	1850	10
埋	882	2	單字	1523	2005	10
秩	883	2	單字	1984	2089	10
翅	884	2	單字	2042	2115	10
悄	885	2	單字	1494	2170	10
秤	886	2	單字	2766	2531	10
商	887	2	單字	409	81	11
偉	888	2	單字	993	99	11
組	889	2	單字	349	110	11
部	890	2	單字	105	113	11
梅	891	2	單字	1436	140	11
船	892	2	單字	712	181	11
夠	893	2	單字	600	185	11
理	894	2	單字	125	222	11
強	895	2	單字	294	240	11
敗	896	2	單字	1040	277	11
掉	897	2	單字	801	348	11
排	898	2	單字	489	359	11
偷	899	2	單字	1184	411	11
望	900	2	單字	266	465	11
術	901	2	單字	324	479	11
接	902	2	單字	254	483	11
淡	903	2	單字	1134	486	11
情	904	2	單字	123	491	11
深	905	2	單字	327	527	11
婦	906	2	單字	976	582	11
終	907	2	單字	609	639	11
推	908	2	單字	440	646	11
涼	909	2	單字	1329	648	11
晨	910	2	單字	1257	699	11
堆	911	2	單字	1160	713	11
粗	912	2	單字	1319	765	11
圈	913	2	單字	1099	791	11
貨	914	2	單字	872	794	11
堂	915	2	單字	886	802	11
淨	916	2	單字	1183	820	11
軟	917	2	單字	1030	919	11
符	918	2	單字	1033	929	11
莊	919	2	單字	1344	953	11
脫	920	2	單字	1022	988	11
甜	921	2	單字	1414	1004	11
掛	922	2	單字	1067	1014	11
採	923	2	單字	696	1034	11
頂	924	2	單字	938	1052	11
淚	925	2	單字	1172	1055	11
移	926	2	單字	832	1128	11
球	927	2	單字	363	1140	11
盛	928	2	單字	964	1170	11
袋	929	2	單字	1147	1240	11
啦	930	2	單字	1070	1324	11
處	931	2	單字	228	1365	11
陳	932	2	單字	643	1387	11
密	933	2	單字	702	1395	11
紹	934	2	單字	1074	1412	11
盒	935	2	單字	1591	1433	11
淘	936	2	單字	2268	1436	11
惜	937	2	單字	1129	1456	11
梯	938	2	單字	1542	1463	11
瓶	939	2	單字	1318	1465	11
粒	940	2	單字	1746	1471	11
閉	941	2	單字	1309	1503	11
猜	942	2	單字	1660	1518	11
梨	943	2	單字	2222	1524	11
唸	944	2	單字	1800	/	11
揚	945	2	單字	1041	57	12
街	946	2	單字	866	156	12
統	947	2	單字	304	230	12
寒	948	2	單字	1157	242	12
琴	949	2	單字	1004	270	12
晴	950	2	單字	1934	309	12
提	951	2	單字	212	340	12
報	952	2	單字	268	362	12
週	953	2	單字	1343	402	12
等	954	2	單字	116	407	12
渡	955	2	單字	1369	435	12
椅	956	2	單字	1481	454	12
善	957	2	單字	689	474	12
期	958	2	單字	209	529	12
補	959	2	單字	937	533	12
郵	960	2	單字	1212	627	12
場	961	2	單字	189	683	12
越	962	2	單字	463	690	12
痛	963	2	單字	839	696	12
短	964	2	單字	690	709	12
答	965	2	單字	582	731	12
距	966	2	單字	1044	738	12
湖	967	2	單字	896	753	12
備	968	2	單字	483	769	12
換	969	2	單字	740	790	12
溫	970	2	單字	551	793	12
棉	971	2	單字	1504	841	12
窗	972	2	單字	922	871	12
舒	973	2	單字	1219	933	12
程	974	2	單字	315	951	12
貼	975	2	單字	1071	974	12
幅	976	2	單字	1104	1080	12
喊	977	2	單字	1428	1112	12
順	978	2	單字	751	1139	12
森	979	2	單字	1132	1180	12
勝	980	2	單字	845	1201	12
絲	981	2	單字	910	1212	12
硬	982	2	單字	1046	1219	12
插	983	2	單字	1409	1286	12
殼	984	2	單字	1598	1374	12
著	985	2	單字	129	1402	12
惠	986	2	單字	1379	1408	12
棋	987	2	單字	1703	1452	12
傘	988	2	單字	1805	1484	12
飲	989	2	單字	1286	1516	12
紫	990	2	單字	1299	1521	12
晶	991	2	單字	1345	1522	12
蛙	992	2	單字	2180	1541	12
賀	993	2	單字	1674	1548	12
猴	994	2	單字	2114	1564	12
跌	995	2	單字	1543	1605	12
嫂	996	2	單字	2269	2037	12
莓	997	2	單字	3222	2051	12
惱	998	2	單字	1890	2307	12
煙	999	2	單字	1015	38	13
電	1000	2	單字	156	68	13
腦	1001	2	單字	560	112	13
落	1002	2	單字	410	239	13
暗	1003	2	單字	1014	299	13
塊	1004	2	單字	782	324	13
鼓	1005	2	單字	867	338	13
鉛	1006	2	單字	1973	353	13
傷	1007	2	單字	644	368	13
較	1008	2	單字	356	408	13
溪	1009	2	單字	1430	472	13
達	1010	2	單字	310	482	13
誠	1011	2	單字	1042	688	13
搖	1012	2	單字	1020	689	13
滑	1013	2	單字	1199	701	13
準	1014	2	單字	1276	723	13
遇	1015	2	單字	820	819	13
遊	1016	2	單字	545	850	13
號	1017	2	單字	447	856	13
亂	1018	2	單字	822	868	13
傳	1019	2	單字	302	884	13
群	1020	2	單字	/	917	13
照	1021	2	單字	371	985	13
業	1022	2	單字	139	1000	13
遍	1023	2	單字	1085	1020	13
資	1024	2	單字	282	1038	13
微	1025	2	單字	791	1039	13
詳	1026	2	單字	1487	1075	13
暖	1027	2	單字	1246	1103	13
幹	1028	2	單字	836	1106	13
蜂	1029	2	單字	1958	1110	13
極	1030	2	單字	434	1125	13
該	1031	2	單字	336	1141	13
預	1032	2	單字	739	1182	13
塔	1033	2	單字	1410	1235	13
頓	1034	2	單字	862	1244	13
勤	1035	2	單字	1285	1254	13
碗	1036	2	單字	1834	1256	13
楊	1037	2	單字	963	1276	13
搶	1038	2	單字	1320	1301	13
蜓	1039	2	單字	3194	1321	13
鈴	1040	2	單字	1562	1327	13
腳	1041	2	單字	752	1332	13
跡	1042	2	單字	1332	1391	13
筷	1043	2	單字	2908	1434	13
獅	1044	2	單字	1868	1448	13
膀	1045	2	單字	1814	1458	13
爺	1046	2	單字	1468	1528	13
盞	1047	2	單字	2743	1544	13
頑	1048	2	單字	2153	1700	13
搞	1049	2	單字	1417	/	13
慢	1050	2	單字	847	141	14
認	1051	2	單字	250	147	14
滿	1052	2	單字	354	250	14
蓋	1053	2	單字	975	267	14
趕	1054	2	單字	864	298	14
管	1055	2	單字	300	354	14
聞	1056	2	單字	747	382	14
算	1057	2	單字	381	413	14
圖	1058	2	單字	364	460	14
腿	1059	2	單字	1402	544	14
睡	1060	2	單字	898	638	14
銀	1061	2	單字	602	664	14
精	1062	2	單字	387	702	14
稱	1063	2	單字	481	730	14
榮	1064	2	單字	870	843	14
端	1065	2	單字	892	901	14
輕	1066	2	單字	438	906	14
慈	1067	2	單字	1784	916	14
漸	1068	2	單字	730	931	14
境	1069	2	單字	509	945	14
態	1070	2	單字	575	961	14
裳	1071	2	單字	2746	994	14
演	1072	2	單字	411	1008	14
銅	1073	2	單字	1554	1013	14
緊	1074	2	單字	597	1031	14
熊	1075	2	單字	2141	1082	14
窩	1076	2	單字	1889	1092	14
漁	1077	2	單字	1413	1127	14
槍	1078	2	單字	1336	1135	14
摸	1079	2	單字	1298	1245	14
蜜	1080	2	單字	1822	1250	14
蒼	1081	2	單字	1778	1334	14
敲	1082	2	單字	1664	1446	14
餅	1083	2	單字	1725	1483	14
摘	1084	2	單字	1837	1512	14
塵	1085	2	單字	1477	1523	14
漂	1086	2	單字	1372	1578	14
貌	1087	2	單字	1279	1585	14
網	1088	2	單字	760	1724	14
箏	1089	2	單字	2510	1734	14
滾	1090	2	單字	1397	1771	14
蜻	1091	2	單字	3126	2309	14
慶	1092	2	單字	1142	46	15
影	1093	2	單字	293	101	15
數	1094	2	單字	183	105	15
樣	1095	2	單字	121	124	15
豬	1096	2	單字	1427	266	15
鞋	1097	2	單字	1247	343	15
盤	1098	2	單字	899	381	15
樓	1099	2	單字	732	401	15
墨	1100	2	單字	1348	439	15
輪	1101	2	單字	906	451	15
髮	1102	2	單字	894	498	15
震	1103	2	單字	1055	541	15
談	1104	2	單字	584	546	15
餓	1105	2	單字	1865	562	15
潔	1106	2	單字	1270	574	15
練	1107	2	單字	633	592	15
靠	1108	2	單字	876	595	15
熟	1109	2	單字	939	615	15
稻	1110	2	單字	1465	634	15
增	1111	2	單字	471	665	15
熱	1112	2	單字	385	710	15
廠	1113	2	單字	828	804	15
線	1114	2	單字	355	827	15
播	1115	2	單字	986	879	15
箭	1116	2	單字	1557	894	15
踏	1117	2	單字	1363	983	15
鬧	1118	2	單字	1123	1009	15
麵	1119	2	單字	/	1026	15
論	1120	2	單字	338	1040	15
輛	1121	2	單字	1435	1059	15
撲	1122	2	單字	1763	1068	15
標	1123	2	單字	503	1076	15
確	1124	2	單字	531	1137	15
衝	1125	2	單字	992	1147	15
憐	1126	2	單字	1836	1178	15
模	1127	2	單字	685	1384	15
潑	1128	2	單字	1861	1477	15
寬	1129	2	單字	1043	1511	15
撞	1130	2	單字	1582	1513	15
蝦	1131	2	單字	2130	1514	15
澆	1132	2	單字	2376	1560	15
鴉	1133	2	單字	2487	1596	15
潭	1134	2	單字	2628	1753	15
嘩	1135	2	單字	2103	2324	15
踩	1136	2	單字	2400	/	15
燒	1137	2	單字	1082	27	16
靜	1138	2	單字	709	210	16
糖	1139	2	單字	1303	228	16
橋	1140	2	單字	1010	311	16
整	1141	2	單字	360	370	16
器	1142	2	單字	519	507	16
導	1143	2	單字	361	671	16
奮	1144	2	單字	1093	672	16
鋼	1145	2	單字	1227	693	16
激	1146	2	單字	884	743	16
嘴	1147	2	單字	1105	760	16
歷	1148	2	單字	558	772	16
操	1149	2	單字	1097	813	16
遲	1150	2	單字	1420	814	16
錄	1151	2	單字	758	864	16
機	1152	2	單字	147	867	16
錢	1153	2	單字	521	905	16
醒	1154	2	單字	1012	942	16
築	1155	2	單字	918	1021	16
館	1156	2	單字	659	1051	16
橫	1157	2	單字	1208	1065	16
壁	1158	2	單字	1218	1169	16
辦	1159	2	單字	362	1192	16
舉	1160	2	單字	397	1277	16
興	1161	2	單字	391	1304	16
燕	1162	2	單字	1647	1440	16
蕉	1163	2	單字	2304	1488	16
糕	1164	2	單字	2152	1598	16
懂	1165	2	單字	1051	1670	16
曆	1166	2	單字	2064	1718	16
橙	1167	2	單字	2836	1810	16
臉	1168	2	單字	807	22	17
賽	1169	2	單字	694	98	17
壓	1170	2	單字	713	520	17
雖	1171	2	單字	507	554	17
擦	1172	2	單字	1595	557	17
戲	1173	2	單字	681	576	17
謝	1174	2	單字	770	830	17
禮	1175	2	單字	788	833	17
嶺	1176	2	單字	1979	835	17
顆	1177	2	單字	1220	851	17
應	1178	2	單字	174	909	17
鮮	1179	2	單字	952	912	17
環	1180	2	單字	452	950	17
總	1181	2	單字	257	1044	17
臂	1182	2	單字	1766	1163	17
牆	1183	2	單字	1182	1269	17
謊	1184	2	單字	2483	1466	17
謎	1185	2	單字	2215	1486	17
擠	1186	2	單字	1382	1799	17
顏	1187	2	單字	1180	292	18
騎	1188	2	單字	1761	423	18
題	1189	2	單字	141	573	18
簡	1190	2	單字	721	624	18
雙	1191	2	單字	546	716	18
舊	1192	2	單字	890	892	18
醫	1193	2	單字	563	949	18
糧	1194	2	單字	1755	1012	18
翻	1195	2	單字	1021	1091	18
擺	1196	2	單字	1090	1243	18
轉	1197	2	單字	373	1317	18
藍	1198	2	單字	970	1474	18
鞭	1199	2	單字	2100	1710	18
蹦	1200	2	單字	3184	1805	18
鯊	1201	2	單字	2699	/	18
鏡	1202	2	單字	962	220	19
藥	1203	2	單字	776	291	19
關	1204	2	單字	161	471	19
識	1205	2	單字	402	1061	19
繩	1206	2	單字	1826	1445	19
壞	1207	2	單字	841	1450	19
蠅	1208	2	單字	3017	2642	19
寶	1209	2	單字	722	347	20
飄	1210	2	單字	1342	519	20
警	1211	2	單字	720	608	20
鐘	1212	2	單字	826	652	20
露	1213	2	單字	813	49	21
護	1214	2	單字	550	189	21
響	1215	2	單字	435	532	21
鶴	1216	2	單字	2664	1970	21
體	1217	2	單字	111	542	23
變	1218	2	單字	208	674	23
驚	1219	2	單字	821	1252	23
曬	1220	2	單字	2247	/	23
讓	1221	2	單字	320	967	24
鷹	1222	2	單字	2105	1431	24
觀	1223	2	單字	286	647	25
灣	1224	2	單字	495	858	25
凡	1225	3	部件	1148	130	3
孔	1226	3	部件	1062	326	4
凶	1227	3	部件	2508	1510	4
丑	1228	3	部件	2887	1672	4
勻	1229	3	部件	3019	2808	4
末	1230	3	部件	1230	1316	5
矛	1231	3	部件	1883	1991	5
匆	1232	3	部件	1721	2069	5
丘	1233	3	部件	2115	2135	5
乏	1234	3	部件	1495	2263	5
玄	1235	3	部件	2452	2399	5
卉	1236	3	部件	3051	2765	5
危	1237	3	部件	946	129	6
存	1238	3	部件	513	414	6
考	1239	3	部件	430	438	6
死	1240	3	部件	443	492	6
血	1241	3	部件	707	621	6
后	1242	3	部件	1531	980	6
刑	1243	3	部件	1736	1888	6
州	1244	3	部件	915	2110	6
夷	1245	3	部件	2694	2745	6
赤	1246	3	部件	1602	1203	7
夾	1247	3	部件	1533	1481	7
戒	1248	3	部件	1696	1699	7
狂	1249	3	部件	1519	2073	7
邦	1250	3	部件	1551	2416	7
宜	1251	3	部件	1023	54	8
奉	1252	3	部件	1503	457	8
委	1253	3	部件	716	1378	8
昏	1254	3	部件	1482	1449	8
妻	1255	3	部件	1200	1628	8
孤	1256	3	部件	1464	2024	8
卒	1257	3	部件	3112	2435	8
卑	1258	3	部件	2432	2793	8
帝	1259	3	部件	1086	77	9
皇	1260	3	部件	1126	80	9
胃	1261	3	部件	1835	995	9
則	1262	3	部件	342	1272	9
致	1263	3	部件	705	1297	9
若	1264	3	部件	719	1423	9
柔	1265	3	部件	1278	1742	9
眉	1266	3	部件	1723	1813	9
某	1267	3	部件	812	1866	9
盾	1268	3	部件	1753	1884	9
皆	1269	3	部件	1489	2349	9
弱	1270	3	部件	1057	810	10
庫	1271	3	部件	1351	934	10
烏	1272	3	部件	1249	1351	10
臭	1273	3	部件	1871	2009	10
躬	1274	3	部件	2884	2360	10
兼	1275	3	部件	1479	2474	10
責	1276	3	部件	715	28	11
參	1277	3	部件	406	391	11
章	1278	3	部件	804	596	11
康	1279	3	部件	655	660	11
將	1280	3	部件	142	729	11
務	1281	3	部件	350	775	11
異	1282	3	部件	865	1217	11
率	1283	3	部件	668	1263	11
敏	1284	3	部件	1432	1677	11
累	1285	3	部件	1185	1761	11
宿	1286	3	部件	1797	2075	11
尊	1287	3	部件	1039	375	12
貴	1288	3	部件	795	422	12
普	1289	3	部件	880	1306	12
朝	1290	3	部件	765	1401	12
疏	1291	3	部件	1580	1951	12
雷	1292	3	部件	1162	271	13
感	1293	3	部件	202	631	13
義	1294	3	部件	305	849	13
葬	1295	3	部件	2236	2014	13
需	1296	3	部件	426	650	14
蒙	1297	3	部件	1232	847	14
盡	1298	3	部件	622	869	14
賓	1299	3	部件	1300	1300	14
疑	1300	3	部件	1011	1703	14
聚	1301	3	部件	1166	1910	14
審	1302	3	部件	1294	862	15
齒	1303	3	部件	1765	963	15
廚	1304	3	部件	1773	1629	15
憂	1305	3	部件	1619	1966	15
厲	1306	3	部件	1649	2273	15
縣	1307	3	部件	951	822	16
賴	1308	3	部件	1383	2178	16
頻	1309	3	部件	1569	2710	16
豐	1310	3	部件	774	1133	18
羅	1311	3	部件	570	1366	19
贊	1312	3	部件	1629	2296	19
丸	1313	3	單字	2524	1806	3
仁	1314	3	單字	1259	687	4
仍	1315	3	單字	592	1290	4
仗	1316	3	單字	2194	1669	5
叮	1317	3	單字	2008	1789	5
叭	1318	3	單字	2709	2217	5
印	1319	3	單字	688	102	6
任	1320	3	單字	267	996	6
肌	1321	3	單字	1701	1153	6
兇	1322	3	單字	2154	1482	6
帆	1323	3	單字	2244	1633	6
伍	1324	3	單字	1565	1747	6
奸	1325	3	單字	2656	1798	6
仿	1326	3	單字	1669	2030	6
伙	1327	3	單字	1758	2033	6
匠	1328	3	單字	2213	2090	6
托	1329	3	單字	1252	2137	6
佛	1330	3	單字	1233	47	7
私	1331	3	單字	1119	300	7
投	1332	3	單字	517	366	7
災	1333	3	單字	1137	558	7
兵	1334	3	單字	916	707	7
防	1335	3	單字	714	1070	7
判	1336	3	單字	974	1100	7
均	1337	3	單字	800	1104	7
攻	1338	3	單字	1239	1159	7
否	1339	3	單字	676	1239	7
似	1340	3	單字	590	1257	7
抗	1341	3	單字	954	1284	7
佔	1342	3	單字	1191	1323	7
妖	1343	3	單字	2387	1505	7
扶	1344	3	單字	1633	1573	7
沖	1345	3	單字	1337	1606	7
牢	1346	3	單字	1720	1649	7
扮	1347	3	單字	1583	1709	7
芒	1348	3	單字	2354	1725	7
吞	1349	3	單字	1838	1780	7
佑	1350	3	單字	2576	1880	7
皂	1351	3	單字	2594	1959	7
妥	1352	3	單字	1802	1960	7
抖	1353	3	單字	2069	1989	7
坑	1354	3	單字	2217	2143	7
吩	1355	3	單字	2958	2359	7
圾	1356	3	單字	1588	2576	7
吝	1357	3	單字	3064	2832	7
杆	1358	3	單字	2478	/	7
芋	1359	3	單字	3315	/	7
巡	1360	3	單字	1651	/	7
況	1361	3	單字	631	53	8
命	1362	3	單字	368	111	8
店	1363	3	單字	737	219	8
姓	1364	3	單字	1181	512	8
協	1365	3	單字	757	913	8
性	1366	3	單字	195	948	8
坦	1367	3	單字	1421	962	8
刺	1368	3	單字	1122	978	8
征	1369	3	單字	1891	1241	8
抽	1370	3	單字	1078	1347	8
抵	1371	3	單字	1314	1403	8
岩	1372	3	單字	1433	1441	8
供	1373	3	單字	589	1455	8
帕	1374	3	單字	2294	1571	8
乳	1375	3	單字	1540	1616	8
奔	1376	3	單字	1419	1626	8
斧	1377	3	單字	2636	1637	8
臥	1378	3	單字	/	1655	8
芬	1379	3	單字	1710	1721	8
股	1380	3	單字	772	1741	8
抹	1381	3	單字	1853	1804	8
乖	1382	3	單字	2173	1811	8
拖	1383	3	單字	1354	1826	8
芽	1384	3	單字	2082	1868	8
沾	1385	3	單字	2163	1901	8
泳	1386	3	單字	1460	1907	8
狐	1387	3	單字	2689	1927	8
玫	1388	3	單字	2246	1942	8
拐	1389	3	單字	2872	2066	8
肩	1390	3	單字	1529	2232	8
衫	1391	3	單字	2332	2471	8
垃	1392	3	單字	1577	2489	8
泊	1393	3	單字	1872	2551	8
呵	1394	3	單字	1656	2601	8
咐	1395	3	單字	2590	2661	8
括	1396	3	單字	778	415	9
洪	1397	3	單字	1456	514	9
耐	1398	3	單字	1418	586	9
政	1399	3	單字	233	676	9
待	1400	3	單字	614	852	9
負	1401	3	單字	691	853	9
炸	1402	3	單字	1499	887	9
研	1403	3	單字	511	1109	9
津	1404	3	單字	1670	1138	9
突	1405	3	單字	670	1161	9
染	1406	3	單字	971	1196	9
叛	1407	3	單字	2318	1206	9
洲	1408	3	單字	680	1209	9
威	1409	3	單字	911	1210	9
型	1410	3	單字	543	1285	9
祕	1411	3	單字	2380	1330	9
炭	1412	3	單字	2538	1337	9
姿	1413	3	單字	1407	1368	9
玻	1414	3	單字	1398	1373	9
恢	1415	3	單字	1640	1388	9
陌	1416	3	單字	2126	1438	9
胖	1417	3	單字	2009	1509	9
姪	1418	3	單字	2665	1561	9
柳	1419	3	單字	1750	1574	9
虹	1420	3	單字	2327	1611	9
恰	1421	3	單字	1740	1642	9
拼	1422	3	單字	1708	1653	9
姨	1423	3	單字	2208	1668	9
怨	1424	3	單字	1679	1676	9
勁	1425	3	單字	1498	1701	9
勉	1426	3	單字	1912	1708	9
茅	1427	3	單字	2781	1720	9
狠	1428	3	單字	1855	1752	9
砍	1429	3	單字	2063	1756	9
恆	1430	3	單字	1906	1767	9
秒	1431	3	單字	1610	1774	9
歪	1432	3	單字	2286	1776	9
缸	1433	3	單字	2705	1916	9
挑	1434	3	單字	1079	1939	9
剃	1435	3	單字	3281	1949	9
削	1436	3	單字	2022	2031	9
柿	1437	3	單字	2899	2131	9
映	1438	3	單字	1163	2306	9
牲	1439	3	單字	1821	2458	9
哄	1440	3	單字	2450	2502	9
狡	1441	3	單字	3470	2811	9
套	1442	3	單字	940	436	10
訓	1443	3	單字	978	602	10
效	1444	3	單字	679	614	10
財	1445	3	單字	786	708	10
航	1446	3	單字	1088	956	10
配	1447	3	單字	701	959	10
貢	1448	3	單字	1424	984	10
缺	1449	3	單字	882	1117	10
訊	1450	3	單字	928	1313	10
峽	1451	3	單字	1737	1314	10
脈	1452	3	單字	1511	1335	10
索	1453	3	單字	902	1428	10
烤	1454	3	單字	2242	1554	10
凍	1455	3	單字	1930	1584	10
浮	1456	3	單字	1269	1590	10
悔	1457	3	單字	1983	1600	10
脆	1458	3	單字	2046	1603	10
峰	1459	3	單字	/	1630	10
浴	1460	3	單字	1916	1645	10
宴	1461	3	單字	2057	1658	10
扇	1462	3	單字	1678	1679	10
胸	1463	3	單字	1346	1684	10
株	1464	3	單字	2038	1746	10
倆	1465	3	單字	1831	1762	10
挨	1466	3	單字	2298	1779	10
挺	1467	3	單字	1754	1794	10
哨	1468	3	單字	2835	1833	10
窄	1469	3	單字	2155	1853	10
眨	1470	3	單字	2724	1867	10
朗	1471	3	單字	1304	1897	10
眠	1472	3	單字	1928	1899	10
飢	1473	3	單字	2527	1929	10
秧	1474	3	單字	2939	1968	10
徒	1475	3	單字	1201	1979	10
悅	1476	3	單字	1709	2043	10
浸	1477	3	單字	2077	2072	10
疲	1478	3	單字	1712	2116	10
釘	1479	3	單字	2137	2138	10
剝	1480	3	單字	2235	2140	10
紋	1481	3	單字	1642	2231	10
狸	1482	3	單字	/	2402	10
殊	1483	3	單字	1202	2417	10
捏	1484	3	單字	2499	2516	10
荔	1485	3	單字	3124	2666	10
娟	1486	3	單字	2626	2719	10
笆	1487	3	單字	/	2782	10
迴	1488	3	單字	1469	/	10
剪	1489	3	單字	1546	97	11
速	1490	3	單字	621	119	11
陸	1491	3	單字	692	170	11
畢	1492	3	單字	861	287	11
救	1493	3	單字	897	294	11
途	1494	3	單字	1050	339	11
透	1495	3	單字	809	515	11
堅	1496	3	單字	783	530	11
設	1497	3	單字	296	547	11
寄	1498	3	單字	1272	570	11
基	1499	3	單字	352	641	11
健	1500	3	單字	741	748	11
通	1501	3	單字	226	798	11
猛	1502	3	單字	1507	863	11
探	1503	3	單字	830	908	11
眾	1504	3	單字	446	915	11
訪	1505	3	單字	860	944	11
略	1506	3	單字	929	1273	11
陷	1507	3	單字	1459	1357	11
旋	1508	3	單字	1371	1427	11
淹	1509	3	單字	2564	1530	11
釣	1510	3	單字	1911	1535	11
偶	1511	3	單字	1156	1550	11
笛	1512	3	單字	2355	1579	11
笨	1513	3	單字	2096	1588	11
陪	1514	3	單字	1378	1641	11
啄	1515	3	單字	2934	1644	11
啊	1516	3	單字	853	1675	11
貪	1517	3	單字	1718	1698	11
羞	1518	3	單字	2081	1731	11
貧	1519	3	單字	1321	1740	11
匙	1520	3	單字	2319	1777	11
婚	1521	3	單字	955	1782	11
雀	1522	3	單字	1788	1796	11
梳	1523	3	單字	2525	1809	11
添	1524	3	單字	1559	1827	11
牽	1525	3	單字	1534	1851	11
捨	1526	3	單字	1512	1890	11
患	1527	3	單字	1277	1891	11
蛀	1528	3	單字	3488	1909	11
淺	1529	3	單字	1657	1920	11
崇	1530	3	單字	1574	1921	11
淑	1531	3	單字	2074	2007	11
脣	1532	3	單字	/	2011	11
逗	1533	3	單字	2418	2025	11
淋	1534	3	單字	1886	2039	11
悉	1535	3	單字	1483	2042	11
械	1536	3	單字	1900	2083	11
莖	1537	3	單字	2506	2236	11
側	1538	3	單字	1339	2270	11
舵	1539	3	單字	3239	2400	11
啤	1540	3	單字	3071	2425	11
寂	1541	3	單字	1654	2498	11
敘	1542	3	單字	/	/	11
牌	1543	3	單字	1016	367	12
替	1544	3	單字	1087	447	12
費	1545	3	單字	488	453	12
煮	1546	3	單字	1775	461	12
掌	1547	3	單字	1002	553	12
減	1548	3	單字	718	603	12
圍	1549	3	單字	759	623	12
富	1550	3	單字	626	632	12
隆	1551	3	單字	1281	645	12
集	1552	3	單字	441	682	12
暑	1553	3	單字	1722	749	12
智	1554	3	單字	1017	770	12
港	1555	3	單字	677	846	12
惡	1556	3	單字	1024	888	12
棒	1557	3	單字	1695	990	12
項	1558	3	單字	553	1010	12
握	1559	3	單字	1106	1024	12
揮	1560	3	單字	856	1089	12
雅	1561	3	單字	1150	1318	12
翔	1562	3	單字	2044	1469	12
盜	1563	3	單字	1845	1529	12
媒	1564	3	單字	1326	1567	12
悲	1565	3	單字	1211	1587	12
剩	1566	3	單字	1306	1610	12
毯	1567	3	單字	2635	1648	12
描	1568	3	單字	1264	1651	12
尋	1569	3	單字	901	1652	12
稀	1570	3	單字	1662	1657	12
寓	1571	3	單字	2128	1692	12
割	1572	3	單字	1622	1732	12
壺	1573	3	單字	2340	1768	12
裂	1574	3	單字	1370	1773	12
筋	1575	3	單字	1781	1783	12
詐	1576	3	單字	2926	1788	12
診	1577	3	單字	2142	1807	12
雁	1578	3	單字	2702	1841	12
階	1579	3	單字	926	1876	12
悶	1580	3	單字	1874	1887	12
搜	1581	3	單字	1768	1896	12
棲	1582	3	單字	2321	1906	12
棚	1583	3	單字	2083	1933	12
揭	1584	3	單字	1866	1938	12
喻	1585	3	單字	2053	1990	12
傑	1586	3	單字	1377	1993	12
喇	1587	3	單字	2396	1996	12
閒	1588	3	單字	1315	2022	12
裙	1589	3	單字	2104	2057	12
斑	1590	3	單字	1832	2136	12
蛛	1591	3	單字	2777	2150	12
渴	1592	3	單字	1951	2183	12
喘	1593	3	單字	2281	2215	12
傍	1594	3	單字	2411	2245	12
萄	1595	3	單字	2156	2278	12
湧	1596	3	單字	1658	2484	12
惰	1597	3	單字	2748	2490	12
酥	1598	3	單字	3014	2542	12
渣	1599	3	單字	2784	2778	12
零	1600	3	單字	1018	159	13
滅	1601	3	單字	1361	279	13
運	1602	3	單字	311	315	13
搬	1603	3	單字	1412	392	13
碰	1604	3	單字	1391	409	13
試	1605	3	單字	490	508	13
置	1606	3	單字	699	563	13
詩	1607	3	單字	769	870	13
溝	1608	3	單字	1505	874	13
隔	1609	3	單字	1165	1028	13
廈	1610	3	單字	1969	1063	13
源	1611	3	單字	663	1124	13
塞	1612	3	單字	1194	1150	13
飼	1613	3	單字	2374	1198	13
勢	1614	3	單字	632	1202	13
跨	1615	3	單字	1600	1338	13
載	1616	3	單字	1053	1349	13
煤	1617	3	單字	1780	1353	13
舅	1618	3	單字	2697	1502	13
愈	1619	3	單字	969	1527	13
稚	1620	3	單字	2162	1581	13
