# 常用标准汉喃字表（2024年版）表2
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# http://www.hannom-rcv.org/NS/bchnctd%20300623.pdf
# 表2共3174字（表1分6级共3975字，两表合计7149字）
#
# 𡨸漢喃	音讀	譬喻	𥱬註

𡨸漢喃	音讀	譬喻	𥱬註
𡬼	gang	荼𡬼 dưa gang	U+21B3C
鋼	gang	鍊鋼 luyện gang	U+92FC
㮗	găng	𣘃㮗 cây găng	U+3B97
𠡚	gắng	𠡚功 gắng công · 固𠡚 cố gắng	[翻] U+2085A
𫧂	gáo	𫧂椰 gáo dừa · 彈𫧂 đàn gáo	U+2B9C2
檤	gạo	𣘃檤 cây gạo	U+6AA4
𢰽	gáp	急𢰽 gấp gáp [𠸨]	U+22C3D
𢰽	gắp	𢰽籤 gắp thăm · 丐𢰽 cái gắp · 𢰽式咹 gắp thức ăn	
𥄫	gấp	𥄫𥇚 gấp ghé	[翻] U+2512B
𥄫	ngấp		⇔ 𥄫 gấp
岋	gập	岋冊 gập sách · 岋𡹡 gập ghềnh	U+5C8B
噑	gáu	噑噑 gau gáu [𠸨]	U+5651
噑	ngáu	噑噑 ngau ngáu [𠸨]	
噑	ngấu	噑噑 ngâu ngấu [𠸨]	
噑	gau	噑噑 gau gáu [𠸨]	⇔ 噑 gáu
噑	ngau	噑噑 ngau ngáu [𠸨]	⇔ 噑 ngáu
噑	ngâu	噑噑 ngâu ngấu [𠸨]	⇔ 噑 ngấu
浗	gàu	浗𣙩 gàu sòng	U+6D57
浗	gầu		⇔ 浗 gàu
脙	gàu	𬖾脙 phở gàu · 頭固𡗉脙 đầu có nhiều gàu	U+8119
脙	gầu		⇔ 脙 gàu
𠯜	gâu	𠯜𠯜 gâu gâu [聲]	U+20BDC
㗕	gẫu	𠾎㗕 tán gẫu	U+35D5
㗕	quạu	㗕㗕 quàu quạu [𠸨]	
㗕	quàu	㗕㗕 quàu quạu [𠸨]	⇔ 㗕 quạu
䑴	ghe	䑴船 ghe thuyền	U+4474
𡃊	ghe	𡃊番 ghe phen	U+210CA
𡃊	khẽ	捈高打𡃊 giơ cao đánh khẽ · 溪 𡃊 khe khẽ [𠸨]	
𤴪	ghẻ	𤴪𤹙 ghẻ chốc · 𤴪𧋆 ghẻ ruồi ·丐𤴪 cái ghẻ · 𤴪渃 ghẻ nước	U+24D2A
𡒬	ghẻ	姨𡒬 dì ghẻ · 𡒬冷 ghẻ lạnh	U+214AC
𥇚	ghé	𥄫𥇚 gấp ghé	U+251DA
𥇚	nghé		⇔ 𥇚 ghé
㙋	ghè	㙋𩻐 ghè mắm · 㖗㙋 gầm ghè [𠸨]	U+364B
𥗎	ghề	𥕥𥗎 gồ ghề [𠸨]	U+255CE
𮞑	ghếch	𮞑蹎 ghếch chân	[翻] U+2E791
𧁴	ghém	蔞𧁴 rau ghém · 襘𧁴 gói ghém	[翻] U+27074
𡹡	ghềnh	𣴜𡹡 thác ghềnh · 岋𡹡 gập ghềnh	[翻] U+21E61
嘺	ghẹo	嘹嘺 trêu ghẹo	[翻] U+563A
嘺	kẽo	嘺𠹳 kẽo kẹt [𠸨]	
𡑪	ghét	垢𡑪 cáu ghét	U+2146A
剘	ghi	𢯏剘 bẻ ghi	U+5258
𢙕	ghiếc	𡃍𢙕 gớm ghiếc	U+22655
𠋵	ghiền	ghiền nặng 𠋵𨢇 · ghiền rượu 𠊛𠋵古喀印 · người ghiền cô-ca-in [摱]	U+202F5
捦	ghim	捦𠓨 ghim vào	[翻] U+6366
𩸱	ghím	𩵜𩸱 cá ghím	U+29E31
拑	ghìm	拑𬘋 ghìm chặt	U+62D1
𩸰	go	丐𩸰𩵜 cái go cá	U+29E30
𦁿	gô	𦁿𦙶 gô cổ · 繓𦁿 trói gô · 𪃿𦁿 gà gô	U+2607F
𥕥	gồ	𩑰𥕥 trán gồ · 𡐙𥕥 đất gồ · 𥕥 𥗎 gồ ghề [𠸨]	U+25565
塸	gơ	塸絏𧃷榔 gơ dây khoai lang · 𠊛 𤄷塸萊 người Ra Gơ-lai (Glai)	[翻] U+5878
𪡽󠄁（𪡽󠄂）	gở	吶𪡽󠄁 nói gở · 怪𪡽󠄁 quái gở	U+2A87D U+E0101 (U+2A87DU+E0102)
埧	gờ	埧𤬪 gờ ngói · 埧盤 gờ bàn · 埧 𦑃𨷯 gờ cánh cửa	U+57E7
梏	gộc	梞梏 gậy gộc	U+688F
澮（浍）	gội	浸澮 tắm gội · 澮頭 gội đầu ·油澮 dầu gội	U+6FAE (U+6D4D)
搛	gom	搛𢵰 gom góp · 收搛 thu gom	[翻] U+641B
𡑲	gốm	𣘊𡑲 đồ gốm · 𠏲𡑲 thợ gốm	U+21472
𡃍	gớm	𭌲𡃍 ghê gớm · 𡃍𢙕 gớm ghiếc · 𡃍！ gớm!	U+210CD
𢢬	gờm	𢢬𢢬 gờm gờm [𠸨]	U+228AC
袞	gọn	袞抗 gọn gàng [𠸨] · 袞技 gọn ghẽ [𠸨]	U+889E
袞	gòn	袞袞 gòn gọn [𠸨]	⇔ 袞 gọn
琨	gôn	琫琨 bóng gôn [摱] · 𡑝琨 sân gôn [摱] · 榾琨 cột gôn [摱]	U+7428
𰜠	gợn	𰜠㳥 gợn sóng	U+30720
𰜠	gờn	𰜠𰜠 gờn gợn [𠸨]	⇔ 𰜠 gợn
嗊	gỏng	噶嗊 gắt gỏng	U+55CA
嗊	ngỗng	藝嗊 nghề ngỗng [𠸨]	[翻]
槓	gọng	槓鏡 gọng kính	U+69D3
𭡅󠄁	gồng	挭𭡅󠄁 gánh gồng · 𭡅󠄁𨉟 gồng mình	U+2D845 U+E0101
佮	gộp	賚佮 lãi gộp · 佮徠 gộp lại	U+4F6E
𠞡	gọt	𠞸𠞡 đẽo gọt · 𠞡𡧲 gọt giũa	U+207A1
淈	gột	淈𣳮 gột rửa · 淈仍意擬腐敗 gột những ý nghĩ hủ bại	U+6DC8
㘗	gu	合㘗 hợp gu [摱] · 㘗審美 gu thẩm mĩ [摱]	U+3617
佝	gù	佝𨉞 gù lưng	U+4F5D
𨗥（𨗥󠄁）	gũi	近𨗥 gần gũi [𠸨]	[翻] U+285E5 (U+285E5 U+E0101)
𨗥（𨗥󠄁）	gụi	近𨗥 gần gụi [𠸨]	[翻]
𡃕	gùng	𢭬𡃕 gạn gùng [𠸨]	[翻] U+210D5
薑	gừng	榘薑 củ gừng	[翻] U+8591
槶	guốc	鞢槶 dép guốc · 槶楛 guốc gỗ	U+69F6
𤶹	guộc	𤷍𤶹 gầy guộc [𠸨]	U+24DB9
鎌	gươm	錆鎌 thanh gươm	U+938C
睒	gườm	睒睒 gườm gườm [𠸨]	U+7752
軖	guồng	軖𣛠 guồng máy · 軖捁𥾘 guồng kéo sợi	U+8ED6
縎	gút	紩縎黹 thắt gút chỉ	[翻] U+7E0E
縎	gùn	縎縎 gùn gút [𠸨]	⇔ 縎 gút
咦	gi		𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục. [翻] U+54A6
釲	gỉ	𨫪釲 han gỉ · 釲𡏥 gỉ sét · 釲眜 gỉ mắt · 釲𪖫 gỉ mũi	U+91F2
釲	rỉ	釲𡏥 rỉ sét	⇔ 釲 gỉ
侇	gí	㑲侇 nằm gí · 碮𠻅侇𬺗 đè bẹp gí xuống	U+4F87
枷	gia	𣘃校枷 cây giâu gia	U+67B7
枷	da		⇔ 枷 gia
迆	giã	迆𥽌 giã gạo	U+8FC6
捔	giác	捔𨉞 giác lưng	U+6354
偕	GIAI	百年偕老 bách niên giai lão	U+5055
邂	GIẢI	邂逅 giải cấu	U+9082
𦄂	giải	𦄂賞 giải thưởng	[異] 繲 U+26102
𤐃	giãi	𤐃排 giãi bày · 𤐃𤍊 giãi tỏ	U+24403
㑘	giáy	𠊛㑘 người Giáy	U+3458
䟢	giãy	䟢𣩂 giãy chết · 䟢䄧 giãy nảy	U+47E2
䟢	rẫy		⇔ 䟢 giãy
𦀊	giây	墨𦀊𠓨襖 mực giây vào áo	U+2600A
𥹋	giầy	餅𥹋 bánh giầy	U+25E4B
𥹋	dày		⇔ 𥹋 giầy
𥹋	dầy		⇔ 𥹋 giầy
𨡉	giấm	𨡉𤽸 giấm trắng · 䣷如𨡉 chua như giấm	U+28849
𨡉	dấm		⇔ 𨡉 giấm
𥋶	giấm	𥋶搥 giấm giúi	U+252F6
𥋶	dấm	𥋶𠏮 dấm duối · 𥋶唋 dấm dớ	⇔ 𥋶 giấm
𨃵	giẫm	𨃵踏 giẫm đạp	U+280F5
𨁹	giậm	𨁹蹎 giậm chân	[翻] U+28079
𨁹	dậm		⇔ 𨁹 giậm
𧍴	gián	𡥵𧍴 con gián	U+27374
橺	giàn	橺𦲾 giàn mướp	U+6A7A
𢴟	giằn	𢴟𬴭 giằn giọc [𠸨]	U+22D1F
𢴟	trằn	𢴟𬴭 trằn trọc · 𤴬𢴟𣅶𠭤胣 đau trằn lúc trở dạ	
洚	giáng	洚朱𠬠梞 giáng cho một gậy	U+6D1A
𢭩	giằng	𢭩扯 giằng xé · 𢭩𢮩 giằng co · 𢭩𢴘 giằng xay	U+22B69
𥯰	giành	丐𥯰 cái giành	U+25BF0
蛟	GIAO	蛟龍 giao long	U+86DF
狡	GIẢO	奸狡 gian giảo · 狡猾 giảo hoạt · 狡詐 giảo trá	U+72E1
絞	GIẢO	罪絞 tội giảo · 絞刑 giảo hình	U+7D5E
𥋽	giáo	𥋽𠭤 giáo giở [𠸨]	U+252FD
𥋽	tráo	𥋽𥉲 tráo trợn · 𥗁𥋽 trơ tráo ·打𥋽 đánh tráo	
𥋽	trao	𥋽𥋽 trao tráo [𠸨]	⇔ 𥋽 tráo
𣎖	giập	𣎖捏 giập nát · 𦡣𣎖 bầm giập	U+23396
𣎖	chập		⇔ 𣎖 giập
泆	giạt	㵢泆 trôi giạt · 泆𠓨坡 giạt vào bờ	U+6CC6
𢳂	giắt	𢳂𢬣僥 giắt tay nhau · 𢳂錢𠓨紩 𠦻 giắt tiền vào thắt lưng	U+22CC2
𥭛	giậu	樔𥭛 rào giậu · 𥭛楛𨒺茹 giậu gỗ quanh nhà	U+25B5B
綵	giẻ	綵𧛊 giẻ rách	U+7DB5
𪂰	giẻ	𪀄𪂰𪇋 chim giẻ cùi	U+2A0B0
秷	gié	秷穭 gié lúa	U+79F7
𦟘	gien	部𦟘 bộ gen · 相作𦟘 tương tác gen	U+267D8
𦟘	gen		⇔ 𦟘 gien
𧁶	giền	蔞𧁶 rau giền	[翻] U+27076
𧁶	dền		⇔ 𧁶 giền
𫣂	giềng	㫰𫣂 láng giềng	[翻] U+2B8C2
𫣂	giênh		𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục. [翻]
佋	giẹo	佋住 giẹo giọ [𠸨]	U+4F4B
浙	giẹt	𪖫浙 mũi giẹt · 𤷿㐌浙𬺗 nhọt đã giẹt xuống	[翻] U+6D59
嘋	giễu	𠶜嘋 chế giễu · 嘋𠹳 giễu cợt	U+560B
𥱰	giò	𥱰𤙭 giò bò · 𥱰鮓 giò chả	U+25C70
𨃝	giò	蹎𨃝 chân giò	U+280DD
捛	giở	捛冊 giở sách · 捛襖𫥨𬡶 giở áo ra mặc	U+635B
𬴭	giọc	𢴟𬴭 giằn giọc [𠸨]	U+2CD2D
𬴭	trọc	𠞟𬴭 cạo trọc · 𬴭頭 trọc đầu	[翻]
䇶	giốc	㗂䇶 tiếng giốc	[翻] U+41F6
蜼	giòi	𡥵蜼 con giòi	U+873C
蜼	dòi		⇔ 蜼 giòi
介	GIỚI	介紹 giới thiệu · 介詞 giới từ	[翻] U+4ECB
伅	giòn	伅偖 giòn giã · 黰伅 đen giòn	[翻] U+4F05
笗	giong	抪檜笗 bó củi giong · 樔笗 rào giong	U+7B17
𩢦	giong	𩢦燭 giong đuốc · 𩢦帆𫥨𣾺 giong buồm ra khơi · 𩢦𤛠𫥨𬏇 giong trâu ra ruộng	U+298A6
𪢊	gióng	𪢊鐘 gióng chuông · 𪢊㨋 gióng giả [𠸨]	U+2A88A
柊	giông	柊𪥘󠄁𢆥 giông cả năm	U+67CA
𧊕	giông	麒𧊕 kì giông · 盲𧊕 manh giông · 沙𧊕 sa giông	U+27295
㘁	gịt	㘁𪖫 gịt mũi	[翻] U+3601
𱡃（𪮴）	giũ	𣾹𱡃 giặt giũ	[翻] U+31843 (U+2ABB4)
銼	giũa	丐銼 cái giũa · 𥕄銼 mài giũa · 𠞡銼 gọt giũa	U+92BC
㗎	giụa	𣼼㗎 giàn giụa [𠸨] · 䟢㗎 giãy giụa [𠸨]	U+35CE
搥	giúi	𨁟搥 ngã giúi · 𥋶搥 giấm giúi · 搥𢵌 giúi giụi	U+6425
搥	dúi	搥朱 dúi cho · 搥𢵌 dúi dụi · 𡥵搥 con dúi	⇔ 搥 giúi
𢵌	giụi	𢵌眜 giụi mắt	U+22D4C
𢵌	dụi	𢵌眜 dụi mắt · 搥𢵌 dúi dụi	⇔ 𢵌 giụi
𡑓	giùm	𫜵𡑓 làm giùm	[翻] U+21453
撴	giun	撴僥𨁟 giun nhau ngã	[翻] U+64B4
掁	giương	掁弓 giương cung · 掁圍 giương vây · 掁眜 giương mắt	U+6381
𧯶	há	𧘇𧯶沛𱺵惡咍哰？ Ấy há phải là ác hay sao?	U+27BF6
霞	HÀ	雲霞 vân hà	[翻] U+971E
郝	HÁC	𣱆郝 họ Hác · 嘝郝 hốc hác [𠸨]	U+90DD
鶴	HẠC	𪀄鶴 chim hạc · 紅鶴 hồng hạc	U+9DB4
黑	HẮC	黑素 hắc tố · 黑煙 hắc ín [摱] ·黑店 hắc điếm · 黑暗 hắc ám ·黑馬 hắc mã · 黑猩猩 hắc tinh tinh	U+9ED1
黑	hắc	黑斧 hắc búa · 㤚黑 hăng hắc ·排算黑過 bài toán hắc quá	
嘿	hặc	𡄆嘿 hục hặc [𠸨]	[翻] U+563F
孩	HÀI	孩兒 hài nhi	U+5B69
鞋	HÀI	對鞋 đôi hài	U+978B
唉	hãy	唉朱別 hãy cho biết · 唉𡀳 hãy còn	U+5509
㦑	hám	㦑名 hám danh · 㦑利 hám lợi · 洃㦑 hôi hám [𠸨]	U+3991
噷	hăm	噷𠇍歲 hăm mấy tuổi	U+5677
㤷	hằm	㤷㤷 hằm hằm · 㤷嗄 hằm hè	U+3937
㤷	hầm	㤷嗄 hầm hè	⇔ 㤷 hằm
𥼲	hẩm	𩚵𥼲 cơm hẩm · 𥼲㳜 hẩm hiu	U+25F32
𤐚	hầm	𤐚𩩫 hầm xương	U+2441A
爁	hậm	爁𤍋 hậm hực	U+7201
𰗯	han	蘿𰗯 lá han	U+305EF
𨫪	han	𨫪釲 han rỉ	U+28AEA
𪡗	han	𠳨𪡗 hỏi han	U+2A857
暵	HÁN	旱暵 hạn hán	U+66B5
痕	hằn	䌰痕 nếp hằn · 痕餅車 hằn bánh xe	U+75D5
痕	ngấn	𤵖痕 vết ngấn · 痕渃 ngấn nước	
釁	HẤN	𨠳釁 gây hấn · 𢭁釁 hề hấn [𠸨]	U+91C1
胻	háng	樣胻 dạng háng · 𠋥𤻭胻啊？ mày ngứa háng à?	U+80FB
响	hắng	哅响 húng hắng · 响𠰩 hắng giọng	U+54CD
𫰟	HẰNG	𫰟娥 Hằng Nga	U+2BC1F
哘	hẵng	哘抵妬 hẵng để đó	U+54D8
哼	hanh	𢝜哼 đành hanh · 𩙍哼 gió hanh	U+54FC
衡	HÀNH	權衡 quyền hành · 玉衡 ngọc hành	U+8861
毫	HÀO	錢毫 tiền hào	U+6BEB
蠔	HÀO	𡥵蠔 con hào	U+8814
蠔	hàu	𡥵蠔 con hàu	
𠲡	hão	許𠲡 hứa hão · 𠲡玄 hão huyền	U+20CA1
昊	HẠO		𡨸漢尼主要得使用朱𠸜男界。 Chữ Hán này chủ yếu được sử dụng cho tên nam giới. U+660A
浩	HẠO	浩然 hạo nhiên · 浩氣 hạo khí	U+6D69
顥	HẠO		𡨸漢尼主要得使用朱𠸜男界。 Chữ Hán này chủ yếu được sử dụng cho tên nam giới. U+9865
灝	HẠO		𡨸漢尼主要得使用朱𠸜男界。 Chữ Hán này chủ yếu được sử dụng cho tên nam giới. U+705D
盍	háp		𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục. [翻] U+76CD
熻	hấp	熻𩚵 hấp cơm · 熻熻 hâm hấp [𠸨]	U+71BB
熻	hâm	熻熻 hâm hấp [𠸨]	⇔ 熻 hấp
𫤾	hắt	𫤾癐 hắt hủi · 𫤾㳜 hắt hiu	U+2B93E
迄	hất	迄𨀿 hất cẳng · 迄𦛜 hất hàm	U+8FC4
𬷎	hâu	鷂𬷎 diều hâu	U+2CDCE
茩	hấu	荼茩 dưa hấu	U+8329
𭌟	hê	嘑𭌟 hả hê [𠸨]	U+2D31F
𠯋	hể	𠯋嘑 hể hả	U+20BCB
𠯋	hi	唭𠯋𠯋 cười hi hi [聲]	
嗘	hề	唭嗘嗘 cười hề hề	U+55D8
侅	hếch	𪖫侅 mũi hếch · 侅蹎𬨠 hếch chân lên	[翻] U+4F85
劾	hệch	斛劾 hộc hệch [𠸨]	U+52BE
𡑯	hẻm	𡉦𡑯 ngõ hẻm · 塘𡑯 đường hẻm	[翻] U+2146F
𠻃	hen	𠯖𠻃 ho hen	[翻] U+20EC3
𭉑	hẹn	許𭉑 hứa hẹn · 𭉑㗅 hẹn hò [𠸨]	[異] 限 U+2D251
䘆	hến	𡥵䘆 con hến · 䘆𤇤 hến xào	U+4606
亨	hênh	𤾟亨 hớ hênh · 惺亨 tênh hênh	[翻] U+4EA8
啈	hểnh	𠸣啈 hổng hểnh [𠸨]	U+5548
㺧	heo	𡥵㺧 con heo	U+3EA7
𤉗	héo	𤉗焝 héo hon · 枯𤉗 khô héo	U+24257
鶡	hét	𪀄鶡 chim hét	U+9DA1
𩊽	hia	對𩊽 đôi hia	U+292BD
𢷓	hích	𢷓𣎣𢬣𠓨𦘹伴 hích khuỷu tay vào sườn bạn · 用把𦠘𢷓𠬠丐 dùng bả vai hích một cái	U+22DD3
𢷓	huých	𢷓㹥𫥨哏 huých chó ra cắn	⇔ 𢷓 hích
檄	HỊCH	檄文 hịch văn	[翻] U+6A84
嫌	HIỀM	嫌隙 hiềm khích · 嫌疑 hiềm nghi	U+5ACC
嫌	hem	潛嫌 tèm hem [𠸨]	
軒	HIÊN	行軒 hàng hiên · 𠃅軒 mái hiên	U+8ED2
憲	HIẾN	憲法 hiến pháp	U+61B2
蠍	HIẾT	天蠍 Thiên Hiết	U+880D
蠍	hạt	天蠍 Thiên Hạt	⇔ 蠍 hiết
蠍	yết	天蠍 Thiên Yết	⇔ 蠍 hiết
校	HIỆU	校冊 hiệu sách · 校長 hiệu trưởng · 監校 giám hiệu	U+6821
校	giâu	𣘃校枷 cây giâu gia	
𥋵	him	𥋵𥋵 him him	[翻] U+252F5
嬐	hĩm	丐嬐 cái hĩm	U+5B10
馨	HINH	馨香 hinh hương	U+99A8
型	HÌNH	模型 mô hình · 典型 điển hình · 類型 loại hình	U+578B
䀫	híp	䀫眜 híp mắt	[翻] U+402B
𭊪	hít	㖧𭊪 hôn hít	[翻] U+2D2AA
㳜	hiu	𤂂㳜 đìu hiu · 㳜𣔲 hiu quạnh	[翻] U+3CDC
𢜜	hổ	醜𢜜 xấu hổ · 𢜜𢢆 hổ thẹn	U+2271C
諕	hố	被諕 bị hố	U+8AD5
壺	HỒ	銅壺 đồng hồ	U+58FA
醐	HỒ	醍醐 đề hồ	U+9190
怙	hỗ	怙價 hỗ giá	U+6019
𤏤	hơ	𤏤過焒 hơ qua lửa	[翻] U+243E4
𤾟	hớ	𤾟亨 hớ hênh	U+24F9F
𤾟	hơ	𤾟𤾟 hơ hớ [𠸨]	⇔ 𤾟 hớ
鏵	hoa	𠬠鏵 một hoa	單位𢵋 đơn vị đo U+93F5
嚯	hoác	㢅嚯 rộng hoác · 𢲫嚯 mở hoác · 𥧪嚯 trống hoác · 𫫥嚯 toang hoác	U+56AF
嚯	oác	嚯嚯 oác oác [𠸨]	[翻]
霍	HOẮC	霍亂 hoắc loạn · 揮霍 huy hoắc	U+970D
霍	hoắc	𨓐霍 lạ hoắc · 啐霍 thối hoắc ·醜霍 xấu hoắc	
藿	HOẮC	藿香 hoắc hương	U+85FF
藿	hoáy	咥渨 hí hoáy [𠸨]	U+6E28
渨	ối	𩓜渨 màng ối · 渃渨 nước ối ·栓塞渨 thuyên tắc ối · 𡀳渨𫥨蒂 còn ối ra đấy	
𥩇	hoắm	漊𥩇 sâu hoắm	U+25A47
浣	hoán	糖浣 đường hoán	U+6D63
換	HOÁN	換𢷮 hoán đổi · 換改 hoán cải ·交換 giao hoán	U+63DB
喚	HOÁN	呼喚 hô hoán	U+559A
桓	HOÀN	盤桓 bàn hoàn	U+6853
宦	HOẠN	宦官 hoạn quan · 宦𤞼 hoạn lợn	U+5BA6
唍	hoằn	和唍 hoạ hoằn [𠸨]	U+550D
惶	HOÀNG	驚惶 kinh hoàng	U+60F6
𣹔	hoảnh	𣋝𣹔 ráo hoảnh	U+23E54
猾	HOẠT	狡猾 giảo hoạt	U+733E
𨨅	hoắt	𨮐𨨅 nhọn hoắt	U+28A05
𫘲	hóc	閧𫘲 hỏng hóc	U+2B632
嘝	hốc	𠹛嘝 há hốc · 𡎟嘝 hang hốc · 𥧪嘝 trống hốc · 嘝郝 hốc hác [𠸨]	U+561D
斛	HỘC	𠬠斛 một hộc	單位𢵋 đơn vị đo U+659B
斛	hộc	斛速 hộc tốc [𠸨]	
斛	hồng	斛斛 hồng hộc [𠸨]	⇔ 斛 hộc
鵠	HỘC	鴻鵠 hồng hộc	U+9D60
暉	hoe	𧹻暉 đỏ hoe · 咏暉 vắng hoe	U+6689
槐	HOÈ	𣘃槐 cây hoè	U+69D0
𠽡	hoẹ	橫𠽡 hoạnh hoẹ [𠸨]	U+20F61
𤸫	hoen	𤸫釲 hoen gỉ · 𤸫癋 hoen ố	U+24E2B
宛	hoẻn	宣宛 toen hoẻn [𠸨]	U+5B9B
𠲣	hoét	𧹻𠲣 đỏ hoét · 花𠲣 hoa hoét [𠸨]	U+20CA3
脄	hoi	苿脄 mùi hoi · 𠳾脄 hẳn hoi ·險脄 hiếm hoi	U+8104
洄	hói	掏汒𢵼洄 đào mương vét hói · 𢵼洄引渃 vét hói dẫn nước	U+6D04
䰎	hói	䰎頭 hói đầu · 瀝䰎 rạch hói	U+4C0E
賄	HỐI	賄賂 hối lộ	U+8CC4
鮰	hồi	𩵜鮰 cá hồi	U+9BB0
咳	hỡi	咳喂 hỡi ôi [嘆]	U+54B3
亥	HỢI	𣇞亥 giờ Hợi · 乙亥 Ất Hợi	U+4EA5
𩩿	hom	𩩿嫌 hom hem [𠸨]	U+29A7F
𠮬	hỏn	准𠮬 chỏn hỏn · 𧹻𠮬 đỏ hỏn	U+20BAC
𠮬	hon	𠮬𠮬 hon hỏn [𠸨]	⇔ 𠮬 hỏn
𧍎	hôn	𡥵𧍎 con hôn	U+2734E
魂	HỒN	心魂 tâm hồn · 靈魂 linh hồn ·招魂 chiêu hồn · 魂魄 hồn phách	U+9B42
餛	HỒN	餛飩 hồn đồn	U+991B
餛	hoành	餛飩 hoành thánh [摱]	
烘	hong	烘𣌝 hong nắng	U+70D8
𤆺	hóng	蒲𤆺 bồ hóng	U+241BA
𥈰	hóng	𥈰𩙍 hóng gió · 𥈰𡀯 hóng chuyện	U+25230
𥈰	hong	𥈰𥈰 hong hóng [𠸨]	⇔ 𥈰 hóng
𢞃	hòng	𢞃懞 hòng mong · 𢞃矓 hòng trông · 揨𢞃 đừng hòng	U+22783
胷	hông	𫰅胷𪥘󠄁胻 to hông cả háng · 促 𠓨胷埃 thúc vào hông ai	U+80F7
𡏠	hông	鈉𡏠 nồi hông · 𡏠𥸷 hông xôi	U+213E0
吼	hống	吼赫 hống hách	U+543C
洪	HỒNG	洪水 hồng thuỷ	U+6D2A
𨸚	hóp	𨸚𦟐 hóp má	U+28E1A
匣	hộp	匣茶 hộp trà	U+5323
𪡄	hộp	徊𪡄 hồi hộp	[翻] U+2A844
呷	hớp	呷魂 hớp hồn · 𩵜呷渤 cá hớp bọt · 呷𠬠喁茶 hớp một ngụm trà	U+5477
㧾	hốt	㧾𧅫 hốt rác	U+39FE
㧾	hót		⇔ 㧾 hốt
胕	hủ	豆胕 tàu-hủ [摱]	U+80D5
胕	phở	豆胕 tào-phở [摱]	
胕	phớ	豆胕 tào-phớ [摱]	
栩	HỦ	𠊛羅栩 người La Hủ	[翻] U+6829
腐	HỦ	腐敗 hủ bại · 古腐 cổ hủ · 腐儒 hủ nho · 豆腐 đậu hủ	U+8150
腐	PHỤ	豆腐 đậu phụ	
腐	hũ	豆腐 đậu hũ	
粿	hủ	粿條 hủ tiếu [摱]	U+7CBF
吁	hú	吁咥 hú hí · 𪀄𭉫吁 chim tu hú	U+5401
𪺛	hũ	丐𪺛 cái hũ · 𪺛荼 hũ dưa · 𪺛式咹 hũ thức ăn	U+2AE9B
譃	hự	淤譃 ứ hự [嘆]	U+8B43
𫊯	hua	醬固𫊯 tương có hua	U+2B2AF
勖	húc	勖頭 húc đầu · 𤛠𤙭勖僥 trâu bò húc nhau	U+52D6
𡄆（𡄆󠄁）	hục	熊𡄆 hùng hục	[翻] U+21106 (U+21106 U+E0101)
携	HUỀ	提携 đề huề	U+643A
蕙	HUỆ	花蕙 hoa huệ	U+8559
𠇟	huênh	𠇟荒 huênh hoang [𠸨]	U+201DF
𠇟	vãnh	伆𠇟 vặt vãnh [𠸨]	
癐（𤶊）	hủi	病癐 bệnh hủi · 𫤾癐 hắt hủi	U+7650 (U+24D8A)
𠜮	húi	𠜮𩯀 húi tóc	[翻] U+2072E
諱	HUÝ	諱名 huý danh · 忌諱 kị huý	U+8AF1
鬩	huỵch	螢鬩 huỳnh huỵch [聲]	U+9B29
萱	HUYÊN	茹萱 nhà huyên	U+8431
萱	hiên	花萱 hoa hiên	
喧	HUYÊN	喧鬧 huyên náo · 喧天 huyên thuyên	U+55A7
喧	luyên	喧天 luyên thuyên	
暄	HUYÊN	寒暄 hàn huyên	U+6684
弦	HUYỀN	六弦琴 lục huyền cầm	U+5F26
懸	HUYỀN	懸案 huyền án	U+61F8
炫	HUYỄN	炫耀 huyễn diệu	U+70AB
眩	HUYỄN	眩惑 huyễn hoặc · 眩想 huyễn tưởng	U+7729
穴	HUYỆT	穴道 huyệt đạo · 巢穴 sào huyệt	U+7A74
𢬔	huýt	𢬔𧥇 huýt còi · 𢬔哨 huýt sáo	U+22B14
𥵗	hum	𥳍𥵗 tùm hum	[翻] U+25D57
𤞻	hùm	𩵽𤞻 tôm hùm	U+247BB
𦭪	húng	蔞𦭪 rau húng · 𦭪桂 húng quế · 𦭪橙 húng chanh	U+26B6A
哅	húng	哅响 húng hắng	U+54C5
𤈍	hửng	熷𤈍 tưng hửng	U+2420D
𢯘	huơ	𢯘𢬣 huơ tay · 𢯘鎌 huơ gươm	U+22BD8
謔	HƯỚC	諧謔 hài hước	U+8B14
㹯	hươu	𡥵㹯 con hươu · 㹯𣇟 hươu sao · 㹯高𦙶 hươu cao cổ	U+3E6F
噏	húp	噏噏 hum húp [𠸨]	[翻] U+564F
噏	hum	噏噏 hum húp [𠸨]	⇔ 噏 húp
貅	HƯU	貔貅 tì hưu	U+8C85
佑	HỰU	永佑 Vĩnh Hựu · 開佑 Khai Hựu	U+4F51
祐	HỰU	天祐 Thiên Hựu · 𫷨延祐 Chùa Diên Hựu · 黎維祐 Lê Duy Hựu	U+7950
