# 常用标准汉喃字表
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# 共7164字（读音不同等，部分字分立多条，合计8928条）
# https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html
# 𡨸漢喃	音讀	Unicode	𥱬註	譬喻

泑	ào	U+6CD1		泑泑 ào ào · 泑𣿌 ào ạt · 嗢泑 ồn ào
幻	ẢO	U+5E7B		幻夢 ảo mộng · 幻影 ảo ảnh · 幻想 ảo tưởng · 幻術 ảo thuật · 幻覺 ảo giác · 𥊚幻 mờ ảo
懊	ẢO	U+61CA		懊惱 ảo não
押	ÁP	U+62BC		押解 áp giải · 𤋾押 ấm áp [𠸨]
壓	ÁP	U+58D3	[翻]	血壓 huyết áp · 壓倒 áp đảo · 壓制 áp chế · 電壓 điện áp · 壓用 áp dụng
邑	ẤP	U+9091	[翻]	村邑 thôn ấp
𬪁	ấp	U+2CA81		揞𬪁 ôm ấp · 㥋𬪁 e ấp
浥	ắp	U+6D65		𣹓浥 đầy ắp
𨁲	ập	U+28072		𨁲𦤾 ập đến
遏	át	U+904F	[翻]	𢭹遏 lấn át · 㲸遏 ướt át · 𡥵遏主 con át chủ [摱]
乙	ẤT	U+4E59		乙丑 Ất Sửu · 乙卯 Ất Mão
𢖮	ắt	U+225AE		𢖮沛 ắt phải · 𢖮𱺵 ắt là
𣿌	ạt	U+23FCC		泑𣿌 ào ạt · 溩𣿌 ồ ạt
漚	âu	U+6F1A		漚船 âu thuyền · 漚艚 âu tàu
嫗	ÂU	U+5AD7		嫗姬 Âu Cơ
甌	ÂU	U+750C		甌鐄 âu vàng · 甌𡊳 âu sành
歐	ÂU	U+6B50		洲歐 Châu Âu
憂	âu	U+6182		憂掩 âu yếm · 𢥈憂 lo âu · 憂愁 âu sầu
謳	âu	U+8B33		謳拱 âu cũng · 謳！𥄬𠫾𡥵 Âu! Ngủ đi con [嘆]
謳	ÂU	U+8B33		謳歌 âu ca
鷗	ÂU	U+9DD7		海鷗 hải âu
幼	ẤU	U+5E7C		苴幼 thơ ấu
毆	ẨU	U+6BC6		毆打 ẩu đả
𬏠	ẩu	U+2C3E0		𬏠𪭥 ẩu tả
曖	áy	U+66D6		曖𢖱 áy náy [𠸨] · 𦹯曖𣈖斜 cỏ áy bóng tà
𧘇	ấy	U+27607	[異] 意	𠊛𧘇 người ấy · 𣅶𧘇 lúc ấy · 𡀯𧘇 chuyện ấy
巴	BA	U+5DF4		巴戟 ba kích
芭	BA	U+82AD		芭蕉 ba tiêu
𠀧	ba	U+20027		𠀧𱑕 ba mươi · 次𠀧 thứ ba · 𠀧沛 ba phải · 𠄼𠀧 dăm ba · 𠀧被 ba bị
爸	ba	U+7238		爸媽 ba má
波	BA	U+6CE2	[翻]	風波 phong ba · 奔波 bôn ba · 微波 vi ba · 波蘭 Ba Lan · 波花 ba hoa [摱]
耙	ba	U+8019		釘耙 đinh ba
蚆	ba	U+8686		𡥵蚆蚆 con ba ba
把	bá	U+628A		把𦠘 bá vai
伯	BÁ	U+4F2F		伯父 bá phụ · 師伯 sư bá · 伯爵 bá tước · 河伯 hà bá
播	BÁ	U+64AD		傳播 truyền bá
噃	bá	U+5643		嗏噃 chà bá [嘆]
霸	BÁ	U+9738		稱雄稱霸 xưng hùng xưng bá · 霸主 bá chủ · 霸王 bá vương
杷	BÀ	U+6777		枇杷 tì bà
婆	BÀ	U+5A46		婆外 bà ngoại · 翁婆 ông bà · 婆𫅷 bà già · 𠄩婆徵 Hai Bà Trưng · 襖婆𠀧 áo bà ba
琶	BÀ	U+7436		琵琶 tì bà
粑	bã	U+7C91		𣷯粑 cặn bã · 粑𨢇 bã rượu
把	bả	U+628A		倴把 bươn bả · 把𦠘 bả vai · 𠬠把穭 một bả lúa
𩚥	bả	U+296A5		𩚥𤝞 bả chuột · 打𩚥 đánh bả
𢗌	bạ	U+225CC		𫌶𢗌 bậy bạ
簿	BẠ	U+7C3F		名簿 danh bạ
伯	bác	U+4F2F	[異] 博	注伯 chú bác · 伯胡 Bác Hồ · 伯𡛔 bác gái
博	BÁC	U+535A	[翻]	博士 bác sĩ · 博學 bác học · 博愛 bác ái
搏	BÁC	U+640F		搏鬥 bác đấu
駁	BÁC	U+99C1		反駁 phản bác · 駁案 bác án · 駁𠬃 bác bỏ
煿	bác	U+717F		煿𱑛 bác trứng
礮	bác	U+792E		大礮 đại bác
北	bấc	U+5317		𩙍北 gió bấc
苝	bấc	U+82DD		𣘃苝 cây bấc · 𥾘苝 sợi bấc · 珥如苝 nhẹ như bấc · 㗂苝㗂鈘 tiếng bấc tiếng chì
北	BẮC	U+5317		方北 phương bắc · 東北 đông bắc · 北愛縺 Bắc Ai-len
𢫣	bắc	U+22AE3		𢫣橋 bắc cầu
博	bạc	U+535A	[翻]	打博 đánh bạc · 𡥵博 con bạc · 牌博 bài bạc · 𠴞博 bàn bạc
鉑	bạc	U+9251		錢鉑 tiền bạc · 鐄鉑 vàng bạc · 頭鉑 đầu bạc
薄	BẠC	U+8584		負薄 phụ bạc · 背薄 bội bạc · 薄𤾷 bạc phếch · 薄殍 bạc bẽo [𠸨]
礴	BẠC	U+7934		磅礴 bàng bạc
堛	bậc	U+581B	[翻]	級堛 cấp bậc · 越堛 vượt bậc · 𠬠堛聖人 một bậc thánh nhân
百	BÁCH	U+767E		百合 bách hợp · 百科 bách khoa · 百貨 bách hoá · 百姓 bách tính
迫	BÁCH	U+8FEB		急迫 cấp bách · 逼迫 bức bách · 窘迫 quẫn bách · 滌迫 sạch bách [𠸨]
柏	BÁCH	U+67CF		松柏 tùng bách · 柏傘 bách tán
八	bạch	U+516B		八足 bạch tuộc
白	BẠCH	U+767D		白金 bạch kim · 明白 minh bạch · 辯白 biện bạch · 剒白 tách bạch
㕷	bạch	U+3577		𤃝㕷 lạch bạch [聲] · 㕷㕷 bạch bạch [聲] · 𢯞比㕷 vỗ bì bạch [聲]
𢴾	bai	U+22D3E		吱𢴾 chê bai · 𢯏𢴾 bẻ bai
沛	BÁI	U+6C9B		安沛 Yên Bái
拜	BÁI	U+62DC	[翻]	崇拜 sùng bái · 拜別 bái biệt
俳	BÀI	U+4FF3		俳句 bài cú
排	bài	U+6392		排習 bài tập · 排詩 bài thơ
排	BÀI	U+6392		安排 an bài · 排除 bài trừ · 排兵布陣 bài binh bố trận
牌	BÀI	U+724C		金牌 kim bài · 牌位 bài vị · 牌博 bài bạc
罷（罢）	BÃI	U+7F77 U+7F62		罷工 bãi công · 罷兵 bãi binh
𡓁（𪤄）	bãi	U+214C1 U+2A904		𡓁𡋥 bãi cát · 𡓁㴜 bãi biển
敗	BẠI	U+6557		打敗 đánh bại · 敗露 bại lộ · 𥟹敗 lụi bại · 勝敗 thắng bại · 敗將 bại tướng · 腐敗 hủ bại
𢵉	bám	U+22D49	[翻]	咹𢵉 ăn bám
𨥧	băm	U+28967		𨥧捕 băm bổ · 𨥧𬚸 băm thịt · 𨥧釩 băm vằm · 郎𨥧 lang băm
𢶸	bấm	U+22DB8		𢶸至 bấm chí · 𢶸䏾 bấm bụng
𦡣	bầm	U+26863		𦻳𦡣 tím bầm · 𦡣𣎖 bầm giập
𫲃󠄁	bầm	U+2BC83 U+E0101		𫲃󠄁𫥨𬏇𥝽𫲃󠄁憞 bầm ra ruộng cấy bầm run
偘	bẫm	U+5058		脯偘 bụ bẫm · 朱𤛠咹偘 cho trâu ăn bẫm · 𫼻得𦁺偘 vớ được món bẫm
稟	BẨM	U+7A1F	[翻]	稟報 bẩm báo · 賦稟 phú bẩm · 𡀫稟 lẩm bẩm [𠸨]
𠹰	bặm	U+20E70		𠹰腜 bặm môi · 𡏧𠹰 bụi bặm [𠸨] · 𠹰𥉲 bặm trợn
班	BAN	U+73ED	[翻]	班𣎀 ban đêm · 班曥 ban trưa · 班頭 ban đầu · 班編輯 ban biên tập
𦶾	BAN	U+26DBE		花𦶾 hoa ban · 𦶾西北 Ban Tây Bắc
頒	BAN	U+9812		頒朱 ban cho · 頒發 ban phát · 𠸒頒 bảo ban [𠸨]
癍	BAN	U+764D		焠發癍 sốt phát ban
半	BÁN	U+534A		半島 bán đảo · 北半球 bắc bán cầu · 半𤯩半𣩂 bán sống bán chết
𬥓	bán	U+2C953		𧷸𬥓 mua bán · 𬥓行 bán hàng
𠴞	bàn	U+20D1E	[異] 𡂑	𠴞𠳚 bàn cãi · 𠴞博 bàn bạc · 𠴞論 bàn luận · 𠴞𠾎 bàn tán
槃	BÀN	U+69C3		涅槃 niết bàn
磐	BÀN	U+78D0		磐石 bàn thạch
盤（盘）	BÀN	U+76E4 U+76D8		盤羅 bàn là · 琫盤 bóng bàn · 地盤 địa bàn · 盤棋 bàn cờ · 盤𧦕 bàn ghế
蟠	BÀN	U+87E0		蟠桃 bàn đào · 蟠龍 bàn long
𠺚	băn	U+20E9A		𠺚𡂷 băn khoăn
𦁂	bấn	U+26042	[翻]	慫𦁂 túng bấn
貧	BẦN	U+8CA7		貧農 bần nông · 貧窮 bần cùng
𢠈	bần	U+22808		𢠈神 bần thần
蘋	bần	U+860B		𣘃蘋 cây bần
𢏑	bắn	U+223D1		𢏑銃 bắn súng · 𢏑信 bắn tin · 𢏑箭 bắn tên
本	BẢN	U+672C		基本 cơ bản · 日本 Nhật Bản
坂	bản	U+5742		坂廊 bản làng · 坂社 bản xã
板	BẢN	U+677F		木板 mộc bản · 板𦃾 bản lề
版	BẢN	U+7248		出版 xuất bản · 版草 bản thảo · 再版 tái bản
𣵲	bẩn	U+23D72		𣵲吵 bẩn thỉu · 洳𣵲 nhơ bẩn · 垢𣵲 cáu bẩn · 膠𣵲 keo bẩn
伴	BẠN	U+4F34		伴佊 bạn bè · 結伴 kết bạn · 伴共笠 bạn cùng lớp
叛	BẠN	U+53DB		叛逆 bạn nghịch
絆	bận	U+7D46	⇔ 絆 vận	咹絆 ăn bận · 絆襖 bận áo · 絆𡀷 bận rộn · 絆褓 bận bịu [𠸨] · 每𣈜𠄩絆 mỗi ngày hai bận
邦	BANG	U+90A6		小邦 tiểu bang · 聯邦 liên bang · 番邦 phiên bang
幫	BANG	U+5E6B		丐幫 cái bang · 幫會 bang hội · 幫派 bang phái
䅭	báng	U+416D		𣘃䅭 cây báng · 勃䅭 bột báng · 䅭銃 báng súng
𤹔	báng	U+24E54		𤹔渃 báng nước
謗	BÁNG	U+8B17		誹謗 phỉ báng
彷	BÀNG	U+5F77		彷徨 bàng hoàng
枋	bàng	U+678B		𣘃枋 cây bàng
䄱	bàng	U+4131		𦹯䄱 cỏ bàng · 𧄑䄱 cói bàng
㥬	bàng	U+396C		𢜢㥬 bẽ bàng · 坌㥬 bộn bàng
膀	BÀNG	U+8180		膀胱 bàng quang
磅	BÀNG	U+78C5		磅礴 bàng bạc
龐	BÀNG	U+9F90		鴻龐 Hồng Bàng · 𣱆龐 họ Bàng
氷	bâng	U+6C37		氷傾 bâng khuâng · 氷撾 bâng quơ
唪	bẫng	U+552A	⇔ 唪 bỗng	珥唪 nhẹ bẫng
氷	BĂNG	U+6C37		㨂氷 đóng băng · 氷𬰊 băng giá · 氷翁 băng ông
崩	BĂNG	U+5D29		崩遐 băng hà · 崩駕 băng giá · 崩血 băng huyết · 𣇟崩 sao băng
繃	BĂNG	U+7E43		繃抪 băng bó · 繃𢬣 băng tay · 㧅繃 đeo băng · 𧦕繃 ghế băng · 茹繃 nhà băng [摱]
𬦋	băng	U+2C98B		𬦋過 băng qua · 消𬦋 tiêu băng · 𬦋涳 băng xăng · 越𤂬𬦋嵃 vượt suối băng ngàn
平	bằng	U+5E73		平僥 bằng nhau · 垌平 đồng bằng · 公平 công bằng · 平𢚸 bằng lòng · 𠬠共𠬠平𠄩 một cộng một bằng hai
朋	BẰNG	U+670B	[翻]	朋友 bằng hữu
憑	BẰNG	U+6191		憑證 bằng chứng · 文憑 văn bằng · 證明憑事寔 chứng minh bằng sự thực
鵬	BẰNG	U+9D6C		𪀄鵬 chim bằng
𠶉	bẵng	U+20D89		𠬃𠶉 bỏ bẵng · 悁𠶉𠫾 quên bẵng đi
榜	bảng	U+699C		榜𨅉 bảng lảng
榜	BẢNG	U+699C		榜眼 bảng nhãn · 副榜 phó bảng · 榜黰 bảng đen · 榜統計 bảng thống kê · 𤥑鬥榜 vòng đấu bảng
鎊	BẢNG	U+938A		鎊英 bảng Anh
蚌	BẠNG	U+868C		蚌鷸 bạng duật
捠	banh	U+6360		捠眜 banh mắt · 𤏬捠 sáng banh · 跢捠 đá banh [摱] · 參捠 sâm banh (panh) [摱]
餅	bánh	U+9905	[異] 𩛄	餅蒸 bánh chưng · 餅麪 bánh mì · 餅車 bánh xe · 餅梩 bánh lái
彭	bành	U+5F6D		𧦕彭 ghế bành · 腥彭 tanh bành [𠸨] · 彭蘇 bành-tô [摱]
彭	BÀNH	U+5F6D		𣱆彭 họ Bành
膨	BÀNH	U+81A8		膨脹 bành trướng · 膨膨 bành bành
炳	bảnh	U+70B3		炳包 bảnh bao [𠸨]
包	bao	U+5305	[翻]	包饒 bao nhiêu · 包𣇞 bao giờ · 炳包 bảnh bao [𠸨]
包	BAO	U+5305	[翻]	包襆 bao bọc · 包劍 bao kiếm · 包含 bao hàm · 包容 bao dung
褒	BAO	U+8912		褒貶 bao biếm
豹	BÁO	U+8C79		豹𤜬 báo săn · 豹獅子 báo sư tử
報	BÁO	U+5831		報誌 báo chí · 報恩 báo ân · 報讎 báo thù · 茹報 nhà báo · 報夢 báo mộng · 報信 báo tin
刨	BÀO	U+5228		刨楛 bào gỗ · 丐刨 cái bào
泡	BÀO	U+6CE1		泡影 bào ảnh
胞	BÀO	U+80DE		胞胎 bào thai · 同胞 đồng bào · 細胞 tế bào
炮	BÀO	U+70AE		炮製 bào chế
袍	BÀO	U+888D		襖袍 áo bào
鮑	BÀO	U+9B91		鮑魚 bào ngư
抱	BÃO	U+62B1		懷抱 hoài bão
雹	bão	U+96F9		𩙍雹 gió bão · 雹𡋥 bão cát · 𩘪雹 dông bão · 𤴬雹 đau bão · 雹咂 bão táp
飽	BÃO	U+98FD		飽和 bão hoà
保	BẢO	U+4FDD		保護 bảo hộ · 擔保 đảm bảo · 保持 bảo trì · 保行 bảo hành
𠸒	bảo	U+20E12		勸𠸒 khuyên bảo · 𠰺𠸒 dạy bảo
寶（宝）	BẢO	U+5BF6 U+5B9D		寶物 bảo vật · 寶劍 bảo kiếm · 寶藏 bảo tàng
怉	bạo	U+6009		怉𢢀 bạo dạn · 怉𠰘 bạo miệng · 舉止窒怉 cử chỉ rất bạo
暴	BẠO	U+66B4		暴力 bạo lực · 粗暴 thô bạo · 暴動 bạo động · 暴行 bạo hành · 殘暴 tàn bạo · 暴虐 bạo ngược
乏	bấp	U+4E4F		乏𦛼 bấp bênh
𣔟	bắp	U+2351F	[翻]	𣔟荎 bắp chuối · 𣔟芥 bắp cải · 𣔟蹎 bắp chân
潗	bập	U+6F57	[翻]	潗𠹯 bập bẹ · 吶𤇥潗 nói lập bập
八	BÁT	U+516B		七八 thất bát · 八仙 bát tiên · 八角 bát giác · 八索 bát sách · 八𬇣 bát nháo · 八𬳜 bát ngát
般	BÁT	U+822C		般若 Bát Nhã
鉢	BÁT	U+9262		鉢𥐨 bát đĩa · 鉢𩚵 bát cơm
潑	BÁT	U+6F51	[翻]	活潑 hoạt bát
𦪑	bát	U+26A91		𢭄𦪑 cạy bát
不	BẤT	U+4E0D		不安 bất an · 不期 bất kì · 不執 bất chấp · 不𥓉𥘃 bất thình lình
扒	bắt	U+6252	[異] 撥 抔	扒𫃚 bắt buộc · 扒着 bắt chước · 扒脈 bắt mạch · 扒𡃓 bắt bớ [𠸨] · 扒﨤 bắt gặp
拔	bạt	U+62D4		拔𤽶 bạt vía · 拔艚 bạt tầu · 拔命 bạt mạng · 𨄂拔 lang bạt · 拔𦖻 bạt tai · 拔𡶀拫瀧 bạt núi ngăn sông
拔	BẠT	U+62D4		提拔 đề bạt · 拔劍 bạt kiếm
紱	bạt	U+7D31		紱𩂏 bạt che [摱] · 茹紱 nhà bạt [摱] · 寮紱 lều bạt [摱] · 𡲫紱 vải bạt [摱]
跋	BẠT	U+8DCB		跋涉 bạt thiệp · 𠳒跋 lời bạt
鈸	bạt	U+9238		鐃鈸 nạo bạt · 銅鈸 đồng bạt [摱]
弼	bật	U+5F3C	[翻]	弼焒 bật lửa · 弼畑 bật đèn
匐	bặt	U+5310		唵匐 im bặt
寶（宝）	báu	U+5BF6 U+5B9D		貴寶 quý báu · 寶物 báu vật · 珠寶 châu báu
垉	bàu	U+5789		垉蓮 bàu sen · 恅垉 làu bàu [𠸨]
裒	bâu	U+88D2		裒𠓨 bâu vào · 裒襖 bâu áo
㨐	bấu	U+3A10		㨐至 bấu chí · 㨐㧼 bấu véo · 㨐𬗠 bấu víu
保	bầu	U+4FDD	[翻]	保舉 bầu cử · 評保 bình bầu · 𠫾保 đi bầu
匏	bầu	U+530F		匏𡗶 bầu trời · 彈匏 đàn bầu · 固匏 có bầu · 匏欲 bầu dục · 匏苾 bầu bí · 匏空氣 bầu không khí
部	bậu	U+90E8		部𨷯 bậu cửa · 部𠫾共戈 bậu đi cùng qua
𢒎	bay	U+2248E	[異] 𠖤 𩙻	𣛠𢒎 máy bay · 𢒎𧊉 bay bướm · 𢒎𫅤 bay lượn
𠎩	bay	U+203A9		衆𠎩 chúng bay
𨭍	bay	U+28B4D		丐𨭍 cái bay
排	bày	U+6392		呈排 trình bày · 𤐃排 giãi bày · 徵排 trưng bày
𠎩	bây	U+203A9	⇔ 𠎩 bay	
𣊾	bây	U+232BE		𣊾𣇞 bây giờ
㔥（㔥󠄁）	bây	U+3525 U+3525 U+E0101	⇔ 㔥 bảy	㔥㔥 bây bẩy [𠸨]
𱢤	bấy	U+318A4	[異] 閉	𱢤𣇞 bấy giờ · 𱢤𱍿 bấy lâu
排	bầy	U+6392	⇔ 排 bày	
𠍣	bầy	U+20363		𠍣碎 bầy tôi · 𠍣𤢿 bầy sói · 𠍣𤞺 bầy cáo
擺（摆）	bẫy	U+64FA U+6446		蹉𠓨擺 sa vào bẫy
𠤩（𬙞）	bảy	U+20929 U+2C65E		𠤩𱑕 bảy mươi · 次𠤩 thứ bảy
㔥（㔥󠄁）	bảy	U+3525 U+3525 U+E0101		𣈖㔥 bóng bảy [𠸨]
𠤩（𬙞）	bẩy	U+20929 U+2C65E	⇔ 𠤩 bảy	
㔥（㔥󠄁）	bẩy	U+3525 U+3525 U+E0101		㔥𬨠 bẩy lên · 杶㔥 đòn bẩy · 𢭻㔥 xúi bẩy · 憞𪭼㔥 run lẩy bẩy
𫌶	bậy	U+2B336		𫌶𢗌 bậy bạ
𨼚	be	U+28F1A		𦩰𨼚近𤅶 xuồng be gần bến
𠾦	be	U+20FA6		𠾦𠾦 be be [聲] · 𦭷𠾦 màu be [摱] · 𠾦𥇂 be bét [𠸨]
𣛥	be	U+236E5		𣛥𨢇 be rượu · 𣛥𦩰 be xuồng
𫮦	be	U+2BBA6		𫮦坡 be bờ
𡮣	bé	U+21BA3	[異] 𡮤	𡮣𡮈 bé nhỏ · 𡮣𤊡 bé bỏng [𠸨]
佊	bè	U+4F4A		佊伴 bè bạn · 佊黨 bè đảng
𤿤	bè	U+24FE4		艚𤿤 tầu bè · 船𤿤 thuyền bè · 𤿤𥫭 bè nứa
𠶎	bê	U+20D8E		𠶎𦁀 bê bối
𤚆	bê	U+24686		𡥵𤚆 con bê
𢜢	bẽ	U+22722		𢜢㥬 bẽ bàng
閉	BẾ	U+9589		封閉 phong bế · 閉關 bế quan · 閉幕 bế mạc
嬖	bế	U+5B16		捧嬖 bồng bế · 嬖㛪 bế em
皮	bề	U+76AE		皮𩈘 bề mặt · 皮外 bề ngoài · 坌皮 bộn bề [𠸨]
桮	bễ	U+686E		𠺙桮 thổi bễ · 䈵桮 ống bễ · 浖桮 thụt bễ
𢯏	bẻ	U+22BCF		𢯏對 bẻ đôi · 扒𢯏 bắt bẻ
𣷭	bể	U+23DED		底𣷭 đáy bể
𥓳	bể	U+254F3		丐鉢被𥓳耒 cái bát bị bể rồi
梐	bẹ	U+6890		梐荎 bẹ chuối · 梐椰 bẹ dừa
𠹯	bẹ	U+20E6F		潗𠹯 bập bẹ
陛	BỆ	U+965B	[翻]	陛下 bệ hạ · 陛衛 bệ vệ · 堂陛 đường bệ · 下陛 hạ bệ · 陛𨷯 bệ cửa · 陛平 bệ bằng
䏶	bệ	U+43F6		䏶𫄈 bệ rạc · 䏶䐭 bệ sệ
薜	BỆ	U+859C		薜荔 bệ lệ
咟	béc	U+549F	[翻]	咟噴 béc phun · 咟支 béc-giê [摱]
咟	bếch	U+549F	𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục. [翻]	
胉	bệch	U+80C9		𤽸胉 trắng bệch
𠷨	bẻm	U+20DE8	[翻]	𠷨𠵐 bẻm mép
𤶒󠄁	ben	U+24D92 U+E0101		𫉱𤶒󠄁 lang ben
䡢	ben	U+4862		車䡢 xe ben · 車載䡢 xe tải ben
𤓩（𤊰）	bén	U+244E9 U+242B0		焒𤓩𠓨稴 lửa bén vào rơm · 銫𤓩 sắc bén
𠷊	bèn	U+20DCA	[異] 卞 𠂪	應意、𠷊𧷸𬆄 ưng ý, bèn mua ngay
邊（边）	bên	U+908A U+8FB9		邊𥪝 bên trong · 邊𨑗 bên trên · 邊沛 bên phải
惼	bẽn	U+60FC		惼𢤠 bẽn lẽn [𠸨]
