# 常用标准汉喃字表
# 作者：汉喃研究与应用协会（原名：越南汉喃复兴委员会）
# 共7164字（读音不同等，部分字分立多条，合计8928条）
# https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html
# 𡨸漢喃	音讀	Unicode	𥱬註	譬喻

𫣂	giênh	U+2B8C2	𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục.[翻]	
𪶎	gieo	U+2AD8E	[翻]	𪶎𢳯 gieo rắc
𠰉	giéo	U+20C09	⇔ 𠰉 réo	𠰉㗭 giéo giắt [𠸨]
佋	giẹo	U+4F4B		佋住 giẹo giọ [𠸨]
揲	giẹp	U+63F2	⇔ 揲 dẹp	揲揲 gièm giẹp [𠸨]
悊	giết	U+608A	⇔ 悊 diết	
𨦬	giết	U+289AC		𨦬𣩂 giết chết · 𨦬害 giết hại
浙	giẹt	U+6D59	[翻]	𪖫浙 mũi giẹt · 𤷿㐌浙𬺗 nhọt đã giẹt xuống
嘋	giễu	U+560B		𠶜嘋 chế giễu · 嘋𠹳 giễu cợt
𢷹	gìn	U+22DF9	[翻]	𡨺𢷹 giữ gìn [𠸨]
𩙍	gió	U+2964D	[翻][異] 𲋊 𩙋	𩙍雹 gió bão · 𩙍𬁒 gió mùa
𥱰	giò	U+25C70		𥱰𤙭 giò bò · 𥱰鮓 giò chả
𨃝	giò	U+280DD		蹎𨃝 chân giò
𥳉	giô	U+25CC9	⇔ 𥳉 dô	
𥣒	giỗ	U+258D2		𥣒忌 giỗ kị · 𥣒臘 giỗ chạp
䇠	giỏ	U+41E0	[異] 𥶇	丐䇠 cái giỏ
捈	giơ	U+6348	[翻]	捈𢬣 giơ tay
住	giọ	U+4F4F		佋住 giẹo giọ [𠸨]
𣇞	giờ	U+231DE	[異] 除	包𣇞 bao giờ · 𣇞𥋏 giờ giấc [𠸨] · 現𣇞 hiện giờ · 時𣇞 thì giờ
捛	giở	U+635B		捛冊 giở sách · 捛襖𫥨𬡶 giở áo ra mặc
𠭤	giở	U+20B64	⇔ 𠭤 trở	𠭤症 giở chứng · 𠭤𩙍 giở gió · 𠭤𩈘 giở mặt · 𠭤𩱻 giở quẻ
䇶	giốc	U+41F6	[翻]	㗂䇶 tiếng giốc
𬴭	giọc	U+2CD2D		𢴟𬴭 giằn giọc [𠸨]
𢷮	giói	U+22DEE		捛𢷮 giở giói [𠸨]
蜼	giòi	U+873C		𡥵蜼 con giòi
讄	giối	U+8B84	⇔ 讄 trối	讄𫅷 giối già [𠸨]
𢢊	giỗi	U+2288A		𠇁𢢊 giằn giỗi [𠸨]
𠐞	giỏi	U+2041E	[翻]	𠐞江 giỏi giang [𠸨]
介	GIỚI	U+4ECB	[翻]	介紹 giới thiệu · 介詞 giới từ
戒	GIỚI	U+6212		戒嚴 giới nghiêm · 警戒 cảnh giới · 破戒 phá giới · 勸戒 khuyến giới · 五戒 ngũ giới
芥	GIỚI	U+82A5		荊芥 kinh giới
界	GIỚI	U+754C		界限 giới hạn · 邊界 biên giới · 女界 nữ giới · 境界 cảnh giới
械	GIỚI	U+68B0		機械 cơ giới
誡	GIỚI	U+8AA1		告誡 cáo giới
𡗶	giời	U+215F6	⇔ 𡗶 trời	𤏬𡗶 sáng giời · 𡗶𡐙 giời đất
𧋹	giời	U+272F9	[異] 𧐹	𡥵𧋹 con giời · 𧋹蹽 giời leo
𣾶	giội	U+23FB6		𣾶𩄎 giội mưa · 𣾶渃 giội nước · 𣾶𫧂渃冷 giội gáo nước lạnh · 㗂𣾶自壁𡶀 tiếng giội từ vách núi
吮	gion	U+542E	⇔ 吮 giỏn	吮吮 gion giỏn [𠸨]
伅	giòn	U+4F05	[翻]	伅偖 giòn giã · 黰伅 đen giòn
詘	giôn	U+8A58	⇔ 詘 giốt	詘詘 giôn giốt [𠸨]
吮	giỏn	U+542E		吮吮 gion giỏn [𠸨]
𡅉	giỡn	U+21149		吶𡅉 nói giỡn · 𡅉𩈘 giỡn mặt · 𢴉𡅉 đùa giỡn · 𨔈𡅉 chơi giỡn
笗	giong	U+7B17		抪檜笗 bó củi giong · 樔笗 rào giong
𩢦	giong	U+298A6		𩢦燭 giong đuốc · 𩢦帆𫥨𣾺 giong buồm ra khơi · 𩢦𤛠𫥨𬏇 giong trâu ra ruộng
梇	gióng	U+6887		梇𣖙 gióng mía · 梇檜 gióng củi
𪢊	gióng	U+2A88A		𪢊鐘 gióng chuông · 𪢊㨋 gióng giả [𠸨]
𣳔	giòng	U+23CD4	⇔ 𣳔 dòng	
柊	giông	U+67CA		柊𪥘󠄁𢆥 giông cả năm
𥞖	giông	U+25796	⇔ 𥞖 giống[翻]	𥞖𥞖 giông giống [𠸨]
𧊕	giông	U+27295		麒𧊕 kì giông · 盲𧊕 manh giông · 沙𧊕 sa giông
𩘪	giông	U+2962A	⇔ 𩘪 dông	𩘪𩙍 giông gió
𥞖	giống	U+25796	[翻][異] 𠏳	𨠳𥞖 gây giống · 𥞖類 giống loài · 𣳔𥞖 dòng giống · 𥞖僥 giống nhau · 𥞖如 giống như
𣑺	giồng	U+2347A	⇔ 𣑺 trồng	
𠰩	giọng	U+20C29	[異] 喠	𪮞𠰩 giật giọng · 𠰩吶 giọng nói
㷝	giộp	U+3DDD	⇔ 㷝 rộp	
詘	giốt	U+8A58		詘詘 giôn giốt [𠸨]
湥	giọt	U+6E65	[翻]	湥𩄎 giọt mưa · 湥淚 giọt lệ
㘁	gịt	U+3601	[翻]	㘁𪖫 gịt mũi
𢭳	giu	U+22B73	⇔ 𢭳 giú	𢭳𢭳 giu giú [𠸨]
球	giu	U+7403		阮福永球 Nguyễn Phúc Vĩnh Giu
𢭳	giú	U+22B73	⇔ 𢭳 giấu	𢭳𢭳 giu giú [𠸨]
𱡃（𪮴）	giũ	U+31843 U+2ABB4	[翻]	𣾹𱡃 giặt giũ
𡨺	giữ	U+21A3A		監𡨺 giam giữ · 𡨺𥙩 giữ lấy · 留𡨺 lưu giữ · 扒𡨺 bắt giữ · 𡨺𢷹 giữ gìn [𠸨]
銼	giũa	U+92BC		丐銼 cái giũa · 𥕄銼 mài giũa · 𠞡銼 gọt giũa
㗎	giụa	U+35CE		𣼼㗎 giàn giụa [𠸨] · 䟢㗎 giãy giụa [𠸨]
𡧲	giữa	U+219F2	[異] 𫡉	於𡧲 ở giữa · 𡧲澄 giữa chừng
𠽖	giục	U+20F56	[翻]	𠽖偖 giục giã · 𢭻𠽖 xúi giục · 促𠽖 thúc giục · 𠽖𢚸 giục lòng
搥	giúi	U+6425		𨁟搥 ngã giúi · 𥋶搥 giấm giúi · 搥𢵌 giúi giụi
錐	giùi	U+9310	⇔ 錐 dùi	
𢵌	giụi	U+22D4C		𢵌眜 giụi mắt
𡑓	giùm	U+21453	[翻]	𫜵𡑓 làm giùm
𧉙	giun	U+27259		𧉙𡐙 giun đất
撴	giun	U+64B4	[翻]	撴僥𨁟 giun nhau ngã
掁	giương	U+6381		掁弓 giương cung · 掁圍 giương vây · 掁眜 giương mắt
仗	giướng	U+4ED7		𦀊仗 giây giướng [𠸨]
床	giường	U+5E8A		床𥄬 giường ngủ · 床𰨂 giường thờ · 床單 giường đơn · 巾𱱇床 khăn trải giường
𢴇	giúp	U+22D07	[翻][異] 執	𢴇扡 giúp đỡ · 助𢴇 trợ giúp
𪮞	giựt	U+2AB9E	⇔ 𪮞 giật[翻]	
𦁣	go	U+26063	[翻]	縸𦁣𦂾𡲫 mắc go dệt vải · 垓𦁣 gay go [𠸨]
𩸰	go	U+29E30		丐𩸰𩵜 cái go cá
𡍢	gò	U+21362		𡍢埬 gò đống · 𡍢𦟐 gò má
𦁿	gô	U+2607F		𦁿𦙶 gô cổ · 繓𦁿 trói gô · 𪃿𦁿 gà gô
𢫈	gõ	U+22AC8	[異] 𢱗	𢫈𨷯 gõ cửa · 部𢫈 bộ gõ
𥕥	gồ	U+25565		𩑰𥕥 trán gồ · 𡐙𥕥 đất gồ · 𥕥𥗎 gồ ghề [𠸨]
楛	gỗ	U+695B	[異] 椇	𣘃楛 cây gỗ · 板楛 phản gỗ · 捁楛 kéo gỗ
塸	gơ	U+5878	[翻]	塸絏𧃷榔 gơ dây khoai lang · 𠊛𤄷塸萊 người Ra Gơ-lai (Glai)
古	gổ	U+53E4		𨠳古 gây gổ [𠸨]
埧	gờ	U+57E7		埧𤬪 gờ ngói · 埧盤 gờ bàn · 埧𦑃𨷯 gờ cánh cửa
攑（𱠆）	gỡ	U+6511 U+31806		攑黹 gỡ chỉ · 攑㓢 gỡ gạc [𠸨]
𪡽󠄁（𪡽󠄂）	gở	U+2A87D U+E0101 U+2A87DU		吶𪡽󠄁 nói gở · 怪𪡽󠄁 quái gở
寡	goá	U+5BE1		寡婦 goá phụ
𧣳	góc	U+278F3		𣃱𧣳 vuông góc · 荄𧣳 gai góc
㭲	gốc	U+3B72	[翻]	㭲𣘃 gốc cây · 源㭲 nguồn gốc
梏	gộc	U+688F		梞梏 gậy gộc
襘（𫋻）	gói	U+8958 U+2B2FB	[翻]	麪襘 mì gói · 𠓻襘 trọn gói
𨆝（𲃟）	gối	U+2819D U+320DF		頭𨆝 đầu gối
𩠴（𩠠）	gối	U+29834 U+29820		襖𩠴 áo gối · 𩠴頭 gối đầu
膾（脍）	gỏi	U+81BE U+810D		膾捲 gỏi cuốn
噲（哙）	gọi	U+5672 U+54D9		噲𱺵 gọi là · 𠸜噲 tên gọi
澮（浍）	gội	U+6FAE U+6D4D		浸澮 tắm gội · 澮頭 gội đầu · 油澮 dầu gội
寄	gởi	U+5BC4	⇔ 寄 gửi	寄書 gởi thơ
㨳	gợi	U+3A33		㨳意 gợi ý · 㨳𢖵 gợi nhớ · 㨳感 gợi cảm
搛	gom	U+641B	[翻]	搛𢵰 gom góp · 收搛 thu gom
𡑲	gốm	U+21472		𣘊𡑲 đồ gốm · 𠏲𡑲 thợ gốm
𠁟	gồm	U+2005F	[異] 𡗄	包𠁟 bao gồm
𡃍	gớm	U+210CD		𭌲𡃍 ghê gớm · 𡃍𢙕 gớm ghiếc · 𡃍！ gớm!
𢢬	gờm	U+228AC		𢢬𢢬 gờm gờm [𠸨]
菅	gon	U+83C5		菅埬𥟉 gon đống thóc
袞	gòn	U+889E	⇔ 袞 gọn	袞袞 gòn gọn [𠸨]
棍	gòn	U+68CD		柴棍 Sài Gòn
緄	gòn	U+7DC4	[翻]	𧜖棍 chăn gòn
琨	gôn	U+7428		琫琨 bóng gôn [摱] · 𡑝琨 sân gôn [摱] · 榾琨 cột gôn [摱]
袞	gọn	U+889E		袞抗 gọn gàng [𠸨] · 袞技 gọn ghẽ [𠸨]
𰜠	gờn	U+30720	⇔ 𰜠 gợn	𰜠𰜠 gờn gợn [𠸨]
𰜠	gợn	U+30720		𰜠㳥 gợn sóng
杠	gông	U+6760	[翻]	杠檎 gông cùm
𭡅󠄁	gồng	U+2D845 U+E0101		挭𭡅󠄁 gánh gồng · 𭡅󠄁𨉟 gồng mình
嗊	gỏng	U+55CA		噶嗊 gắt gỏng
槓	gọng	U+69D3		槓鏡 gọng kính
𢵰	góp	U+22D70	[翻]	𢵰抇 góp nhặt · 𢵰意 góp ý · 㨂𢵰 đóng góp
佮	gộp	U+4F6E		賚佮 lãi gộp · 佮徠 gộp lại
𨃴	gót	U+280F4	[翻]	𩌂𠾲𨃴 giầy vẹt gót
𠞡	gọt	U+207A1		𠞸𠞡 đẽo gọt · 𠞡𡧲 gọt giũa
淈	gột	U+6DC8		淈𣳮 gột rửa · 淈仍意擬腐敗 gột những ý nghĩ hủ bại
㘗	gu	U+3617		合㘗 hợp gu [摱] · 㘗審美 gu thẩm mĩ [摱]
佝	gù	U+4F5D		佝𨉞 gù lưng
𠵎	gù	U+20D4E	[翻]	㗂𪀄𠵎 tiếng chim gù · 𩠓𠵎 gật gù [𠸨]
㖵	gừ	U+35B5		㖗㖵 gầm gừ
𩠧	gục	U+29827	[翻]	𩠧頭 gục đầu · 𨁟𩠧 ngã gục
𨗥（𨗥󠄁）	gũi	U+285E5 U+285E5 U+E0101	[翻]	近𨗥 gần gũi [𠸨]
𨗥（𨗥󠄁）	gụi	U+285E5 U+285E5 U+E0101	[翻]	近𨗥 gần gụi [𠸨]
寄	gửi	U+5BC4	[異] 𢭮	寄書 gửi thư · 咹寄㑲𢘾 ăn gửi nằm nhờ · 𣘃尋寄 cây tầm gửi
縎	gùn	U+7E0E	⇔ 縎 gút	縎縎 gùn gút [𠸨]
𡃕	gùng	U+210D5	[翻]	𢭬𡃕 gạn gùng [𠸨]
薑	gừng	U+8591	[翻]	榘薑 củ gừng
槶	guốc	U+69F6		鞢槶 dép guốc · 槶楛 guốc gỗ
𤶹	guộc	U+24DB9		𤷍𤶹 gầy guộc [𠸨]
鎌	gươm	U+938C		錆鎌 thanh gươm
睒	gườm	U+7752		睒睒 gườm gườm [𠸨]
軖	guồng	U+8ED6		軖𣛠 guồng máy · 軖捁𥾘 guồng kéo sợi
𦎛	gương	U+2639B		𦎛㑄 gương mẫu · 𦎛𩈘 gương mặt · 𦎛蓮 gương sen
強	gường	U+5F37	⇔ 強 gượng	強強 gường gượng [𠸨]
仰	gưỡng	U+4EF0		𩠓仰 gật gưỡng [𠸨]
強	gượng	U+5F37		𠡚強 gắng gượng · 強押 gượng ép · 強檤 gượng gạo [𠸨]
縎	gút	U+7E0E	[翻]	紩縎黹 thắt gút chỉ
洩	gỵa	U+6D29		𣾹洩 giặt gỵa [𠸨]
哬	ha	U+54EC		哬哬 ha ha [嘆]
𠹛	há	U+20E5B		𠹛𠵘 há mồm · 𠹛嘝 há hốc
𧯶	há	U+27BF6		𧘇𧯶沛𱺵惡咍哰？ Ấy há phải là ác hay sao?
何	HÀ	U+4F55		何必 hà tất · 奈何 nại hà · 何首烏 hà thủ ô
苛	HÀ	U+82DB		苛刻 hà khắc · 苛賤 hà tiện · 苛脅 hà hiếp · 苛濫 hà lạm · 苛𠽍 hà rầm
呵	hà	U+5475		呵唏 hà hơi
河	HÀ	U+6CB3		山河 sơn hà · 河馬 hà mã
荷	HÀ	U+8377		薄荷 bạc hà · 荷蘭 Hà Lan
蚵	hà	U+86B5		蚵㴜 hà biển · 榘𧃷蚵 củ khoai hà · 蚵𤔻 hà móng
遐	HÀ	U+9050		崩遐 băng hà · 升遐 thăng hà
霞	HÀ	U+971E	[翻]	雲霞 vân hà
嘑	hả	U+5611		嘑𭌟 hả hê [𠸨] · 嘑？ Hả? [嘆]
下	HẠ	U+4E0B		天下 thiên hạ · 候下 hầu hạ · 下幔 hạ màn · 下價 hạ giá · 下決心 hạ quyết tâm
夏	HẠ	U+590F		夏至 hạ chí · 春夏秋冬 xuân hạ thu đông
賀	HẠ	U+8CC0		慶賀 khánh hạ · 祝賀 chúc hạ · 賀功 hạ công
暇	HẠ	U+6687		閒暇 nhàn hạ
郝	HÁC	U+90DD		𣱆郝 họ Hác · 嘝郝 hốc hác [𠸨]
黑	hắc	U+9ED1		黑斧 hắc búa · 㤚黑 hăng hắc · 排算黑過 bài toán hắc quá
黑	HẮC	U+9ED1		黑素 hắc tố · 黑煙 hắc ín [摱] · 黑店 hắc điếm · 黑暗 hắc ám · 黑馬 hắc mã · 黑猩猩 hắc tinh tinh
鶴	HẠC	U+9DB4		𪀄鶴 chim hạc · 紅鶴 hồng hạc
嘿	hặc	U+563F	[翻]	𡄆嘿 hục hặc [𠸨]
赫	HÁCH	U+8D6B		赫奕 hách dịch
核	HẠCH	U+6838		核算 hạch toán · 熱核 nhiệt hạch · 核索 hạch sách · 疫核 dịch hạch
𠄩	hai	U+20129		𣎃𠄩 tháng hai · 𠬠𠄩 một hai
𢲨	hái	U+22CA8		𦧜𢲨 lưỡi hái
孩	HÀI	U+5B69		孩兒 hài nhi
鞋	HÀI	U+978B		對鞋 đôi hài
骸	HÀI	U+9AB8		遺骸 di hài · 屍骸 thi hài
諧	HÀI	U+8AE7		諧謔 hài hước · 詼諧 khôi hài · 諧和 hài hoà · 諧𢚸 hài lòng · 諧劇 hài kịch
駭	HÃI	U+99ED		𢜝駭 sợ hãi · 驚駭 kinh hãi
海	HẢI	U+6D77		海洋 hải dương · 海軍 hải quân · 沿海 duyên hải · 海產 hải sản · 海港 hải cảng
害	HẠI	U+5BB3		折害 thiệt hại · 固害 có hại · 侵害 xâm hại
𫻎	ham	U+2BECE		𫻎𡮶 ham chuộng · 𫻎迷 ham mê · 𫻎唬 ham hố [𠸨]
㦑	hám	U+3991		㦑名 hám danh · 㦑利 hám lợi · 洃㦑 hôi hám [𠸨]
含	HÀM	U+542B		包含 bao hàm · 含冤 hàm oan · 含意 hàm ý · 含笑 hàm tiếu · 含量 hàm lượng
函	HÀM	U+51FD	[翻]	函數 hàm số · 函授 hàm thụ · 公函 công hàm
𦛜	hàm	U+266DC		𬗜𦛜 quai hàm · 𪘵𦛜 răng hàm
銜	HÀM	U+929C		品銜 phẩm hàm · 軍銜 quân hàm · 學銜 học hàm
歆	HÂM	U+6B46	[翻]	歆慕 hâm mộ
熻	hâm	U+71BB	⇔ 熻 hấp	熻熻 hâm hấp [𠸨]
噷	hăm	U+5677		噷𠇍歲 hăm mấy tuổi
𢣇	hăm	U+228C7		𢣇𡁱 hăm he · 𢣇𢠇 hăm hở · 𢣇唑 hăm doạ
陷	HÃM	U+9677		陷害 hãm hại · 監陷 giam hãm · 圍陷 vây hãm
啗	hãm	U+5557		啗茶 hãm trà · 啗血 hãm tiết
𡌢	hầm	U+21322		層𡌢 tầng hầm · 塘𡌢 đường hầm
㤷	hầm	U+3937	⇔ 㤷 hằm	㤷嗄 hầm hè
𤐚	hầm	U+2441A		𤐚𩩫 hầm xương
㤷	hằm	U+3937		㤷㤷 hằm hằm · 㤷嗄 hằm hè
𥼲	hẩm	U+25F32		𩚵𥼲 cơm hẩm · 𥼲㳜 hẩm hiu
艦	HẠM	U+8266		戰艦 chiến hạm
爁	hậm	U+7201		爁𤍋 hậm hực
𰗯	han	U+305EF		蘿𰗯 lá han
𨫪	han	U+28AEA		𨫪釲 han rỉ
𪡗	han	U+2A857		𠳨𪡗 hỏi han
漢	HÁN	U+6F22		漢喃 Hán Nôm · 阿羅漢 A La Hán · 𡨸漢 chữ Hán · 好漢 hảo hán · 漢字 Hán tự
暵	HÁN	U+66B5		旱暵 hạn hán
焊	HÀN	U+710A		焊𮇜 hàn gắn · 焊口 hàn khẩu · 焊堤 hàn đê
寒	HÀN	U+5BD2		大寒 đại hàn · 貧寒 bần hàn · 傷寒 thương hàn · 寒暄 hàn huyên · 寒林所 hàn lâm sở
翰	HÀN	U+7FF0	[翻]	院翰林 viện hàn lâm
韓	HÀN	U+97D3		韓國 Hàn Quốc
欣	HÂN	U+6B23	[翻]	欣幸 hân hạnh · 欣歡 hân hoan
汗	HÃN	U+6C57		血汗 huyết hãn · 成吉思汗 Thành Cát Tư Hãn
罕	hãn	U+7F55		𣗓罕 chưa hãn
罕	HÃN	U+7F55		罕有 hãn hữu
悍	HÃN	U+608D		兇悍 hung hãn
釁	HẤN	U+91C1		𨠳釁 gây hấn · 𢭁釁 hề hấn [𠸨]
𪝳	hắn	U+2A773		𪝳些 hắn ta
恨	hằn	U+6068		恨學 hằn học [𠸨] · 讎恨 thù hằn
痕	hằn	U+75D5		䌰痕 nếp hằn · 痕餅車 hằn bánh xe
𠳾	hẳn	U+20CFE	[異] 罕	𢡠𠳾 chắc hẳn · 𠳾脄 hẳn hoi
旱	HẠN	U+65F1		旱暵 hạn hán
限	HẠN	U+9650		加限 gia hạn · 無限 vô hạn · 限制 hạn chế
恨	HẬN	U+6068		讎恨 thù hận · 悔恨 hối hận · 怨恨 oán hận
𡎟	hang	U+2139F		𡎟嘝 hang hốc · 𡎟洞 hang động · 𡎟漊萬丈 hang sâu vạn trượng
胻	háng	U+80FB		樣胻 dạng háng · 𠋥𤻭胻啊？ mày ngứa háng à?
亙	hàng	U+4E99		亙𣇞 hàng giờ · 亙𠦳𢆥 hàng ngàn năm
行	HÀNG	U+884C		行伍 hàng ngũ · 銀行 ngân hàng · 𨷯行 cửa hàng · 行貨 hàng hoá · 渃行 nước hàng
降	HÀNG	U+964D		投降 đầu hàng
航	HÀNG	U+822A		航海 hàng hải · 航空 hàng không
㤚	hăng	U+391A		㤚醝 hăng say · 兇㤚 hung hăng · 㤚𢲨 hăng hái [𠸨]
行	hãng	U+884C		正行 chính hãng · 行信 hãng tin · 行航空 hãng hàng không
响	hắng	U+54CD		哅响 húng hắng · 响𠰩 hắng giọng
恆	HẰNG	U+6046		恆𢆥 hằng năm · 恆𣎃 hằng tháng · 恆數 hằng số
𫰟	HẰNG	U+2BC1F		𫰟娥 Hằng Nga
𬿦	hẫng	U+2CFE6		紇𬿦 hụt hẫng · 珥𬿦 nhẹ hẫng
哘	hẵng	U+54D8		哘抵妬 hẵng để đó
項	HẠNG	U+9805	[翻]	攝項 xếp hạng · 末項 mạt hạng · 上項 thượng hạng · 𥿯項一 vé hạng nhất
哼	hanh	U+54FC		𢝜哼 đành hanh · 𩙍哼 gió hanh
行	HÀNH	U+884C		步行 bộ hành · 行程 hành trình · 施行 thi hành · 行動 hành động · 保行 bảo hành
荇	hành	U+8347	[異] 蘅	榘荇 củ hành · 荇西 hành tây
莖	HÀNH	U+8396		玉莖 ngọc hành
衡	HÀNH	U+8861		權衡 quyền hành · 玉衡 ngọc hành
倖	HÃNH	U+5016		倖進 hãnh tiến · 倖求 hãnh cầu
行	HẠNH	U+884C		德行 đức hạnh · 節行 tiết hạnh
杏	HẠNH	U+674F		杏仁 hạnh nhân
幸	HẠNH	U+5E78		幸福 hạnh phúc · 欣幸 hân hạnh · 不幸 bất hạnh · 榮幸 vinh hạnh
耗	HAO	U+8017		損耗 tổn hao · 消耗 tiêu hao · 耗紇 hao hụt
滈	hao	U+6EC8		同滈 đồng hao · 滈滈 hao hao
好	háo	U+597D		好渃 háo nước · 好洫 háo hức
毫	HÀO	U+6BEB		錢毫 tiền hào
號	HÀO	U+865F		呼號 hô hào
豪	HÀO	U+8C6A	[翻]	富豪 phú hào · 豪傑 hào kiệt · 豪放 hào phóng · 自豪 tự hào · 豪晄 hào nhoáng
餚	HÀO	U+991A		山餚海味 sơn hào hải vị
壕	HÀO	U+58D5		戰壕 chiến hào · 𡌢壕 hầm hào · 壕壘 hào luỹ
濠	HÀO	U+6FE0		護城濠 hộ thành hào
蠔	HÀO	U+8814		𡥵蠔 con hào
𠲡	hão	U+20CA1		許𠲡 hứa hão · 𠲡玄 hão huyền
好	HẢO	U+597D		好友 hảo hữu · 絕好 tuyệt hảo · 美好 mĩ hảo · 和好 hoà hảo · 好漢 hảo hán
昊	HẠO	U+660A	𡨸漢尼主要得使用朱𠸜男界。 Chữ Hán này chủ yếu được sử dụng cho tên nam giới.	
浩	HẠO	U+6D69		浩然 hạo nhiên · 浩氣 hạo khí
顥	HẠO	U+9865	𡨸漢尼主要得使用朱𠸜男界。 Chữ Hán này chủ yếu được sử dụng cho tên nam giới.	
灝	HẠO	U+705D	𡨸漢尼主要得使用朱𠸜男界。 Chữ Hán này chủ yếu được sử dụng cho tên nam giới.	
盍	háp	U+76CD	𡨸尼主要得使用抵翻音。䀡附錄。 Chữ này chủ yếu được sử dụng để phiên âm. Xem Phụ lục.[翻]	
七	hấp	U+4E03	⇔ 七 khắp	七 hấp
吸	HẤP	U+5438		吸引 hấp dẫn · 呼吸 hô hấp
熻	hấp	U+71BB		熻𩚵 hấp cơm · 熻熻 hâm hấp [𠸨]
合	HẠP	U+5408	⇔ 合 hợp	
喝	hát	U+559D	[翻]	歌喝 ca hát · 喝唱 hát xướng · 排喝 bài hát · 𠰺喝 dạy hát
迄	hất	U+8FC4		迄𨀿 hất cẳng · 迄𦛜 hất hàm
𫤾	hắt	U+2B93E		𫤾癐 hắt hủi · 𫤾㳜 hắt hiu
籺	hạt	U+7C7A		籺豆 hạt đậu · 籺𡏧 hạt bụi · 籺仁 hạt nhân · 反籺 phản hạt
轄	HẠT	U+8F44		地轄 địa hạt · 轄下 hạt hạ
蠍	hạt	U+880D	⇔ 蠍 hiết	天蠍 Thiên Hạt
蠔	hàu	U+8814		𡥵蠔 con hàu
𬷎	hâu	U+2CDCE		鷂𬷎 diều hâu
茩	hấu	U+8329		荼茩 dưa hấu
侯	hầu	U+4FAF	[翻]	侯歇 hầu hết · 侯如 hầu như
侯	HẦU	U+4FAF	[翻]	諸侯 chư hầu · 爵侯 tước hầu
候	HẦU	U+5019		候下 hầu hạ · 候𡛔 hầu gái · 候座 hầu toà · 候包 hầu bao
喉	HẦU	U+5589		咽喉 yết hầu
后	HẬU	U+540E		皇后 hoàng hậu · 母后 mẫu hậu
厚	HẬU	U+539A		忠厚 trung hậu · 深厚 thâm hậu · 仁厚 nhân hậu
後	HẬU	U+5F8C		後裔 hậu duệ · 後方 hậu phương · 後世 hậu thế · 後事 hậu sự
候	HẬU	U+5019		氣候 khí hậu
咍	hay	U+548D	[翻][異] 𫨩	朱咍 cho hay · 咍𠯖 hay ho · 咍𱺵 hay là
唉	hãy	U+5509		唉朱別 hãy cho biết · 唉𡀳 hãy còn
係	hầy	U+4FC2		𠍣係 bầy hầy [𠸨]
𢬾	he	U+22B3E	⇔ 𢬾 hé	𢬾𢬾 he hé [𠸨]
𡁱	he	U+21071		𢣇𡁱 hăm he
𢬾	hé	U+22B3E		𢬾𢬾 he hé [𠸨]
夏	hè	U+590F		頭夏 đầu hè · 儗夏 nghỉ hè
𡏘	hè	U+213D8		𡏘茹 hè nhà · 㙔𡏘 vỉa hè · 軒𡏘 hiên hè
嗄	hè	U+55C4	[翻]	𠫾嗄 đi hè · 會嗄 hội hè · 僶𡮈易傷過嗄 thằng nhỏ dễ thương quá hè
𭌟	hê	U+2D31F		嘑𭌟 hả hê [𠸨]
𢭁	hề	U+22B41		𢭁之 hề gì · 拯𢭁 chẳng hề · 𣗓𢭁 chưa hề
奚	hề	U+595A		僶奚 thằng hề · 奚童 hề đồng · 𦠘奚 vai hề
嗘	hề	U+55D8		唭嗘嗘 cười hề hề
盻	hễ	U+76FB		盻吶𱺵𫜵 hễ nói là làm
𠯋	hể	U+20BCB		𠯋嘑 hể hả
系	HỆ	U+7CFB		系統 hệ thống · 直系 trực hệ · 母系 mẫu hệ
係	HỆ	U+4FC2		干係 can hệ · 關係 quan hệ · 係重 hệ trọng
繫	HỆ	U+7E6B		聯繫 liên hệ · 繫詞 hệ từ
侅	hếch	U+4F85	[翻]	𪖫侅 mũi hếch · 侅蹎𬨠 hếch chân lên
劾	hệch	U+52BE		斛劾 hộc hệch [𠸨]
嫌	hem	U+5ACC		潛嫌 tèm hem [𠸨]
𡑯	hẻm	U+2146F	[翻]	𡉦𡑯 ngõ hẻm · 塘𡑯 đường hẻm
𠻃	hen	U+20EC3	[翻]	𠯖𠻃 ho hen
𢤞	hèn	U+2291E	[異] 𫣴	𪽳𢤞 yếu hèn
䘆	hến	U+4606		𡥵䘆 con hến · 䘆𤇤 hến xào
顯（顕）	hển	U+986F U+9855		混顯 hổn hển
𭉑	hẹn	U+2D251	[異] 限	許𭉑 hứa hẹn · 𭉑㗅 hẹn hò [𠸨]
亨	hênh	U+4EA8	[翻]	𤾟亨 hớ hênh · 惺亨 tênh hênh
啈	hểnh	U+5548		𠸣啈 hổng hểnh [𠸨]
囂	heo	U+56C2	[翻]	囂唿 heo hút · 囂𠶣 heo may
㺧	heo	U+3EA7		𡥵㺧 con heo
𤉗	héo	U+24257		𤉗焝 héo hon · 枯𤉗 khô héo
𪞭	hẻo	U+2A7AD		𪞭𨀌 hẻo lánh
狹	hẹp	U+72F9	[翻]	塘狹 đường hẹp · 腰狹 eo hẹp
𠿒	hét	U+20FD2		囉𠿒 la hét · 㗅𠿒 hò hét
