# 澳門增補字符集（Macao Supplementary Character Set (MSCS), 2022）
# 备注：《澳門增補字符集–2022》共包括443個字符，其中漢字427個，符號16個，相比《澳門增補字符集–2020》新增收的字符共有1個。
# 整理自 http://code.web.idv.hk/miscs/miscs.php?i=1
# char	IDS	Unicode	MSCS	舊MAC序號	備註

敚	⿰兑攵	U+655A	MDH-655A		
棁	⿰木兑	U+68C1	MDH-68C1		
氲	⿹气昷	U+6C32	MDH-6C32		
涚	⿰氵兑	U+6D9A	MDH-6D9A		
煴	⿰火昷	U+7174	MDH-7174		
税	⿰禾兑	U+7A0E	MDH-7A0E		
緼	⿰糹昷	U+7DFC	MDH-7DFC		
脱	⿰⺼兑	U+8131	MDH-8131		
腽	⿰⺼昷	U+817D	MDH-817D		
藴	⿱艹緼	U+85F4	MDH-85F4		
蜕	⿰虫兑	U+8715	MDH-8715		
説	⿰言兑	U+8AAC	MDH-8AAC		
輼	⿰車昷	U+8F3C	MDH-8F3C		
醖	⿰酉昷	U+9196	MDH-9196		
鋭	⿰金兑	U+92ED	MDH-92ED		
閲	⿵門兑	U+95B2	MDH-95B2		
鱇	⿰魚康	U+9C47	MDH-9C47		簡體：𩾌
拐	⿰扌叧	U+62D0-E0105	MB1-A9E4		註冊IVS所需的基本字
倩	⿰亻青	U+5029-E0103	MB1-ADC5		註冊IVS所需的基本字
真	⿱十具	U+771F-E0108	MB1-AF75		註冊IVS所需的基本字
啗	⿰口臽	U+5557-E0101	MB1-B0E8		註冊IVS所需的基本字
啟	⿰启攵	U+555F-E0100	MB1-B1D2		註冊IVS所需的基本字
植	⿰木直	U+690D-E0106	MB1-B4D3		註冊IVS所需的基本字
筑	⿱竹巩	U+7B51-E0105	MB1-B5AE		註冊IVS所需的基本字
菁	⿱艹青	U+83C1-E0106	MB1-B5D7		註冊IVS所需的基本字
翱	⿰皋羽	U+7FF1-E0100	MB1-BFAC		註冊IVS所需的基本字
靜	⿰青爭	U+975C-E0108	MB1-C052		註冊IVS所需的基本字
岍	⿰山开	U+5C8D-E0102	MB2-CAC0		註冊IVS所需的基本字
汧	⿰氵开	U+6C67-E0104	MB2-CB4C		註冊IVS所需的基本字
岭	⿰山令	U+5CAD-E0101	MB2-CC64		註冊IVS所需的基本字
茺	⿱艹充	U+833A-E0103	MB2-D072		註冊IVS所需的基本字
蒨	⿱艹倩	U+84A8-E0105	MB2-E3C8		註冊IVS所需的基本字
翬	⿱羽軍	U+7FEC-E0101	MB2-E6F8		註冊IVS所需的基本字
譧	⿰言廉	U+8B67-E0100	MB2-F4D4		註冊IVS所需的基本字；簡體：u32095
𡵞	⿱山丰	U+21D5E-E0100	MA-876E		註冊IVS所需的基本字
变	⿱亦又	U+53D8-E0100	MA-895A		註冊IVS所需的基本字
窰	⿱穴䍃	U+7AB0-E0101	MA-8E50		註冊IVS所需的基本字
綉	⿰糹秀	U+7D89-E0101	MA-8EA7		註冊IVS所需的基本字
綫	⿰糹戔	U+7DAB-E0101	MA-8EA8		註冊IVS所需的基本字
翺	⿰臯羽	U+7FFA-E0101	MA-8ECB		註冊IVS所需的基本字
𦒉	⿰光習	U+26489-E0102	MA-8ECC		註冊IVS所需的基本字
蔴	⿱艹麻	U+8534-E0103	MA-8F77		註冊IVS所需的基本字
𧃰	⿳艹⿲止自巳⿱八夂	U+270F0-E0102	MA-8FA8		註冊IVS所需的基本字
衆	⿱血乑	U+8846-E0107	MA-8FBC		註冊IVS所需的基本字
䘕	⿲彳亢亍	U+4615-E0100	MA-8FEB		註冊IVS所需的基本字
廸	⿺廴由	U+5EF8-E0103	MA-9059		註冊IVS所需的基本字
邨	⿰屯阝	U+90A8-E0106	MA-9068		註冊IVS所需的基本字
隶	⿱肀水	U+96B6-E0103	MA-90C4		註冊IVS所需的基本字
𦐐	⿱羽文	U+26410-E0100	MA-90CC		註冊IVS所需的基本字
飬	⿱龹良	U+98EC-E0100	MA-914B		註冊IVS所需的基本字
鏆	⿰金貫	U+93C6-E0101	MA-9264		註冊IVS所需的基本字；簡體：𨱌
𠜎	⿰先刂	U+2070E-E0100	MA-92C3		註冊IVS所需的基本字
嫏	⿰女郎	U+5ACF-E0101	MA-92F4		註冊IVS所需的基本字
𥖄	⿰石羡	U+25584-E0100	MA-93C3		註冊IVS所需的基本字
𧝁	⿰衤⿱罒羽	U+27741-E0100	MA-94C7		註冊IVS所需的基本字
啫	⿰口者	U+556B-E0100	MA-94DC		註冊IVS所需的基本字
驣	⿰馬駦	U+9A63-E0100	MA-9557		註冊IVS所需的基本字
餸	⿰飠送	U+9938-E0100	MA-9652		註冊IVS所需的基本字；簡體：𩠌
瀞	⿰氵靜	U+701E-E0108	MA-96EE		註冊IVS所需的基本字
𡞵	⿰女奐	U+217B5-E0100	MA-96FD		註冊IVS所需的基本字；簡體：㛟
嚤	⿰口摩	U+56A4-E0100	MA-97A3		註冊IVS所需的基本字
䤾	⿰金舀	U+493E-E0100	MA-97E1		註冊IVS所需的基本字
㛇	⿰女庄	U+36C7-E0100	MA-9856		註冊IVS所需的基本字
䎗	⿰喬羽	U+4397-E0100	MA-9967		註冊IVS所需的基本字
乸	⿺也母	U+4E78-E0100	MA-9AFB		註冊IVS所需的基本字
姸	⿰女幵	U+59F8-E0101	MA-9D55		註冊IVS所需的基本字
靭	⿰革刃	U+976D-E0105	MA-9E46		註冊IVS所需的基本字
酶	⿰酉每	U+9176-E0100	MA-9E4A		註冊IVS所需的基本字
踭	⿰𧾷爭	U+8E2D-E0100	MA-9E5A		註冊IVS所需的基本字
韈	⿰革蔑	U+97C8-E0105	MA-9F76		註冊IVS所需的基本字
鍮	⿰金俞	U+936E-E0103	MA-A05F		註冊IVS所需的基本字；簡體：𨱎
銹	⿰金秀	U+92B9-E0101	MA-F9D7		註冊IVS所需的基本字
凑	⿰冫奏	U+51D1-E0101	MA-FAA4		註冊IVS所需的基本字
𣟂	⿰木寛	U+237C2-E0100	MA-FCF0		註冊IVS所需的基本字
樋	⿰木通	U+6A0B-E0104	MA-FD42		註冊IVS所需的基本字
爕	⿱⿲火言火火	U+7215-E0101	MA-FE41		註冊IVS所需的基本字
